metric,method,series,pre_windows,transition_windows,pre_end_step_max,transition_end_step_min,pre_mean,transition_mean,transition_minus_pre
train_loss,FNN,raw,5,5,42380,43580,4.2,3.0,-1.2000000000000002
train_loss,FNN,detrended,5,5,42380,43580,3.6,3.2,-0.3999999999999999
train_loss,Cao,raw,5,5,42380,43580,6.0,5.2,-0.7999999999999998
train_loss,Cao,detrended,5,5,42380,43580,5.6,6.0,0.40000000000000036
train_loss,Simplex,raw,5,5,42380,43580,2.6,2.4,-0.20000000000000018
train_loss,Simplex,detrended,5,5,42380,43580,2.6,4.2,1.6
train_loss,MLE,raw,5,5,42380,43580,12.08907177291521,7.309852169090028,-4.779219603825181
train_loss,MLE,detrended,5,5,42380,43580,12.644606711642465,11.871817295640788,-0.772789416001677
val_loss,FNN,raw,5,5,42380,43580,2.0,1.0,-1.0
val_loss,FNN,detrended,5,5,42380,43580,3.6,2.8,-0.8000000000000003
val_loss,Cao,raw,5,5,42380,43580,5.6,3.0,-2.5999999999999996
val_loss,Cao,detrended,5,5,42380,43580,6.4,5.6,-0.8000000000000007
val_loss,Simplex,raw,5,5,42380,43580,1.2,1.0,-0.19999999999999996
val_loss,Simplex,detrended,5,5,42380,43580,1.0,1.2,0.19999999999999996
val_loss,MLE,raw,5,5,42380,43580,1.7164191181627135,1.4150565751588497,-0.3013625430038638
val_loss,MLE,detrended,5,5,42380,43580,3.4602474424187655,1.8142522861441333,-1.6459951562746322
weight_norm,FNN,raw,5,5,42380,43580,3.4,2.0,-1.4
weight_norm,FNN,detrended,5,5,42380,43580,3.2,3.0,-0.20000000000000018
weight_norm,Cao,raw,5,5,42380,43580,4.0,4.2,0.20000000000000018
weight_norm,Cao,detrended,5,5,42380,43580,5.4,5.0,-0.40000000000000036
weight_norm,Simplex,raw,5,5,42380,43580,2.4,1.2,-1.2
weight_norm,Simplex,detrended,5,5,42380,43580,3.2,1.2,-2.0
weight_norm,MLE,raw,5,5,42380,43580,3.636570481980565,1.8431401267691392,-1.793430355211426
weight_norm,MLE,detrended,5,5,42380,43580,4.358718706199229,2.2642494973726386,-2.094469208826591
grad_norm,FNN,raw,5,5,42380,43580,3.6,4.0,0.3999999999999999
grad_norm,FNN,detrended,5,5,42380,43580,3.2,3.6,0.3999999999999999
grad_norm,Cao,raw,5,5,42380,43580,5.8,7.2,1.4000000000000004
grad_norm,Cao,detrended,5,5,42380,43580,6.4,5.4,-1.0
grad_norm,Simplex,raw,5,5,42380,43580,4.2,3.0,-1.2000000000000002
grad_norm,Simplex,detrended,5,5,42380,43580,6.0,3.0,-3.0
grad_norm,MLE,raw,5,5,42380,43580,15.582170044742918,17.605247914181284,2.0230778694383655
grad_norm,MLE,detrended,5,5,42380,43580,14.408563416014896,17.37212906971545,2.9635656537005524
embed_grad_norm,FNN,raw,5,5,42380,43580,4.4,3.0,-1.4000000000000004
embed_grad_norm,FNN,detrended,5,5,42380,43580,4.0,4.2,0.20000000000000018
embed_grad_norm,Cao,raw,5,5,42380,43580,6.6,6.2,-0.39999999999999947
embed_grad_norm,Cao,detrended,5,5,42380,43580,5.2,5.2,0.0
embed_grad_norm,Simplex,raw,5,5,42380,43580,4.4,3.6,-0.8000000000000003
embed_grad_norm,Simplex,detrended,5,5,42380,43580,5.6,3.2,-2.3999999999999995
embed_grad_norm,MLE,raw,5,5,42380,43580,15.157156935859001,11.36098823589951,-3.796168699959491
embed_grad_norm,MLE,detrended,5,5,42380,43580,14.630518948018073,12.006438818263131,-2.624080129754942
grad_cosine,FNN,raw,5,5,42380,43580,3.2,3.6,0.3999999999999999
grad_cosine,FNN,detrended,5,5,42380,43580,3.0,4.0,1.0
grad_cosine,Cao,raw,5,5,42380,43580,5.8,5.4,-0.39999999999999947
grad_cosine,Cao,detrended,5,5,42380,43580,5.6,5.2,-0.39999999999999947
grad_cosine,Simplex,raw,5,5,42380,43580,9.4,11.8,2.4000000000000004
grad_cosine,Simplex,detrended,5,5,42380,43580,12.0,12.4,0.40000000000000036
grad_cosine,MLE,raw,5,5,42380,43580,14.972605613951268,13.041848689387404,-1.9307569245638643
grad_cosine,MLE,detrended,5,5,42380,43580,15.53983340961141,12.923576831609902,-2.616256578001508
