metric,phase,embedding_dimension,k_neighbors,lb,mg,local_median,local_iqr
train_loss,fitting,6,5,5.988069579077777,4.5087523623536185,5.05553501763775,4.066198086459231
train_loss,fitting,6,8,5.014979415480705,4.149106256729886,4.461260627287883,2.277283791337034
train_loss,fitting,6,10,4.651644908280732,4.032026839430589,4.19419372104276,2.077952269127806
train_loss,fitting,6,15,4.0237681346882725,3.629729213609729,3.7362074707340094,1.6031396740653525
train_loss,fitting,9,5,7.387166269559865,5.798850251870761,6.399985829216418,4.2882349940086755
train_loss,fitting,9,8,5.93367233976101,4.673897975373023,4.999749471203191,3.2198599579118263
train_loss,fitting,9,10,5.2985284967935025,4.467629832634899,4.731190827308021,2.172345564831259
train_loss,fitting,9,15,4.489117610116443,3.9843758076783877,4.197335296025179,1.8482930063200724
train_loss,fitting,12,5,8.499217739287534,6.5231026184955345,6.831146376793255,4.062336158292302
train_loss,fitting,12,8,6.165527141566892,4.831598502671957,5.851581864144277,2.768898265762605
train_loss,fitting,12,10,5.779093953917327,4.669819084718926,5.128632285959693,3.1020523908640394
train_loss,fitting,12,15,4.547337514013184,3.858037699761861,4.380681460054465,2.619696954636824
train_loss,fitting,15,5,8.212677600589025,6.4659875321557285,6.6240252994767195,4.1877252979247945
train_loss,fitting,15,8,6.514877601158677,5.0295879690529945,5.833285327947675,3.0858374479641597
train_loss,fitting,15,10,5.672007209645451,4.541314955172107,5.541014620355954,3.1495004341677144
train_loss,fitting,15,15,4.118136010561215,3.4731615820306763,4.079778679359533,2.38285985235469
train_loss,memorization_gap,6,5,7.4249051390002725,5.441997935522394,5.969494286403711,3.899948088114696
train_loss,memorization_gap,6,8,6.309571669225728,5.314879401545308,5.757554045181419,2.948738686985549
train_loss,memorization_gap,6,10,5.9770954845176405,5.1967749489111705,5.495649429817696,2.811776474109208
train_loss,memorization_gap,6,15,5.6367117139993015,5.097324504979888,5.342806722960464,2.221154815506752
train_loss,memorization_gap,9,5,9.455426341773078,7.185638280932802,7.902957749988443,5.807409553847777
train_loss,memorization_gap,9,8,8.294950031506623,6.964335583358742,7.306221222200824,4.598723070005947
train_loss,memorization_gap,9,10,7.862546743125996,6.907710668981047,7.163761430124738,3.7011254319014526
train_loss,memorization_gap,9,15,7.460777044989732,6.849093145460028,7.144788046271987,3.0677302570949294
train_loss,memorization_gap,12,5,11.907759039727376,8.825933320320242,9.521498111992958,7.990848316455768
train_loss,memorization_gap,12,8,10.115587904657476,8.62997492573413,9.042829490899368,4.832533423967897
train_loss,memorization_gap,12,10,9.989647224606246,8.773205741091846,9.087298852335003,4.706495086102291
train_loss,memorization_gap,12,15,9.559720081178085,8.746250505527453,9.21437710911174,3.7913265128264984
train_loss,memorization_gap,15,5,14.361344832013494,10.958038995810957,12.035046308072346,9.034360302161488
train_loss,memorization_gap,15,8,12.711766342421756,10.664187245257523,11.015336392483455,6.502781561840454
train_loss,memorization_gap,15,10,12.167876721284212,10.65639848360491,11.23801399668143,5.389660714281952
train_loss,memorization_gap,15,15,11.289083627347303,10.246158485288458,10.722439366818847,4.529008383107206
train_loss,transition,6,5,6.789913155728297,4.84424041455529,5.5274378062194245,4.275237121753207
train_loss,transition,6,8,5.913416367666531,4.736023946003119,5.603479168745595,2.7316532950502674
train_loss,transition,6,10,5.772043066114505,4.581344283156542,5.452729305382137,3.0376508138001466
train_loss,transition,6,15,5.2125249693205244,4.121047611387364,4.934452641328957,2.473012811572306
