metric,tau,embedding_dimension,k_neighbors,window_size,stride,start_step,center_step,end_step,mean,std,fnn_raw,cao_raw,simplex_raw,lb_raw,mg_raw,local_median_raw,local_iqr_raw,fnn_detrended,cao_detrended,simplex_detrended,lb_detrended,mg_detrended,local_median_detrended,local_iqr_detrended
train_loss,1,15,5,200,10,1,5000,9950,1.6238258688896894,1.3864928071947045,4.0,7.0,7.0,5.670804738869937,3.4076490866563893,5.0016713597610085,5.246739714529391,4.0,5.0,1.0,6.141132115173686,4.098354078144603,6.1065046743812275,5.100423089281745
train_loss,1,15,5,200,10,500,5500,10450,1.3871015574038028,1.1834200393339094,4.0,7.0,15.0,6.178164154924353,3.8187879473257227,5.568496144270612,5.080929701507196,4.0,5.0,1.0,6.784955797077204,4.391497902412547,6.273804755484619,5.066227726907244
train_loss,1,15,5,200,10,1000,6000,10950,1.186069464981556,1.0063985701280524,4.0,7.0,3.0,7.70997366144922,4.346449627967461,5.937048336617559,4.933391858710201,3.0,5.0,1.0,7.249030250353738,5.1293133253281304,6.497181020167819,3.2931552498175902
train_loss,1,15,5,200,10,1500,6500,11450,1.015297487154603,0.8473957788729759,4.0,7.0,9.0,8.520816386116678,5.090351153323385,6.622826010238924,5.508019563495626,3.0,5.0,2.0,8.996986894509803,6.13193109044448,7.033584117769689,5.360823020159095
train_loss,1,15,5,200,10,2000,7000,11950,0.8714536356180906,0.7139130153745575,4.0,7.0,15.0,8.458450758264663,5.872200019574375,7.017857311408912,5.62773987733166,4.0,6.0,3.0,9.829487040897108,7.034668789882601,7.924527032338255,6.75288824399813
train_loss,1,15,5,200,10,2500,7500,12450,0.7504357525706291,0.6013467332612821,4.0,6.0,12.0,9.005745218074583,6.5249636310942805,7.138673800948874,4.630966469507162,4.0,4.0,2.0,10.497986535570908,7.369609442443309,7.868738203103407,7.467305356651016
train_loss,1,15,5,200,10,3000,8000,12950,0.6473492502421141,0.5023227645502231,4.0,8.0,7.0,9.063004711144908,6.6702962467211755,7.243201174014922,4.6341557157430575,4.0,9.0,2.0,9.721152815377906,6.72057295835185,7.575533597872015,6.766926424639783
train_loss,1,15,5,200,10,3500,8500,13450,0.5607016116380692,0.4216965652464124,4.0,6.0,9.0,8.96455906095341,6.659651504107736,7.113626593409718,4.413298005300846,4.0,5.0,3.0,10.096402819497246,6.924004710317025,7.928050334358296,7.025157015605547
train_loss,1,15,5,200,10,4000,9000,13950,0.48591913539916276,0.3506238318675311,4.0,6.0,3.0,9.093504683374038,6.832106140718877,7.297500407674043,4.161523526446296,3.0,7.0,4.0,9.748936706384539,6.626642906697191,7.418720518723358,4.98363881106772
train_loss,1,15,5,200,10,4500,9500,14450,0.4250429103896022,0.2899973129472465,4.0,8.0,3.0,9.14988373237611,6.933558996042369,7.138673800948865,4.0973986687187764,3.0,9.0,5.0,10.693432957819521,7.49924283848977,8.330132298218807,6.587808824865033
train_loss,1,15,5,200,10,5000,10000,14950,0.37681563399732115,0.24094318610596321,4.0,6.0,3.0,9.864114004508036,7.285852614446248,7.529835014162542,5.217271626393999,4.0,9.0,4.0,10.857101117675887,7.864481737635279,8.530869245833518,6.671920611215784
train_loss,1,15,5,200,10,5500,10500,15450,0.33737336702644827,0.1981609636824541,4.0,6.0,3.0,10.58513212468272,7.777281085133898,8.199941519168885,6.354454494974443,6.0,4.0,3.0,11.680159177080954,8.836392264529866,9.99542165482575,7.3867362395190606
train_loss,1,15,5,200,10,6000,11000,15950,0.3041784244775772,0.16247303633826116,4.0,6.0,9.0,11.203239460443386,8.229509478392833,8.413383994270546,6.149545488517222,4.0,5.0,7.0,13.222908913096436,10.319452170409328,11.169477437756955,8.081600513975534
train_loss,1,15,5,200,10,6500,11500,16450,0.2797337544709444,0.13387333897877365,4.0,7.0,14.0,11.56844995475424,8.587625053154465,8.585978586387075,6.2557795851442535,5.0,6.0,3.0,14.876889236138249,11.480779019704544,11.972233497827819,8.079555578274432
train_loss,1,15,5,200,10,7000,12000,16950,0.2599872861802578,0.1155092158431821,3.0,6.0,14.0,11.82895012537682,8.688214155320118,8.972839590649073,7.235405181624747,4.0,7.0,8.0,13.636473559529124,9.976873132460513,10.076921680425471,8.846158083981402
train_loss,1,15,5,200,10,7500,12500,17450,0.24063268546015024,0.09621387758174416,5.0,6.0,15.0,12.516261029244742,8.888253230762482,9.553210443042413,8.52125835903016,4.0,8.0,5.0,12.236419725386423,9.223640383242564,9.965544300798912,7.119828893964821
train_loss,1,15,5,200,10,8000,13000,17950,0.22376878827810287,0.08383053404743056,5.0,6.0,11.0,12.185914032786298,8.919348895151554,8.947298391007038,8.011077613603725,4.0,4.0,8.0,12.689890892549506,9.938366180586176,10.602962834049194,7.767310490622653
train_loss,1,15,5,200,10,8500,13500,18450,0.20926423221826554,0.07188983056268622,3.0,5.0,12.0,12.376789910351556,9.001351297159928,9.249448765541128,8.14521166586004,3.0,6.0,10.0,13.763492369207519,10.460570603518043,11.424909569733229,8.824419665135068
train_loss,1,15,5,200,10,9000,14000,18950,0.19796343833208085,0.0633462355425679,3.0,5.0,10.0,12.72107136787621,9.088926142508198,9.560532032836413,9.282814224784499,4.0,6.0,15.0,13.173217430774118,9.679066133246748,10.11633466533608,7.269520275132247
train_loss,1,15,5,200,10,9500,14500,19450,0.18762887321412564,0.05955983935287963,3.0,5.0,9.0,12.821587040143447,9.448123201736594,9.477502075605987,8.804600386956565,4.0,4.0,15.0,13.491530399150678,10.21762365844993,10.402261586425208,8.117573400769524
train_loss,1,15,5,200,10,10000,15000,19950,0.17703273149207235,0.05700454922112123,3.0,10.0,6.0,11.98973326053348,9.081759005840638,9.128268998486115,8.040589953346428,3.0,7.0,15.0,13.327367372044533,9.958085776596883,10.539185347692237,7.990285710750758
train_loss,1,15,5,200,10,10500,15500,20450,0.17035854185000063,0.05775825927625555,3.0,5.0,6.0,11.718021594630843,8.791271137861992,8.7182930149269,7.48282928121055,3.0,4.0,15.0,12.415855184619463,9.928163207382445,10.432224948212276,7.97632031172863
train_loss,1,15,5,200,10,11000,16000,20950,0.16443990698084235,0.05628275781692607,3.0,7.0,6.0,12.08685174035579,9.00814452769431,9.323537328060723,8.536982390946484,4.0,4.0,12.0,12.410134425796837,9.752768037402584,10.15346554775501,8.730697328391397
train_loss,1,15,5,200,10,11500,16500,21450,0.15676363671198484,0.05372272823931058,3.0,7.0,6.0,11.675040001133924,8.747088921048478,9.269849445817254,7.673227244418233,4.0,6.0,12.0,11.901845882582998,9.197427706656882,9.991736613204376,7.1070267801824665
train_loss,1,15,5,200,10,12000,17000,21950,0.15012154294177887,0.05274754969395842,3.0,7.0,15.0,12.246433528753444,9.567507648756992,9.88380973125356,7.063943371413601,3.0,5.0,10.0,11.971989659099329,9.140496989995386,9.762261105183754,6.936913208157762
train_loss,1,15,5,200,10,12500,17500,22450,0.14353789756074545,0.052697248287630394,3.0,7.0,15.0,11.991985143976953,9.411451066983402,9.85176807076908,6.603306391691472,3.0,5.0,11.0,12.181218822477398,9.494862391375351,10.003609955957476,6.343369658712738
train_loss,1,15,5,200,10,13000,18000,22950,0.13765781821683049,0.05220280526617693,3.0,7.0,6.0,12.480436111406004,9.75629602682002,10.638000369598064,7.1755283728376895,4.0,6.0,11.0,11.960068437635378,9.408889048296409,9.857109613230087,6.221148707252853
train_loss,1,15,5,200,10,13500,18500,23450,0.13400140827521678,0.05254117874832193,3.0,7.0,9.0,11.530263626784441,9.051622455652002,9.557622687957014,6.052197779257041,4.0,6.0,12.0,12.989785594940692,9.990056831695936,10.56553546426343,6.40086330960442
train_loss,1,15,5,200,10,14000,19000,23950,0.1312257051281631,0.053616222959128726,3.0,5.0,9.0,11.457324193857119,8.67432314680618,9.461951192502898,6.703062554327831,3.0,6.0,12.0,12.452514021068044,9.96104964042467,10.627892286873088,6.209175926166079
