metric,period,first_center_step,last_center_step,windows,lb_detrended_median,lb_detrended_iqr,mg_detrended_median,mg_detrended_iqr
train_loss,early,5000,65000,13,27.96685530757548,45.772194564093795,2.7545569411939863,1.2058926831136527
train_loss,middle,70000,130000,13,18.980629969343475,20.07728846678492,2.418057014836965,0.8779242591466891
train_loss,late,135000,195000,13,169.65269096863935,435.9745059829869,1.4960438053269949,0.772049938874593
val_loss,early,5000,65000,13,8.240914734253185,3.7154787731022703,3.757385557438591,1.7755200378167846
val_loss,middle,70000,130000,13,9.915264730962669,3.497028011253766,3.1255697764576653,1.0162051950969104
val_loss,late,135000,195000,13,3.748879348412773,3.275060125507482,1.770022501688504,0.5487202750427471
weight_norm,early,5000,65000,13,2.7764925163795025,0.7770237509054523,2.284245678298398,0.5689101023486107
weight_norm,middle,70000,130000,13,2.513323386414548,0.46146515352087514,2.0087272565202574,0.22795177910629172
weight_norm,late,135000,195000,13,1.5897330609631315,0.20780088636134608,1.5199737505238338,0.1660992159509287
gradient_norm,early,5000,65000,13,23.469524727212,26.40470810404608,3.2955498801750696,0.6727819240643291
gradient_norm,middle,70000,130000,13,56.43476150406241,182.63991693262244,2.47180158747734,0.8654441651226248
gradient_norm,late,135000,195000,13,132.6318157335732,326.0654122028185,1.7534212874458703,1.4883008711258359
update_norm,early,5000,65000,13,8.38924962533962,1.0409969700074173,4.5284232275452165,1.9242814838302338
update_norm,middle,70000,130000,13,9.627983129853884,2.3688222568551005,4.340227392870508,1.473154760822469
update_norm,late,135000,195000,13,9.78258793928227,6.548488221596856,2.536610691329515,2.5886153439877937
gradient_cosine,early,5000,65000,13,12.6495681513451,3.338442025029291,9.483071483265086,3.454901483809004
gradient_cosine,middle,70000,130000,13,11.461507432252716,2.770056669622951,8.34878512691859,1.810592834360417
gradient_cosine,late,135000,195000,13,11.789923521203075,2.138544464057789,8.412111116372289,1.4599642984021637
gradient_participation_ratio,early,5000,65000,13,11.791939378804468,1.8772360652127613,9.430174040542958,1.4418205930974697
gradient_participation_ratio,middle,70000,130000,13,12.892007152792308,1.3929816276869236,9.618865331017766,1.5988148850545212
gradient_participation_ratio,late,135000,195000,13,12.861200677524184,1.4734774078271986,9.81753106255699,1.3131196926842534
parameter_participation_ratio,early,5000,65000,13,7.698786537322026,2.5282755572403284,3.3716216908734657,0.4179485316598104
parameter_participation_ratio,middle,70000,130000,13,7.0135382859039925,3.9203997205646646,2.8727640155265237,0.7958024222902096
parameter_participation_ratio,late,135000,195000,13,9.33968303080391,21.11644693663414,1.9575187317266876,0.4895165894599134
train_entropy,early,5000,65000,13,10.603005629558286,2.7521686181772136,3.1658328304818637,1.88679839395268
train_entropy,middle,70000,130000,13,11.227345069002691,18.597224762792422,2.770546213814813,1.0267455522942497
train_entropy,late,135000,195000,13,115.6043562668752,381.91612191075603,1.777012576016778,0.33528427522589666
val_entropy,early,5000,65000,13,12.446029024028364,4.231569923797519,4.67131169472599,2.4542018768822285
val_entropy,middle,70000,130000,13,14.888764663696698,6.504247905721137,4.033446397380289,0.9626719970311188
val_entropy,late,135000,195000,13,22.124561467934903,41.610606676375724,2.7146826811094025,0.5374975885484732
train_lossproj_r0,early,5000,65000,13,123.14520781960503,148.03159705992013,3.815800457134332,1.6560745650973208
train_lossproj_r0,middle,70000,130000,13,478.5092729685692,1487.5029609037026,2.6444004938242083,1.0311187964496542
train_lossproj_r0,late,135000,195000,13,112.65276992071183,1137.077681321176,1.4939438279411423,0.7728099060900551
val_lossproj_r0,early,5000,65000,13,15.476790138724374,5.855999921926184,5.240500580649321,2.4016040615538037
val_lossproj_r0,middle,70000,130000,13,21.69461398211561,16.728440664159642,3.2147075101787053,1.3762634397585503
val_lossproj_r0,late,135000,195000,13,12.499122709536136,59.125272660914476,2.1523139168149887,0.49568407276722337
weightproj__W_U__r0,early,5000,65000,13,8.24378264888589,1.9703130049768598,3.605657975601943,0.7275349668041828
weightproj__W_U__r0,middle,70000,130000,13,7.698362318267011,5.872133238232864,2.470799294265348,0.2900020198453177
weightproj__W_U__r0,late,135000,195000,13,3.9892743417374303,3.4179142398067657,1.8427840102501976,0.464244994664736
gradproj__W_U__r0,early,5000,65000,13,31.640819721941053,44.245686889389724,3.556955021851077,2.0133498015820055
gradproj__W_U__r0,middle,70000,130000,13,224.1079483925757,276.73899831781233,2.874543654137184,0.9566750809582434
gradproj__W_U__r0,late,135000,195000,13,197.22195318699795,2565.310840180162,1.7883005582173914,4.6899214258188415
updateproj__W_U__r0,early,5000,65000,13,17.19480753975934,5.595434244688027,9.69341480746132,3.150968922385486
updateproj__W_U__r0,middle,70000,130000,13,25.840259528483134,11.826241581687196,10.501001995735402,1.8701928510080172
updateproj__W_U__r0,late,135000,195000,13,24.09799755558271,10.995065062133541,9.98286576743816,5.04977811200977
weightproj__embed__W_E__r0,early,5000,65000,13,7.327010833399754,3.133205823105431,3.077918654957807,0.8425607372584247
weightproj__embed__W_E__r0,middle,70000,130000,13,10.018618641660376,9.084880786856456,2.6968736746144426,0.5457095560153662
weightproj__embed__W_E__r0,late,135000,195000,13,5.599933953852879,7.379026143354694,1.8820588417788116,0.4560344053657217
gradproj__embed__W_E__r0,early,5000,65000,13,63.85336810031382,122.69300661745979,3.4264001952011127,1.2448663690003818
gradproj__embed__W_E__r0,middle,70000,130000,13,110.41864759111512,215.47935784042892,2.7065045605333524,1.0184557258132558
gradproj__embed__W_E__r0,late,135000,195000,13,358.48194148193386,2912.0665599312742,1.8343967203339635,5.0038356352285405
