step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,316416.0,9.65625,1.0,constant_lr
4,261248.0,7.97265625,1.0,constant_lr
5,241920.0,7.3828125,1.0,constant_lr
6,237824.0,7.2578125,1.0,constant_lr
7,229120.0,6.9921875,1.0,constant_lr
8,224256.0,6.84375,1.0,constant_lr
9,220160.0,6.71875,1.0,constant_lr
10,219648.0,6.703125,1.0,constant_lr
11,214272.0,6.5390625,1.0,constant_lr
12,210688.0,6.4296875,1.0,constant_lr
13,211200.0,6.4453125,1.0,constant_lr
14,211072.0,6.44140625,1.0,constant_lr
15,204928.0,6.25390625,1.0,constant_lr
16,203136.0,6.19921875,1.0,constant_lr
17,201856.0,6.16015625,1.0,constant_lr
18,201600.0,6.15234375,1.0,constant_lr
19,200448.0,6.1171875,1.0,constant_lr
20,200320.0,6.11328125,1.0,constant_lr
21,197248.0,6.01953125,1.0,constant_lr
22,194048.0,5.921875,1.0,constant_lr
23,194688.0,5.94140625,1.0,constant_lr
24,194432.0,5.93359375,1.0,constant_lr
25,190336.0,5.80859375,1.0,constant_lr
26,190336.0,5.80859375,1.0,constant_lr
27,188544.0,5.75390625,1.0,constant_lr
28,188928.0,5.765625,1.0,constant_lr
29,188288.0,5.74609375,1.0,constant_lr
30,187648.0,5.7265625,1.0,constant_lr
31,184320.0,5.625,1.0,constant_lr
32,184704.0,5.63671875,1.0,constant_lr
33,183168.0,5.58984375,1.0,constant_lr
34,185216.0,5.65234375,1.0,constant_lr
35,181888.0,5.55078125,1.0,constant_lr
36,181632.0,5.54296875,1.0,constant_lr
37,179072.0,5.46484375,1.0,constant_lr
38,180096.0,5.49609375,1.0,constant_lr
39,178432.0,5.4453125,1.0,constant_lr
40,177792.0,5.42578125,1.0,constant_lr
41,178688.0,5.453125,1.0,constant_lr
42,178048.0,5.43359375,1.0,constant_lr
43,176768.0,5.39453125,1.0,constant_lr
44,177024.0,5.40234375,1.0,constant_lr
45,174080.0,5.3125,1.0,constant_lr
46,175232.0,5.34765625,1.0,constant_lr
47,175360.0,5.3515625,1.0,constant_lr
48,172672.0,5.26953125,1.0,constant_lr
49,172800.0,5.2734375,1.0,constant_lr
50,173952.0,5.30859375,1.0,constant_lr
51,168576.0,5.14453125,1.0,constant_lr
52,171776.0,5.2421875,1.0,constant_lr
53,169984.0,5.1875,1.0,constant_lr
54,170112.0,5.19140625,1.0,constant_lr
55,169088.0,5.16015625,1.0,constant_lr
56,170368.0,5.19921875,1.0,constant_lr
57,169344.0,5.16796875,1.0,constant_lr
58,165888.0,5.0625,1.0,constant_lr
59,168704.0,5.1484375,1.0,constant_lr
60,169472.0,5.171875,1.0,constant_lr
61,163840.0,5.0,1.0,constant_lr
62,167936.0,5.125,1.0,constant_lr
63,166528.0,5.08203125,1.0,constant_lr
64,168320.0,5.13671875,1.0,constant_lr
65,162560.0,4.9609375,1.0,constant_lr
66,164352.0,5.015625,1.0,constant_lr
67,165504.0,5.05078125,1.0,constant_lr
68,163456.0,4.98828125,1.0,constant_lr
69,164224.0,5.01171875,1.0,constant_lr
70,165632.0,5.0546875,1.0,constant_lr
71,161536.0,4.9296875,1.0,constant_lr
72,162432.0,4.95703125,1.0,constant_lr
73,161152.0,4.91796875,1.0,constant_lr
74,159872.0,4.87890625,1.0,constant_lr
75,160000.0,4.8828125,1.0,constant_lr
76,160896.0,4.91015625,1.0,constant_lr
77,160768.0,4.90625,1.0,constant_lr
78,161152.0,4.91796875,1.0,constant_lr
79,161280.0,4.921875,1.0,constant_lr
80,160256.0,4.890625,1.0,constant_lr
81,158464.0,4.8359375,1.0,constant_lr
82,158976.0,4.8515625,1.0,constant_lr
83,158080.0,4.82421875,1.0,constant_lr
