start_step,end_step,center_step,tau,mle_id_raw,mle_id_raw_se,mle_id_detrended,mle_id_detrended_se,mle_id_legacy_project,raw_local_estimates,detrended_local_estimates,loss_mean,loss_std,loss_slope_per_step,lag1_autocorrelation
0,399,200,2,7.2501388639193065,0.11240402488567822,10.143015932040543,0.3037726872023726,11.065540296794497,340,340,4.5183349609375,0.8869199922720862,-0.005558068856582716,0.9933810763654264
40,439,240,2,7.610241108021661,0.12175972374849074,9.130306146074872,0.16691706241633877,11.822925092647916,340,340,4.2511083984375,0.379713924759995,-0.002936832503152372,0.988742024580912
80,479,280,2,7.5765468805244955,0.12641615605024767,9.19771903130592,0.13799327257565783,11.941611539971426,340,340,4.123515625,0.2509131911725538,-0.0020019148557178508,0.9753088064005947
120,519,320,2,7.9545928740370915,0.12632461703602194,9.650289413173404,0.13349867786428665,11.513342092923404,340,340,4.03884765625,0.18196604229555044,-0.0014831350020156422,0.9487463896526979
160,559,360,2,8.206577380774949,0.1316590996843784,9.989627786694951,0.1366069328404112,11.60202573663913,340,340,3.9791943359375,0.1459668167205101,-0.001192808663550255,0.9254924553429724
200,599,400,2,8.780275664601016,0.139847522225754,9.827609989868337,0.156960907589995,12.531144510299137,340,340,3.931181640625,0.12553565306914927,-0.0010195281005662556,0.8961244833217165
240,639,440,5,9.383759351547248,0.1438073509925549,10.474021525240873,0.15943524401333356,13.45998003642519,309,309,3.891357421875,0.11006009930966122,-0.0008860236040537873,0.8750361468978451
280,679,480,5,9.162118742763338,0.13820409056171626,10.38375984659339,0.1399317570987164,13.378839827568944,309,309,3.856728515625,0.09897004876641179,-0.0007831107294029985,0.837194489025206
320,719,520,5,9.57368020639623,0.1447218989932599,10.349285708022297,0.1551697406865471,12.798441495795553,309,309,3.82650390625,0.08908072516034417,-0.0006933965456424794,0.8030838325702078
360,759,560,5,9.538557299022523,0.13105601723181115,10.376372317542724,0.14005503845603046,14.150092073989281,309,309,3.8001123046875,0.0806167620508927,-0.0006119640908888548,0.7519628021969731
400,799,600,5,9.668689713787417,0.13758585324474762,10.670408470356126,0.15181483074472776,15.131345021017479,309,309,3.774609375,0.07660172683721535,-0.0005718675878443032,0.7059889815618295
440,839,640,4,9.537443062457351,0.13022016455924476,11.334312940049813,0.18265716873758103,15.180677841082098,320,320,3.7496240234375,0.0752954498555111,-0.0005602635724481151,0.6911529330122702
480,879,680,4,9.155195302979822,0.13609374551985035,10.637481383733961,0.14766398552708435,14.847711784824684,320,320,3.727021484375,0.0740515122129795,-0.0005450439338683433,0.670389771907862
520,919,720,4,9.228046114726244,0.13210037507740938,10.5857120433293,0.15138122282185304,15.358821767616064,320,320,3.7056787109375,0.072376734256555,-0.0005316930813825476,0.6713584322036346
560,959,760,4,8.895977827986105,0.1278211434119228,10.446000373397911,0.15240199818235092,15.847886880268835,320,320,3.6859375,0.06918860887915591,-0.0004967272256389206,0.6314715860590941
600,999,800,4,9.191995250542925,0.13132780990362547,10.020992550605486,0.13363493574994884,15.60222910342548,320,320,3.6691162109375,0.06639382189969688,-0.00046400003134785243,0.5938863278890527
640,1039,840,4,9.168891221777063,0.12205573235898207,9.996849837439663,0.14024210976531656,16.68726385144572,320,320,3.652607421875,0.06334682580211008,-0.0004246106860433528,0.5378567214739253
680,1079,880,4,9.322722681821542,0.13033314442471045,10.26634404211472,0.15805543241901024,15.616961202564221,320,320,3.6374365234375,0.05883179003480725,-0.00038139734222949096,0.5046120276144346
720,1119,920,4,9.411224059886258,0.13323414864347136,10.202176387076383,0.14036114597644056,13.89794551681225,320,320,3.6230224609375,0.05483926151525486,-0.0003273830886247787,0.39243754441051026
760,1159,960,4,9.35393313397311,0.13654107932865261,10.240875706301784,0.1408329392280226,14.15319310880321,320,320,3.6081103515625,0.04975557642024242,-0.00027370282148248687,0.2487534459412072
800,1199,1000,4,9.400223024871654,0.1171711070770336,10.230159056884778,0.14515979932912468,14.062300971392869,320,320,3.5954345703125,0.0471204751571862,-0.00024864211797808323,0.1879273848881722
840,1239,1040,4,9.66949416508151,0.1401542418176749,10.007345186836407,0.1550466042060231,13.313503643638038,320,320,3.58716796875,0.04607794435710818,-0.0002238178051112866,0.1328417697921314
880,1279,1080,4,9.684031469580571,0.1465207726994704,10.22087282546665,0.17432108893408244,12.945808182215005,320,320,3.5779931640625,0.04488589522728626,-0.00021636042207686223,0.13526316128651253
920,1319,1120,4,9.639178188797555,0.15112864896364317,10.320205999329511,0.1661411685030239,14.001219947852066,320,320,3.5696826171875,0.044883581408893904,-0.00021922860406550304,0.14944663206555187
960,1359,1160,4,9.695619497789163,0.14513330233392607,10.48653354200558,0.17614828804156693,13.97255571155904,320,320,3.560908203125,0.04510855297347814,-0.00022052884412559687,0.14771189171064886
1000,1399,1200,4,9.683600144246384,0.15610939562801907,10.705055561855769,0.18554824237444872,13.78900074450002,320,320,3.550478515625,0.045553515099106476,-0.00023134019099338763,0.18676448171142587
1040,1439,1240,4,9.905269770200116,0.15407735736651623,10.842509508522486,0.16364044768846456,14.260651058602996,320,320,3.5408935546875,0.046410195282482296,-0.00023927474986172367,0.20837698165309934
