step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,315648.0,9.6328125,1.0,constant_lr
4,263296.0,8.03515625,1.0,constant_lr
5,254464.0,7.765625,1.0,constant_lr
6,253312.0,7.73046875,1.0,constant_lr
7,242944.0,7.4140625,1.0,constant_lr
8,232064.0,7.08203125,1.0,constant_lr
9,231936.0,7.078125,1.0,constant_lr
10,226688.0,6.91796875,1.0,constant_lr
11,222976.0,6.8046875,1.0,constant_lr
12,215168.0,6.56640625,1.0,constant_lr
13,216320.0,6.6015625,1.0,constant_lr
14,215168.0,6.56640625,1.0,constant_lr
15,210560.0,6.42578125,1.0,constant_lr
16,208896.0,6.375,1.0,constant_lr
17,208384.0,6.359375,1.0,constant_lr
18,207488.0,6.33203125,1.0,constant_lr
19,207232.0,6.32421875,1.0,constant_lr
20,206592.0,6.3046875,1.0,constant_lr
21,204160.0,6.23046875,1.0,constant_lr
22,200064.0,6.10546875,1.0,constant_lr
23,201856.0,6.16015625,1.0,constant_lr
24,201600.0,6.15234375,1.0,constant_lr
25,198016.0,6.04296875,1.0,constant_lr
26,197504.0,6.02734375,1.0,constant_lr
27,197120.0,6.015625,1.0,constant_lr
28,196224.0,5.98828125,1.0,constant_lr
29,196864.0,6.0078125,1.0,constant_lr
30,194816.0,5.9453125,1.0,constant_lr
31,192768.0,5.8828125,1.0,constant_lr
32,192512.0,5.875,1.0,constant_lr
33,192000.0,5.859375,1.0,constant_lr
34,193408.0,5.90234375,1.0,constant_lr
35,190592.0,5.81640625,1.0,constant_lr
36,191232.0,5.8359375,1.0,constant_lr
37,188544.0,5.75390625,1.0,constant_lr
38,190336.0,5.80859375,1.0,constant_lr
39,189312.0,5.77734375,1.0,constant_lr
40,186624.0,5.6953125,1.0,constant_lr
41,188416.0,5.75,1.0,constant_lr
42,185600.0,5.6640625,1.0,constant_lr
43,185344.0,5.65625,1.0,constant_lr
44,183808.0,5.609375,1.0,constant_lr
45,182528.0,5.5703125,1.0,constant_lr
46,183552.0,5.6015625,1.0,constant_lr
47,183808.0,5.609375,1.0,constant_lr
48,181120.0,5.52734375,1.0,constant_lr
49,181760.0,5.546875,1.0,constant_lr
50,182272.0,5.5625,1.0,constant_lr
51,177536.0,5.41796875,1.0,constant_lr
52,180224.0,5.5,1.0,constant_lr
53,178432.0,5.4453125,1.0,constant_lr
54,179072.0,5.46484375,1.0,constant_lr
55,177792.0,5.42578125,1.0,constant_lr
56,179072.0,5.46484375,1.0,constant_lr
57,178304.0,5.44140625,1.0,constant_lr
58,174464.0,5.32421875,1.0,constant_lr
59,177664.0,5.421875,1.0,constant_lr
60,176896.0,5.3984375,1.0,constant_lr
61,172544.0,5.265625,1.0,constant_lr
62,175488.0,5.35546875,1.0,constant_lr
63,174464.0,5.32421875,1.0,constant_lr
64,175872.0,5.3671875,1.0,constant_lr
65,171136.0,5.22265625,1.0,constant_lr
66,172416.0,5.26171875,1.0,constant_lr
67,173696.0,5.30078125,1.0,constant_lr
68,171648.0,5.23828125,1.0,constant_lr
69,172928.0,5.27734375,1.0,constant_lr
70,173568.0,5.296875,1.0,constant_lr
71,170240.0,5.1953125,1.0,constant_lr
72,170496.0,5.203125,1.0,constant_lr
73,169728.0,5.1796875,1.0,constant_lr
74,168448.0,5.140625,1.0,constant_lr
75,168832.0,5.15234375,1.0,constant_lr
76,169088.0,5.16015625,1.0,constant_lr
77,169216.0,5.1640625,1.0,constant_lr
78,169088.0,5.16015625,1.0,constant_lr
79,169600.0,5.17578125,1.0,constant_lr
80,168064.0,5.12890625,1.0,constant_lr
81,167040.0,5.09765625,1.0,constant_lr
82,167424.0,5.109375,1.0,constant_lr
83,166400.0,5.078125,1.0,constant_lr
