step,train_steps,train_time_ms,step_avg_ms
1,2330,67.0,66.7
2,2330,166.0,82.8
3,2330,191.0,63.63
4,2330,226.0,56.5
5,2330,285.0,57.08
6,2330,346.0,57.67
7,2330,422.0,60.24
8,2330,482.0,60.3
9,2330,542.0,60.26
10,2330,604.0,60.38
11,2330,664.0,60.39
12,2330,726.0,60.48
13,2330,786.0,60.46
14,2330,848.0,60.6
15,2330,909.0,60.62
16,2330,970.0,60.65
17,2330,1032.0,60.72
18,2330,1094.0,60.8
19,2330,1156.0,60.84
20,2330,1218.0,60.88
21,2330,1280.0,60.93
22,2330,1343.0,61.07
23,2330,1406.0,61.15
24,2330,1468.0,61.17
25,2330,1530.0,61.18
26,2330,1592.0,61.21
27,2330,1653.0,61.22
28,2330,1715.0,61.24
29,2330,1777.0,61.26
30,2330,1838.0,61.28
31,2330,1899.0,61.27
32,2330,1961.0,61.29
33,2330,2023.0,61.31
34,2330,2086.0,61.36
35,2330,2147.0,61.33
36,2330,2208.0,61.34
37,2330,2269.0,61.34
38,2330,2332.0,61.38
39,2330,2394.0,61.4
40,2330,2456.0,61.4
41,2330,2517.0,61.4
42,2330,2579.0,61.41
43,2330,2641.0,61.42
44,2330,2703.0,61.43
45,2330,2764.0,61.42
46,2330,2825.0,61.42
47,2330,2886.0,61.4
48,2330,2947.0,61.39
49,2330,3008.0,61.39
50,2330,3069.0,61.38
51,2330,3131.0,61.39
52,2330,3193.0,61.4
53,2330,3254.0,61.39
54,2330,3316.0,61.41
55,2330,3377.0,61.4
56,2330,3440.0,61.43
57,2330,3502.0,61.44
58,2330,3564.0,61.45
59,2330,3625.0,61.44
60,2330,3686.0,61.44
61,2330,3747.0,61.42
62,2330,3808.0,61.42
63,2330,3869.0,61.41
64,2330,3931.0,61.42
65,2330,3991.0,61.41
66,2330,4053.0,61.41
67,2330,4114.0,61.4
68,2330,4175.0,61.4
69,2330,4237.0,61.4
70,2330,4298.0,61.4
71,2330,4359.0,61.4
72,2330,4421.0,61.41
73,2330,4484.0,61.42
74,2330,4546.0,61.43
75,2330,4607.0,61.43
76,2330,4668.0,61.43
77,2330,4729.0,61.42
78,2330,4791.0,61.42
79,2330,4851.0,61.41
80,2330,4913.0,61.41
81,2330,4974.0,61.4
82,2330,5035.0,61.4
83,2330,5096.0,61.4
84,2330,5158.0,61.4
