step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,320512.0,9.78125,1.0,constant_lr
4,261376.0,7.9765625,1.0,constant_lr
5,253056.0,7.72265625,1.0,constant_lr
6,249728.0,7.62109375,1.0,constant_lr
7,240384.0,7.3359375,1.0,constant_lr
8,231552.0,7.06640625,1.0,constant_lr
9,231552.0,7.06640625,1.0,constant_lr
10,226304.0,6.90625,1.0,constant_lr
11,222848.0,6.80078125,1.0,constant_lr
12,215936.0,6.58984375,1.0,constant_lr
13,216960.0,6.62109375,1.0,constant_lr
14,214912.0,6.55859375,1.0,constant_lr
15,210688.0,6.4296875,1.0,constant_lr
16,208896.0,6.375,1.0,constant_lr
17,208000.0,6.34765625,1.0,constant_lr
18,207104.0,6.3203125,1.0,constant_lr
19,206976.0,6.31640625,1.0,constant_lr
20,206848.0,6.3125,1.0,constant_lr
21,204160.0,6.23046875,1.0,constant_lr
22,200320.0,6.11328125,1.0,constant_lr
23,201728.0,6.15625,1.0,constant_lr
24,202624.0,6.18359375,1.0,constant_lr
25,198400.0,6.0546875,1.0,constant_lr
26,198528.0,6.05859375,1.0,constant_lr
27,197632.0,6.03125,1.0,constant_lr
28,196736.0,6.00390625,1.0,constant_lr
29,197632.0,6.03125,1.0,constant_lr
30,195200.0,5.95703125,1.0,constant_lr
31,193152.0,5.89453125,1.0,constant_lr
32,193408.0,5.90234375,1.0,constant_lr
33,192128.0,5.86328125,1.0,constant_lr
34,195328.0,5.9609375,1.0,constant_lr
35,191872.0,5.85546875,1.0,constant_lr
36,192000.0,5.859375,1.0,constant_lr
37,189696.0,5.7890625,1.0,constant_lr
38,190464.0,5.8125,1.0,constant_lr
39,188672.0,5.7578125,1.0,constant_lr
40,187648.0,5.7265625,1.0,constant_lr
41,189056.0,5.76953125,1.0,constant_lr
42,186112.0,5.6796875,1.0,constant_lr
43,186368.0,5.6875,1.0,constant_lr
44,184320.0,5.625,1.0,constant_lr
45,183040.0,5.5859375,1.0,constant_lr
46,184064.0,5.6171875,1.0,constant_lr
47,183808.0,5.609375,1.0,constant_lr
48,180608.0,5.51171875,1.0,constant_lr
49,181632.0,5.54296875,1.0,constant_lr
50,182528.0,5.5703125,1.0,constant_lr
51,177280.0,5.41015625,1.0,constant_lr
52,180480.0,5.5078125,1.0,constant_lr
53,178688.0,5.453125,1.0,constant_lr
54,178560.0,5.44921875,1.0,constant_lr
55,177664.0,5.421875,1.0,constant_lr
56,178688.0,5.453125,1.0,constant_lr
57,177408.0,5.4140625,1.0,constant_lr
58,174464.0,5.32421875,1.0,constant_lr
59,177024.0,5.40234375,1.0,constant_lr
60,177408.0,5.4140625,1.0,constant_lr
61,172800.0,5.2734375,1.0,constant_lr
62,176128.0,5.375,1.0,constant_lr
63,175360.0,5.3515625,1.0,constant_lr
64,176128.0,5.375,1.0,constant_lr
65,171776.0,5.2421875,1.0,constant_lr
66,173568.0,5.296875,1.0,constant_lr
67,174464.0,5.32421875,1.0,constant_lr
68,172288.0,5.2578125,1.0,constant_lr
69,173696.0,5.30078125,1.0,constant_lr
70,175104.0,5.34375,1.0,constant_lr
71,171264.0,5.2265625,1.0,constant_lr
72,171392.0,5.23046875,1.0,constant_lr
73,170752.0,5.2109375,1.0,constant_lr
74,168832.0,5.15234375,1.0,constant_lr
75,169216.0,5.1640625,1.0,constant_lr
76,169856.0,5.18359375,1.0,constant_lr
77,169984.0,5.1875,1.0,constant_lr
78,169728.0,5.1796875,1.0,constant_lr
79,170752.0,5.2109375,1.0,constant_lr
80,168448.0,5.140625,1.0,constant_lr
81,167424.0,5.109375,1.0,constant_lr
82,167936.0,5.125,1.0,constant_lr
83,167040.0,5.09765625,1.0,constant_lr
