step,train_steps,train_time_ms,step_avg_ms
1,2330,69.0,69.16
2,2330,161.0,80.58
3,2330,189.0,62.98
4,2330,222.0,55.49
5,2330,282.0,56.4
6,2330,342.0,56.92
7,2330,415.0,59.26
8,2330,476.0,59.44
9,2330,536.0,59.53
10,2330,597.0,59.72
11,2330,658.0,59.82
12,2330,719.0,59.96
13,2330,780.0,60.01
14,2330,841.0,60.1
15,2330,902.0,60.15
16,2330,963.0,60.22
17,2330,1025.0,60.29
18,2330,1088.0,60.43
19,2330,1151.0,60.56
20,2330,1213.0,60.65
21,2330,1276.0,60.77
22,2330,1337.0,60.79
23,2330,1399.0,60.83
24,2330,1461.0,60.87
25,2330,1522.0,60.9
26,2330,1584.0,60.93
27,2330,1645.0,60.94
28,2330,1708.0,60.99
29,2330,1769.0,61.0
30,2330,1831.0,61.03
31,2330,1892.0,61.02
32,2330,1953.0,61.03
33,2330,2014.0,61.02
34,2330,2075.0,61.03
35,2330,2137.0,61.05
36,2330,2199.0,61.08
37,2330,2261.0,61.1
38,2330,2322.0,61.12
39,2330,2384.0,61.12
40,2330,2446.0,61.15
41,2330,2508.0,61.16
42,2330,2570.0,61.18
43,2330,2632.0,61.2
44,2330,2693.0,61.2
45,2330,2754.0,61.2
46,2330,2818.0,61.26
47,2330,2877.0,61.22
48,2330,2939.0,61.22
49,2330,3000.0,61.22
50,2330,3061.0,61.23
51,2330,3123.0,61.23
52,2330,3185.0,61.25
53,2330,3245.0,61.23
54,2330,3307.0,61.25
55,2330,3369.0,61.25
56,2330,3431.0,61.27
57,2330,3492.0,61.27
58,2330,3554.0,61.28
59,2330,3615.0,61.27
60,2330,3677.0,61.28
61,2330,3738.0,61.29
62,2330,3800.0,61.29
63,2330,3861.0,61.28
64,2330,3923.0,61.29
65,2330,3984.0,61.29
66,2330,4046.0,61.31
67,2330,4108.0,61.32
68,2330,4170.0,61.33
69,2330,4232.0,61.33
70,2330,4293.0,61.33
71,2330,4354.0,61.33
72,2330,4416.0,61.33
73,2330,4477.0,61.32
74,2330,4539.0,61.34
75,2330,4600.0,61.33
