step,train_steps,train_time_ms,step_avg_ms
1,2330,71.0,71.38
2,2330,166.0,83.22
3,2330,194.0,64.71
4,2330,226.0,56.58
5,2330,285.0,56.98
6,2330,384.0,63.94
7,2330,422.0,60.25
8,2330,482.0,60.27
9,2330,541.0,60.08
10,2330,601.0,60.12
11,2330,661.0,60.05
12,2330,721.0,60.1
13,2330,780.0,59.97
14,2330,841.0,60.07
15,2330,900.0,60.0
16,2330,961.0,60.06
17,2330,1020.0,59.99
18,2330,1082.0,60.12
19,2330,1144.0,60.22
20,2330,1207.0,60.35
21,2330,1268.0,60.37
22,2330,1329.0,60.43
23,2330,1390.0,60.46
24,2330,1454.0,60.57
25,2330,1514.0,60.58
26,2330,1576.0,60.62
27,2330,1636.0,60.58
28,2330,1698.0,60.64
29,2330,1758.0,60.62
30,2330,1820.0,60.65
31,2330,1879.0,60.61
32,2330,1941.0,60.64
33,2330,2000.0,60.6
34,2330,2061.0,60.62
35,2330,2120.0,60.58
36,2330,2181.0,60.6
37,2330,2241.0,60.57
38,2330,2305.0,60.65
39,2330,2367.0,60.68
40,2330,2428.0,60.7
41,2330,2489.0,60.7
42,2330,2552.0,60.75
43,2330,2612.0,60.74
44,2330,2674.0,60.78
45,2330,2734.0,60.76
46,2330,2795.0,60.76
47,2330,2855.0,60.75
48,2330,2916.0,60.76
49,2330,2977.0,60.75
50,2330,3038.0,60.76
51,2330,3098.0,60.74
52,2330,3160.0,60.76
53,2330,3221.0,60.77
54,2330,3282.0,60.77
55,2330,3342.0,60.76
56,2330,3404.0,60.78
57,2330,3464.0,60.77
58,2330,3525.0,60.78
59,2330,3585.0,60.77
60,2330,3648.0,60.8
61,2330,3708.0,60.79
62,2330,3770.0,60.8
63,2330,3830.0,60.8
64,2330,3891.0,60.8
65,2330,3952.0,60.81
66,2330,4014.0,60.82
67,2330,4075.0,60.82
68,2330,4136.0,60.82
69,2330,4196.0,60.81
70,2330,4258.0,60.82
71,2330,4318.0,60.81
72,2330,4380.0,60.84
73,2330,4440.0,60.83
74,2330,4502.0,60.84
75,2330,4562.0,60.83
76,2330,4622.0,60.82
77,2330,4682.0,60.81
78,2330,4744.0,60.81
79,2330,4803.0,60.79
80,2330,4865.0,60.81
81,2330,4925.0,60.8
82,2330,4987.0,60.81
83,2330,5047.0,60.81
84,2330,5109.0,60.82
85,2330,5170.0,60.82
86,2330,5231.0,60.83
87,2330,5292.0,60.83
88,2330,5354.0,60.84
89,2330,5414.0,60.83
90,2330,5476.0,60.84
91,2330,5537.0,60.85
92,2330,5599.0,60.86
93,2330,5660.0,60.86
94,2330,5721.0,60.86
95,2330,5781.0,60.86
96,2330,5842.0,60.86
97,2330,5902.0,60.85
98,2330,5963.0,60.85
99,2330,6022.0,60.83
100,2330,6084.0,60.84
101,2330,6144.0,60.83
102,2330,6206.0,60.84
103,2330,6267.0,60.84
104,2330,6328.0,60.85
105,2330,6389.0,60.85
106,2330,6451.0,60.86
107,2330,6511.0,60.85
108,2330,6574.0,60.87
109,2330,6634.0,60.86
110,2330,6696.0,60.87
111,2330,6756.0,60.87
112,2330,6818.0,60.87
113,2330,6878.0,60.86
114,2330,6939.0,60.87
115,2330,7000.0,60.87
116,2330,7061.0,60.87
117,2330,7121.0,60.86
118,2330,7182.0,60.87
