step,train_steps,train_time_ms,step_avg_ms
1,2330,66.0,66.4
2,2330,165.0,82.64
3,2330,188.0,62.72
4,2330,225.0,56.16
5,2330,284.0,56.73
6,2330,344.0,57.31
7,2330,418.0,59.71
8,2330,478.0,59.8
9,2330,539.0,59.88
10,2330,600.0,60.01
11,2330,661.0,60.09
12,2330,722.0,60.13
13,2330,782.0,60.17
14,2330,843.0,60.22
15,2330,904.0,60.29
16,2330,965.0,60.34
17,2330,1028.0,60.46
18,2330,1092.0,60.65
19,2330,1155.0,60.8
20,2330,1217.0,60.85
21,2330,1278.0,60.88
22,2330,1342.0,60.99
23,2330,1402.0,60.96
24,2330,1464.0,61.0
25,2330,1526.0,61.03
26,2330,1588.0,61.09
27,2330,1650.0,61.11
28,2330,1712.0,61.13
29,2330,1773.0,61.12
30,2330,1834.0,61.15
31,2330,1895.0,61.13
32,2330,1957.0,61.15
33,2330,2018.0,61.14
34,2330,2079.0,61.16
35,2330,2142.0,61.19
36,2330,2204.0,61.21
37,2330,2266.0,61.25
38,2330,2328.0,61.27
39,2330,2390.0,61.27
40,2330,2452.0,61.3
41,2330,2513.0,61.3
42,2330,2575.0,61.31
43,2330,2636.0,61.31
44,2330,2698.0,61.32
45,2330,2758.0,61.3
46,2330,2820.0,61.3
47,2330,2880.0,61.29
48,2330,2942.0,61.28
49,2330,3003.0,61.28
50,2330,3065.0,61.29
51,2330,3126.0,61.29
52,2330,3189.0,61.32
53,2330,3251.0,61.34
54,2330,3312.0,61.34
55,2330,3374.0,61.34
56,2330,3435.0,61.35
57,2330,3496.0,61.33
58,2330,3558.0,61.34
59,2330,3619.0,61.34
60,2330,3680.0,61.34
61,2330,3741.0,61.33
62,2330,3802.0,61.33
63,2330,3863.0,61.32
64,2330,3925.0,61.33
65,2330,3986.0,61.33
66,2330,4048.0,61.34
67,2330,4109.0,61.34
68,2330,4171.0,61.34
69,2330,4232.0,61.33
70,2330,4294.0,61.34
71,2330,4355.0,61.34
72,2330,4417.0,61.34
73,2330,4478.0,61.34
74,2330,4539.0,61.34
75,2330,4600.0,61.33
76,2330,4661.0,61.33
77,2330,4722.0,61.33
78,2330,4784.0,61.33
79,2330,4845.0,61.32
80,2330,4906.0,61.33
81,2330,4967.0,61.32
82,2330,5029.0,61.33
83,2330,5090.0,61.33
84,2330,5153.0,61.34
85,2330,5214.0,61.34
86,2330,5275.0,61.34
87,2330,5336.0,61.34
88,2330,5399.0,61.35
89,2330,5460.0,61.35
90,2330,5522.0,61.35
91,2330,5582.0,61.34
92,2330,5644.0,61.35
93,2330,5705.0,61.34
94,2330,5767.0,61.35
95,2330,5827.0,61.33
96,2330,5889.0,61.35
97,2330,5949.0,61.33
98,2330,6012.0,61.34
99,2330,6072.0,61.34
100,2330,6134.0,61.34
101,2330,6195.0,61.34
102,2330,6258.0,61.35
103,2330,6318.0,61.34
104,2330,6381.0,61.35
105,2330,6441.0,61.34
106,2330,6503.0,61.35
107,2330,6563.0,61.34
108,2330,6626.0,61.35
109,2330,6685.0,61.33
110,2330,6747.0,61.34
111,2330,6808.0,61.33
112,2330,6870.0,61.34
113,2330,6930.0,61.33
114,2330,6993.0,61.34
115,2330,7053.0,61.33
116,2330,7115.0,61.34
117,2330,7176.0,61.33
118,2330,7238.0,61.34
119,2330,7298.0,61.33
120,2330,7360.0,61.33
121,2330,7420.0,61.32
122,2330,7482.0,61.33
123,2330,7541.0,61.31
124,2330,7604.0,61.32
125,2330,7663.0,61.31
126,2330,7725.0,61.31
127,2330,7785.0,61.3
128,2330,7848.0,61.31
129,2330,7909.0,61.31
130,2330,7971.0,61.31
131,2330,8031.0,61.31
132,2330,8094.0,61.31
133,2330,8154.0,61.31
134,2330,8216.0,61.31
135,2330,8277.0,61.31
136,2330,8338.0,61.31
137,2330,8399.0,61.31
138,2330,8461.0,61.31
139,2330,8521.0,61.3
140,2330,8583.0,61.31
141,2330,8643.0,61.29
142,2330,8704.0,61.3
143,2330,8764.0,61.29
144,2330,8826.0,61.29
145,2330,8887.0,61.29
146,2330,8949.0,61.29
147,2330,9010.0,61.29
148,2330,9072.0,61.3
149,2330,9134.0,61.3
150,2330,9196.0,61.3
151,2330,9256.0,61.3
152,2330,9318.0,61.3
153,2330,9378.0,61.29
154,2330,9440.0,61.3
155,2330,9500.0,61.29
156,2330,9562.0,61.29
157,2330,9622.0,61.28
158,2330,9684.0,61.29
159,2330,9743.0,61.28
160,2330,9805.0,61.28
161,2330,9866.0,61.28
162,2330,9928.0,61.28
163,2330,9989.0,61.28
164,2330,10052.0,61.29
165,2330,10112.0,61.29
166,2330,10174.0,61.29
167,2330,10235.0,61.29
168,2330,10299.0,61.3
169,2330,10358.0,61.29
170,2330,10420.0,61.29
171,2330,10480.0,61.29
172,2330,10543.0,61.29
173,2330,10602.0,61.28
174,2330,10663.0,61.28
175,2330,10723.0,61.28
176,2330,10785.0,61.28
177,2330,10845.0,61.27
178,2330,10908.0,61.28
179,2330,10968.0,61.27
180,2330,11030.0,61.28
181,2330,11091.0,61.28
182,2330,11153.0,61.28
183,2330,11214.0,61.28
184,2330,11276.0,61.28
185,2330,11336.0,61.27
186,2330,11398.0,61.28
187,2330,11458.0,61.27
188,2330,11519.0,61.27
189,2330,11579.0,61.26
190,2330,11640.0,61.27
191,2330,11700.0,61.26
192,2330,11762.0,61.26
193,2330,11821.0,61.25
194,2330,11883.0,61.25
195,2330,11943.0,61.25
196,2330,12007.0,61.26
197,2330,12067.0,61.25
198,2330,12130.0,61.26
199,2330,12190.0,61.26
200,2330,12253.0,61.27
201,2330,12314.0,61.26
202,2330,12376.0,61.27
203,2330,12437.0,61.27
204,2330,12500.0,61.27
205,2330,12560.0,61.27
206,2330,12621.0,61.27
207,2330,12681.0,61.26
208,2330,12743.0,61.26
209,2330,12802.0,61.25
210,2330,12864.0,61.26
211,2330,12924.0,61.25
212,2330,12986.0,61.25
213,2330,13047.0,61.25
214,2330,13109.0,61.26
215,2330,13171.0,61.26
216,2330,13233.0,61.26
217,2330,13293.0,61.26
218,2330,13355.0,61.26
219,2330,13416.0,61.26
220,2330,13478.0,61.26
221,2330,13539.0,61.26
222,2330,13602.0,61.27
223,2330,13661.0,61.26
224,2330,13723.0,61.26
225,2330,13782.0,61.25
226,2330,13843.0,61.25
227,2330,13904.0,61.25
228,2330,13965.0,61.25
229,2330,14026.0,61.25
230,2330,14088.0,61.25
231,2330,14148.0,61.25
232,2330,14211.0,61.26
233,2330,14272.0,61.25
234,2330,14334.0,61.25
235,2330,14394.0,61.25
236,2330,14456.0,61.25
237,2330,14516.0,61.25
238,2330,14578.0,61.25
239,2330,14638.0,61.25
240,2330,14700.0,61.25
241,2330,14759.0,61.24
242,2330,14821.0,61.24
243,2330,14880.0,61.24
244,2330,14942.0,61.24
245,2330,15002.0,61.23
246,2330,15064.0,61.24
247,2330,15124.0,61.23
248,2330,15187.0,61.24
249,2330,15249.0,61.24
250,2330,15311.0,61.24
251,2330,15392.0,61.32
252,2330,15432.0,61.24
253,2330,15497.0,61.25
254,2330,15565.0,61.28
255,2330,15627.0,61.28
256,2330,15687.0,61.28
257,2330,15747.0,61.27
258,2330,15808.0,61.27
259,2330,15868.0,61.27
260,2330,15928.0,61.26
261,2330,15988.0,61.26
262,2330,16049.0,61.25
263,2330,16108.0,61.25
264,2330,16168.0,61.24
265,2330,16228.0,61.24
266,2330,16291.0,61.24
267,2330,16356.0,61.26
268,2330,16418.0,61.26
269,2330,16480.0,61.26
270,2330,16541.0,61.26
271,2330,16603.0,61.26
272,2330,16664.0,61.27
273,2330,16725.0,61.26
274,2330,16785.0,61.26
275,2330,16845.0,61.26
276,2330,16906.0,61.25
277,2330,16966.0,61.25
278,2330,17027.0,61.25
279,2330,17087.0,61.24
280,2330,17147.0,61.24
281,2330,17207.0,61.24
282,2330,17268.0,61.23
283,2330,17330.0,61.24
284,2330,17392.0,61.24
285,2330,17454.0,61.24
286,2330,17515.0,61.24
287,2330,17577.0,61.25
288,2330,17639.0,61.25
289,2330,17700.0,61.24
290,2330,17761.0,61.24
291,2330,17821.0,61.24
292,2330,17882.0,61.24
293,2330,17943.0,61.24
294,2330,18004.0,61.24
295,2330,18064.0,61.23
296,2330,18125.0,61.23
297,2330,18185.0,61.23
298,2330,18246.0,61.23
299,2330,18307.0,61.23
300,2330,18368.0,61.23
301,2330,18429.0,61.23
302,2330,18490.0,61.22
303,2330,18551.0,61.22
304,2330,18612.0,61.22
305,2330,18673.0,61.22
306,2330,18734.0,61.22
307,2330,18796.0,61.22
308,2330,18857.0,61.22
309,2330,18918.0,61.22
310,2330,18980.0,61.23
