step,train_steps,train_time_ms,step_avg_ms
1,2330,72.0,71.6
2,2330,165.0,82.53
3,2330,191.0,63.82
4,2330,227.0,56.87
5,2330,286.0,57.22
6,2330,386.0,64.3
7,2330,475.0,67.81
8,2330,535.0,66.93
9,2330,595.0,66.14
10,2330,657.0,65.69
11,2330,716.0,65.13
12,2330,778.0,64.86
13,2330,838.0,64.48
14,2330,900.0,64.3
15,2330,960.0,64.02
16,2330,1022.0,63.88
17,2330,1082.0,63.66
18,2330,1144.0,63.58
19,2330,1204.0,63.39
20,2330,1266.0,63.31
21,2330,1328.0,63.23
22,2330,1393.0,63.32
23,2330,1456.0,63.3
24,2330,1519.0,63.3
25,2330,1581.0,63.26
26,2330,1644.0,63.24
27,2330,1705.0,63.16
28,2330,1768.0,63.14
29,2330,1828.0,63.04
30,2330,1891.0,63.03
31,2330,1950.0,62.91
32,2330,2012.0,62.88
33,2330,2072.0,62.78
34,2330,2134.0,62.77
35,2330,2194.0,62.7
36,2330,2258.0,62.72
37,2330,2317.0,62.63
38,2330,2381.0,62.65
39,2330,2442.0,62.62
40,2330,2505.0,62.63
41,2330,2566.0,62.6
42,2330,2630.0,62.62
43,2330,2690.0,62.57
44,2330,2753.0,62.56
45,2330,2813.0,62.51
46,2330,2875.0,62.5
47,2330,2935.0,62.45
48,2330,2998.0,62.45
49,2330,3058.0,62.41
50,2330,3121.0,62.42
51,2330,3181.0,62.37
52,2330,3244.0,62.39
53,2330,3304.0,62.35
54,2330,3367.0,62.35
55,2330,3427.0,62.31
56,2330,3490.0,62.33
57,2330,3551.0,62.29
58,2330,3613.0,62.3
59,2330,3675.0,62.29
60,2330,3738.0,62.3
61,2330,3799.0,62.27
62,2330,3862.0,62.29
63,2330,3922.0,62.25
64,2330,3986.0,62.28
65,2330,4046.0,62.25
66,2330,4109.0,62.26
67,2330,4170.0,62.23
68,2330,4231.0,62.22
69,2330,4292.0,62.2
70,2330,4354.0,62.19
71,2330,4414.0,62.17
72,2330,4478.0,62.2
73,2330,4539.0,62.17
74,2330,4602.0,62.19
75,2330,4662.0,62.16
76,2330,4727.0,62.19
77,2330,4787.0,62.17
78,2330,4850.0,62.18
79,2330,4910.0,62.15
80,2330,4973.0,62.16
81,2330,5032.0,62.13
82,2330,5096.0,62.15
83,2330,5156.0,62.12
84,2330,5219.0,62.13
85,2330,5280.0,62.12
86,2330,5342.0,62.12
87,2330,5404.0,62.11
88,2330,5467.0,62.12
89,2330,5527.0,62.1
90,2330,5589.0,62.1
91,2330,5649.0,62.08
92,2330,5712.0,62.09
93,2330,5773.0,62.08
94,2330,5835.0,62.08
95,2330,5897.0,62.07
96,2330,5960.0,62.08
97,2330,6021.0,62.07
98,2330,6083.0,62.07
99,2330,6144.0,62.06
100,2330,6207.0,62.07
101,2330,6268.0,62.05
102,2330,6331.0,62.06
103,2330,6391.0,62.05
104,2330,6453.0,62.05
105,2330,6513.0,62.03
106,2330,6576.0,62.03
107,2330,6636.0,62.02
108,2330,6698.0,62.02
109,2330,6759.0,62.01
110,2330,6821.0,62.01
111,2330,6883.0,62.01
112,2330,6946.0,62.02
113,2330,7007.0,62.01
114,2330,7069.0,62.01
115,2330,7130.0,62.0
116,2330,7192.0,62.0
117,2330,7252.0,61.98
118,2330,7315.0,61.99
119,2330,7376.0,61.98
120,2330,7438.0,61.99
121,2330,7499.0,61.97
122,2330,7561.0,61.98
123,2330,7622.0,61.97
124,2330,7685.0,61.98
125,2330,7745.0,61.96
126,2330,7808.0,61.97
127,2330,7869.0,61.96
128,2330,7931.0,61.96
129,2330,7991.0,61.95
130,2330,8053.0,61.95
131,2330,8114.0,61.94
132,2330,8177.0,61.94
133,2330,8237.0,61.93
134,2330,8299.0,61.94
135,2330,8359.0,61.92
136,2330,8422.0,61.93
137,2330,8483.0,61.92
138,2330,8546.0,61.93
139,2330,8606.0,61.92
140,2330,8669.0,61.92
141,2330,8730.0,61.91
142,2330,8793.0,61.92
143,2330,8853.0,61.91
144,2330,8915.0,61.91
145,2330,8975.0,61.9
146,2330,9038.0,61.9
147,2330,9100.0,61.91
148,2330,9160.0,61.89
149,2330,9221.0,61.88
150,2330,9284.0,61.89
151,2330,9345.0,61.89
152,2330,9408.0,61.9
153,2330,9468.0,61.88
154,2330,9531.0,61.89
155,2330,9591.0,61.88
156,2330,9652.0,61.87
157,2330,9713.0,61.87
158,2330,9775.0,61.87
159,2330,9836.0,61.86
160,2330,9898.0,61.86
161,2330,9958.0,61.85
162,2330,10020.0,61.85
163,2330,10080.0,61.84
164,2330,10143.0,61.85
165,2330,10204.0,61.84
166,2330,10267.0,61.85
167,2330,10328.0,61.84
168,2330,10391.0,61.85
169,2330,10450.0,61.84
170,2330,10512.0,61.84
171,2330,10572.0,61.83
172,2330,10634.0,61.83
173,2330,10695.0,61.82
174,2330,10757.0,61.82
175,2330,10817.0,61.81
176,2330,10880.0,61.82
177,2330,10941.0,61.81
178,2330,11002.0,61.81
179,2330,11063.0,61.8
180,2330,11124.0,61.8
181,2330,11185.0,61.79
182,2330,11248.0,61.8
183,2330,11309.0,61.8
184,2330,11371.0,61.8
185,2330,11432.0,61.79
186,2330,11494.0,61.79
187,2330,11554.0,61.79
188,2330,11617.0,61.79
189,2330,11677.0,61.78
190,2330,11739.0,61.79
191,2330,11800.0,61.78
192,2330,11863.0,61.79
193,2330,11923.0,61.78
194,2330,11986.0,61.78
195,2330,12046.0,61.77
196,2330,12108.0,61.78
197,2330,12168.0,61.77
198,2330,12231.0,61.77
199,2330,12292.0,61.77
200,2330,12354.0,61.77
201,2330,12414.0,61.76
202,2330,12476.0,61.76
203,2330,12537.0,61.76
204,2330,12600.0,61.76
205,2330,12662.0,61.76
206,2330,12724.0,61.77
207,2330,12784.0,61.76
208,2330,12847.0,61.76
209,2330,12907.0,61.76
210,2330,12970.0,61.76
211,2330,13029.0,61.75
212,2330,13091.0,61.75
213,2330,13151.0,61.74
214,2330,13213.0,61.74
215,2330,13274.0,61.74
216,2330,13336.0,61.74
217,2330,13397.0,61.74
218,2330,13459.0,61.74
219,2330,13519.0,61.73
220,2330,13581.0,61.73
221,2330,13642.0,61.73
222,2330,13704.0,61.73
223,2330,13765.0,61.73
224,2330,13827.0,61.73
225,2330,13888.0,61.72
226,2330,13950.0,61.73
227,2330,14010.0,61.72
228,2330,14072.0,61.72
229,2330,14132.0,61.71
230,2330,14194.0,61.71
231,2330,14254.0,61.7
232,2330,14317.0,61.71
233,2330,14377.0,61.7
234,2330,14440.0,61.71
235,2330,14500.0,61.7
236,2330,14562.0,61.7
237,2330,14622.0,61.7
238,2330,14685.0,61.7
239,2330,14745.0,61.7
240,2330,14808.0,61.7
241,2330,14868.0,61.69
242,2330,14930.0,61.7
243,2330,14990.0,61.69
244,2330,15053.0,61.69
245,2330,15113.0,61.69
246,2330,15174.0,61.68
247,2330,15235.0,61.68
248,2330,15297.0,61.68
249,2330,15358.0,61.68
250,2330,15420.0,61.68
251,2330,15502.0,61.76
252,2330,15543.0,61.68
253,2330,15607.0,61.69
254,2330,15675.0,61.71
255,2330,15736.0,61.71
256,2330,15799.0,61.71
257,2330,15858.0,61.71
258,2330,15919.0,61.7
259,2330,15979.0,61.7
260,2330,16040.0,61.69
261,2330,16100.0,61.69
262,2330,16161.0,61.68
263,2330,16221.0,61.68
264,2330,16282.0,61.67
265,2330,16341.0,61.67
266,2330,16404.0,61.67
267,2330,16465.0,61.67
268,2330,16529.0,61.67
269,2330,16590.0,61.67
270,2330,16653.0,61.68
271,2330,16714.0,61.68
272,2330,16777.0,61.68
273,2330,16837.0,61.67
274,2330,16899.0,61.67
275,2330,16958.0,61.67
276,2330,17020.0,61.67
277,2330,17080.0,61.66
278,2330,17141.0,61.66
279,2330,17201.0,61.65
280,2330,17262.0,61.65
281,2330,17322.0,61.64
282,2330,17384.0,61.64
283,2330,17444.0,61.64
284,2330,17507.0,61.65
285,2330,17570.0,61.65
286,2330,17632.0,61.65
287,2330,17693.0,61.65
288,2330,17756.0,61.65
289,2330,17816.0,61.65
290,2330,17878.0,61.65
291,2330,17938.0,61.64
292,2330,18000.0,61.65
293,2330,18060.0,61.64
294,2330,18121.0,61.64
295,2330,18181.0,61.63
296,2330,18243.0,61.63
297,2330,18303.0,61.63
298,2330,18364.0,61.63
299,2330,18424.0,61.62
300,2330,18487.0,61.62
301,2330,18548.0,61.62
302,2330,18611.0,61.62
303,2330,18672.0,61.62
304,2330,18734.0,61.62
305,2330,18795.0,61.62
306,2330,18857.0,61.62
307,2330,18917.0,61.62
308,2330,18979.0,61.62
309,2330,19039.0,61.61
310,2330,19101.0,61.61
311,2330,19160.0,61.61
312,2330,19222.0,61.61
313,2330,19282.0,61.6
314,2330,19344.0,61.61
315,2330,19404.0,61.6
316,2330,19467.0,61.6
317,2330,19528.0,61.6
318,2330,19590.0,61.61
319,2330,19651.0,61.6
320,2330,19713.0,61.6
321,2330,19774.0,61.6
322,2330,19835.0,61.6
323,2330,19895.0,61.6
324,2330,19956.0,61.59
325,2330,20017.0,61.59
326,2330,20079.0,61.59
327,2330,20140.0,61.59
328,2330,20202.0,61.59
329,2330,20261.0,61.58
330,2330,20322.0,61.58
331,2330,20383.0,61.58
332,2330,20444.0,61.58
333,2330,20505.0,61.58
334,2330,20567.0,61.58
335,2330,20628.0,61.58
336,2330,20690.0,61.58
337,2330,20751.0,61.58
338,2330,20813.0,61.58
339,2330,20873.0,61.57
340,2330,20936.0,61.58
341,2330,20996.0,61.57
342,2330,21058.0,61.57
343,2330,21118.0,61.57
344,2330,21181.0,61.57
345,2330,21240.0,61.57
346,2330,21302.0,61.57
347,2330,21362.0,61.56
348,2330,21424.0,61.56
349,2330,21484.0,61.56
350,2330,21546.0,61.56
351,2330,21606.0,61.56
352,2330,21668.0,61.56
353,2330,21730.0,61.56
354,2330,21792.0,61.56
355,2330,21853.0,61.56
356,2330,21915.0,61.56
357,2330,21975.0,61.56
358,2330,22037.0,61.56
359,2330,22098.0,61.55
360,2330,22160.0,61.56
361,2330,22220.0,61.55
362,2330,22282.0,61.55
363,2330,22341.0,61.55
364,2330,22403.0,61.55
365,2330,22463.0,61.54
366,2330,22525.0,61.54
367,2330,22586.0,61.54
368,2330,22648.0,61.54
369,2330,22709.0,61.54
370,2330,22771.0,61.54
371,2330,22831.0,61.54
372,2330,22894.0,61.54
373,2330,22954.0,61.54
374,2330,23015.0,61.54
375,2330,23076.0,61.53
376,2330,23137.0,61.53
377,2330,23198.0,61.53
378,2330,23260.0,61.53
379,2330,23320.0,61.53
380,2330,23382.0,61.53
381,2330,23442.0,61.53
382,2330,23504.0,61.53
383,2330,23564.0,61.53
384,2330,23626.0,61.53
385,2330,23686.0,61.52
386,2330,23749.0,61.53
387,2330,23809.0,61.52
388,2330,23872.0,61.53
389,2330,23932.0,61.52
390,2330,23994.0,61.52
391,2330,24054.0,61.52
392,2330,24117.0,61.52
393,2330,24177.0,61.52
394,2330,24239.0,61.52
395,2330,24299.0,61.52
396,2330,24360.0,61.51
397,2330,24420.0,61.51
398,2330,24482.0,61.51
399,2330,24543.0,61.51
400,2330,24604.0,61.51
401,2330,24663.0,61.5
402,2330,24726.0,61.51
403,2330,24786.0,61.5
404,2330,24849.0,61.51
405,2330,24910.0,61.51
406,2330,24972.0,61.51
407,2330,25031.0,61.5
408,2330,25094.0,61.51
409,2330,25154.0,61.5
