step,train_steps,train_time_ms,step_avg_ms
1,2330,62.0,61.56
2,2330,167.0,83.56
3,2330,189.0,63.14
4,2330,215.0,53.76
5,2330,267.0,53.3
6,2330,380.0,63.36
7,2330,405.0,57.85
8,2330,458.0,57.24
9,2330,515.0,57.19
10,2330,575.0,57.53
11,2330,634.0,57.65
12,2330,694.0,57.8
13,2330,752.0,57.82
14,2330,812.0,57.99
15,2330,870.0,58.01
16,2330,930.0,58.14
17,2330,989.0,58.18
18,2330,1049.0,58.25
19,2330,1107.0,58.26
20,2330,1169.0,58.44
21,2330,1227.0,58.43
22,2330,1288.0,58.55
23,2330,1347.0,58.56
24,2330,1409.0,58.69
25,2330,1468.0,58.73
26,2330,1529.0,58.82
27,2330,1588.0,58.83
28,2330,1649.0,58.9
29,2330,1708.0,58.9
30,2330,1769.0,58.96
31,2330,1827.0,58.94
32,2330,1887.0,58.97
33,2330,1945.0,58.95
34,2330,2006.0,59.0
35,2330,2065.0,58.99
36,2330,2125.0,59.04
37,2330,2184.0,59.03
38,2330,2245.0,59.09
39,2330,2305.0,59.09
40,2330,2366.0,59.14
41,2330,2425.0,59.14
42,2330,2486.0,59.19
43,2330,2545.0,59.18
44,2330,2606.0,59.23
45,2330,2665.0,59.23
46,2330,2727.0,59.28
47,2330,2785.0,59.26
48,2330,2846.0,59.3
49,2330,2905.0,59.29
50,2330,2965.0,59.31
51,2330,3024.0,59.3
52,2330,3085.0,59.32
53,2330,3143.0,59.3
54,2330,3204.0,59.33
55,2330,3262.0,59.31
56,2330,3325.0,59.37
57,2330,3383.0,59.36
58,2330,3445.0,59.39
59,2330,3505.0,59.4
60,2330,3565.0,59.42
61,2330,3624.0,59.42
62,2330,3685.0,59.44
63,2330,3744.0,59.43
64,2330,3805.0,59.46
65,2330,3864.0,59.45
66,2330,3926.0,59.48
67,2330,3984.0,59.47
68,2330,4045.0,59.49
69,2330,4104.0,59.48
70,2330,4165.0,59.5
71,2330,4223.0,59.48
72,2330,4284.0,59.5
73,2330,4343.0,59.5
74,2330,4405.0,59.52
75,2330,4463.0,59.51
76,2330,4525.0,59.54
77,2330,4584.0,59.54
78,2330,4646.0,59.57
79,2330,4707.0,59.58
80,2330,4767.0,59.59
81,2330,4826.0,59.58
82,2330,4887.0,59.6
83,2330,4946.0,59.59
84,2330,5007.0,59.61
85,2330,5066.0,59.6
86,2330,5127.0,59.61
87,2330,5186.0,59.6
88,2330,5247.0,59.62
89,2330,5306.0,59.62
90,2330,5368.0,59.64
91,2330,5427.0,59.63
92,2330,5488.0,59.65
93,2330,5547.0,59.64
94,2330,5608.0,59.66
95,2330,5667.0,59.65
96,2330,5729.0,59.67
97,2330,5788.0,59.67
98,2330,5849.0,59.68
99,2330,5908.0,59.67
100,2330,5969.0,59.69
101,2330,6027.0,59.68
102,2330,6089.0,59.69
103,2330,6148.0,59.69
104,2330,6209.0,59.7
105,2330,6268.0,59.69
106,2330,6329.0,59.71
107,2330,6389.0,59.71
108,2330,6449.0,59.72
109,2330,6508.0,59.71
110,2330,6569.0,59.72
111,2330,6629.0,59.72
112,2330,6690.0,59.73
113,2330,6749.0,59.72
114,2330,6810.0,59.74
115,2330,6868.0,59.72
116,2330,6930.0,59.74
117,2330,6988.0,59.73
118,2330,7049.0,59.74
119,2330,7108.0,59.73
120,2330,7169.0,59.74
121,2330,7228.0,59.74
122,2330,7289.0,59.75
123,2330,7348.0,59.74
124,2330,7409.0,59.75
125,2330,7469.0,59.75
126,2330,7530.0,59.76
127,2330,7589.0,59.75
128,2330,7650.0,59.77
129,2330,7710.0,59.77
130,2330,7770.0,59.77
131,2330,7829.0,59.77
132,2330,7890.0,59.77
133,2330,7949.0,59.77
134,2330,8011.0,59.78
135,2330,8069.0,59.77
136,2330,8130.0,59.78
137,2330,8189.0,59.77
138,2330,8250.0,59.78
139,2330,8309.0,59.78
140,2330,8370.0,59.78
141,2330,8430.0,59.78
142,2330,8490.0,59.79
143,2330,8549.0,59.78
144,2330,8611.0,59.8
145,2330,8669.0,59.79
146,2330,8731.0,59.8
147,2330,8789.0,59.79
148,2330,8851.0,59.8
149,2330,8910.0,59.8
150,2330,8970.0,59.8
151,2330,9029.0,59.8
152,2330,9090.0,59.8
153,2330,9150.0,59.8
154,2330,9211.0,59.81
155,2330,9269.0,59.8
156,2330,9330.0,59.81
157,2330,9389.0,59.8
158,2330,9450.0,59.81
159,2330,9509.0,59.81
160,2330,9571.0,59.82
161,2330,9630.0,59.81
162,2330,9691.0,59.82
163,2330,9750.0,59.82
164,2330,9812.0,59.83
165,2330,9870.0,59.82
166,2330,9931.0,59.83
167,2330,9990.0,59.82
168,2330,10052.0,59.83
169,2330,10111.0,59.83
170,2330,10171.0,59.83
171,2330,10230.0,59.83
172,2330,10291.0,59.83
173,2330,10350.0,59.83
174,2330,10411.0,59.83
175,2330,10469.0,59.83
176,2330,10531.0,59.83
177,2330,10589.0,59.83
178,2330,10651.0,59.84
179,2330,10711.0,59.84
180,2330,10772.0,59.85
181,2330,10831.0,59.84
182,2330,10891.0,59.84
183,2330,10951.0,59.84
184,2330,11013.0,59.85
185,2330,11071.0,59.84
186,2330,11131.0,59.84
187,2330,11190.0,59.84
188,2330,11251.0,59.85
189,2330,11310.0,59.84
190,2330,11371.0,59.85
191,2330,11430.0,59.84
192,2330,11491.0,59.85
193,2330,11550.0,59.85
194,2330,11611.0,59.85
195,2330,11670.0,59.85
196,2330,11731.0,59.85
197,2330,11789.0,59.84
198,2330,11851.0,59.85
199,2330,11910.0,59.85
200,2330,11971.0,59.86
201,2330,12030.0,59.85
202,2330,12091.0,59.85
203,2330,12149.0,59.85
204,2330,12210.0,59.85
205,2330,12269.0,59.85
206,2330,12331.0,59.86
207,2330,12389.0,59.85
208,2330,12451.0,59.86
209,2330,12510.0,59.86
210,2330,12571.0,59.86
211,2330,12630.0,59.86
212,2330,12691.0,59.86
213,2330,12750.0,59.86
214,2330,12811.0,59.86
215,2330,12870.0,59.86
216,2330,12931.0,59.87
217,2330,12990.0,59.86
218,2330,13052.0,59.87
219,2330,13111.0,59.87
220,2330,13172.0,59.87
221,2330,13231.0,59.87
222,2330,13291.0,59.87
223,2330,13350.0,59.87
224,2330,13412.0,59.87
225,2330,13470.0,59.87
226,2330,13531.0,59.87
227,2330,13590.0,59.87
228,2330,13652.0,59.88
229,2330,13711.0,59.87
230,2330,13772.0,59.88
231,2330,13831.0,59.88
232,2330,13892.0,59.88
233,2330,13951.0,59.88
234,2330,14012.0,59.88
235,2330,14071.0,59.88
236,2330,14133.0,59.88
237,2330,14191.0,59.88
238,2330,14252.0,59.88
239,2330,14311.0,59.88
240,2330,14372.0,59.89
241,2330,14432.0,59.88
242,2330,14492.0,59.89
243,2330,14552.0,59.88
244,2330,14612.0,59.89
245,2330,14671.0,59.88
246,2330,14733.0,59.89
247,2330,14791.0,59.88
248,2330,14852.0,59.89
249,2330,14911.0,59.88
250,2330,14972.0,59.89
251,2330,15070.0,60.04
252,2330,15092.0,59.89
253,2330,15152.0,59.89
254,2330,15216.0,59.91
255,2330,15279.0,59.92
256,2330,15341.0,59.92
257,2330,15400.0,59.92
258,2330,15461.0,59.92
259,2330,15519.0,59.92
260,2330,15580.0,59.92
261,2330,15638.0,59.92
262,2330,15699.0,59.92
263,2330,15757.0,59.91
264,2330,15818.0,59.92
