step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,299264.0,9.1328125,1.0,constant_lr
4,257792.0,7.8671875,1.0,constant_lr
5,272896.0,8.328125,1.0,constant_lr
6,259712.0,7.92578125,1.0,constant_lr
7,234624.0,7.16015625,1.0,constant_lr
8,252800.0,7.71484375,1.0,constant_lr
9,229504.0,7.00390625,1.0,constant_lr
10,225408.0,6.87890625,1.0,constant_lr
11,224256.0,6.84375,1.0,constant_lr
12,219008.0,6.68359375,1.0,constant_lr
13,216576.0,6.609375,1.0,constant_lr
14,218624.0,6.671875,1.0,constant_lr
15,212096.0,6.47265625,1.0,constant_lr
16,221184.0,6.75,1.0,constant_lr
17,209280.0,6.38671875,1.0,constant_lr
18,211328.0,6.44921875,1.0,constant_lr
19,210304.0,6.41796875,1.0,constant_lr
20,209536.0,6.39453125,1.0,constant_lr
21,207488.0,6.33203125,1.0,constant_lr
22,205952.0,6.28515625,1.0,constant_lr
23,206336.0,6.296875,1.0,constant_lr
24,205696.0,6.27734375,1.0,constant_lr
25,201984.0,6.1640625,1.0,constant_lr
26,201856.0,6.16015625,1.0,constant_lr
27,201600.0,6.15234375,1.0,constant_lr
28,200704.0,6.125,1.0,constant_lr
29,202624.0,6.18359375,1.0,constant_lr
30,201984.0,6.1640625,1.0,constant_lr
31,198912.0,6.0703125,1.0,constant_lr
32,198656.0,6.0625,1.0,constant_lr
33,198784.0,6.06640625,1.0,constant_lr
34,200320.0,6.11328125,1.0,constant_lr
35,198272.0,6.05078125,1.0,constant_lr
36,197120.0,6.015625,1.0,constant_lr
37,195328.0,5.9609375,1.0,constant_lr
38,196096.0,5.984375,1.0,constant_lr
39,195200.0,5.95703125,1.0,constant_lr
40,193536.0,5.90625,1.0,constant_lr
41,195456.0,5.96484375,1.0,constant_lr
42,193024.0,5.890625,1.0,constant_lr
43,193664.0,5.91015625,1.0,constant_lr
44,191488.0,5.84375,1.0,constant_lr
45,190720.0,5.8203125,1.0,constant_lr
46,191744.0,5.8515625,1.0,constant_lr
47,191488.0,5.84375,1.0,constant_lr
48,188928.0,5.765625,1.0,constant_lr
49,189824.0,5.79296875,1.0,constant_lr
50,190848.0,5.82421875,1.0,constant_lr
51,185472.0,5.66015625,1.0,constant_lr
52,189056.0,5.76953125,1.0,constant_lr
53,187520.0,5.72265625,1.0,constant_lr
54,187648.0,5.7265625,1.0,constant_lr
55,186112.0,5.6796875,1.0,constant_lr
56,187904.0,5.734375,1.0,constant_lr
57,186496.0,5.69140625,1.0,constant_lr
58,183936.0,5.61328125,1.0,constant_lr
59,186112.0,5.6796875,1.0,constant_lr
60,186240.0,5.68359375,1.0,constant_lr
61,181888.0,5.55078125,1.0,constant_lr
62,185216.0,5.65234375,1.0,constant_lr
63,184064.0,5.6171875,1.0,constant_lr
64,185600.0,5.6640625,1.0,constant_lr
65,180736.0,5.515625,1.0,constant_lr
66,182912.0,5.58203125,1.0,constant_lr
67,183424.0,5.59765625,1.0,constant_lr
68,181632.0,5.54296875,1.0,constant_lr
69,182656.0,5.57421875,1.0,constant_lr
70,184064.0,5.6171875,1.0,constant_lr
71,180096.0,5.49609375,1.0,constant_lr
72,180352.0,5.50390625,1.0,constant_lr
73,179456.0,5.4765625,1.0,constant_lr
74,178432.0,5.4453125,1.0,constant_lr
75,178304.0,5.44140625,1.0,constant_lr
76,178944.0,5.4609375,1.0,constant_lr
77,178688.0,5.453125,1.0,constant_lr
78,179328.0,5.47265625,1.0,constant_lr
79,179584.0,5.48046875,1.0,constant_lr
80,177920.0,5.4296875,1.0,constant_lr
81,176640.0,5.390625,1.0,constant_lr
82,177536.0,5.41796875,1.0,constant_lr
83,175872.0,5.3671875,1.0,constant_lr
