arm,r,MG,LB,MG_published,LB_published,truth,dMG,rel
fast,2,2.336237972463061,2.361640632142858,2.336237972463061,2.361640632142858,1.999888015330764,0.0,0.0
fast,4,4.688764917403604,4.806233241595388,4.688764917403604,4.806233241595388,3.999151764617517,0.0,0.0
fast,6,6.665829878269749,6.870203885552309,6.665829878269749,6.870203885552309,5.996427609964024,0.0,0.0
fast,8,7.97611440078102,8.316642197512227,7.97611440078102,8.316642197512227,7.993740801865177,0.0,0.0
slow,2,2.797996195711769,3.238074663325638,2.797996195711769,3.238074663325638,2.000028061184504,0.0,0.0
slow,4,3.5252361921748214,4.934614990971387,3.5252361921748214,4.934614990971387,3.999777254523761,0.0,0.0
slow,6,3.4860593696188023,5.110933070088212,3.4860593696188023,5.110933070088212,5.997310359317756,0.0,0.0
slow,8,3.5153168358503137,5.162267429719502,3.5153168358503137,5.162267429719502,7.986994167306582,0.0,0.0
transient,2,28.960730750827764,29.393626647406357,28.960730750827764,29.393626647406357,1.0603842266717085,0.0,0.0
transient,4,28.573215523616206,29.248244772086466,28.573215523616206,29.248244772086466,1.059563986271362,0.0,0.0
transient,6,28.86408234287018,29.600937704813834,28.86408234287018,29.600937704813834,1.0309582471013654,0.0,0.0
transient,8,29.437152424784628,29.885733442456985,29.437152424784628,29.885733442456985,1.0648290195338102,0.0,0.0
