r,M,rule,n_points,traj_PR,theiler,MG,LB,S_med,degenerate,frac_floor,frac_sumfloor,rows_used,frac_same_run,r1_med,rk_med,spread_med
1,1,none,7924,1.0308544820010652,150,1.1914107875697895,1.1916831258096583,15.881290221794316,False,0.0,0.0,1.0,1.0,0.003097641024936473,0.031028426653702656,10.021477703824946
1,1,within,7924,1.0308544820010652,150,38.8902449480375,64.20506787784494,0.4499376741542701,False,0.0,0.0,1.0,1.0,0.19308767579928182,0.19868958764861933,1.035493743745966
1,1,crossonly,7924,1.0308544820010652,150,,,,,,,0.0,,,,
1,2,none,15848,1.0308544820010652,150,1.1943537055694131,1.19458587907294,15.858956616282159,False,0.0,0.0,1.0,1.0,0.00029637026656344407,0.0029660719294726428,10.00889012809274
1,2,within,15848,1.0308544820010652,150,33.22793329393122,46.82080392095185,0.6187247342693214,False,0.0,0.0,1.0,1.0,0.041670242194614265,0.044676084643787715,1.0700778187290383
1,2,crossonly,15848,1.0308544820010652,150,,,,,,,0.0,,,,
1,4,none,31696,1.0308544820010652,150,1.274253091883291,1.3090825479556065,15.853104467065002,False,0.0,0.0,1.0,0.6492995961635538,0.0001881796296899977,0.0016059632683670102,10.059720667706685
1,4,within,31696,1.0308544820010652,150,1.5394898768666874,20.695677950966612,15.514224177356922,False,0.0,0.0,1.0,0.16513124684502775,0.0004871136599458609,0.0033581454317363926,6.9021246237272535
1,4,crossonly,31696,1.0308544820010652,150,1.3147787535372795,21.036896316295003,17.843717160043468,False,0.0,0.0,0.8497917718324078,0.0,0.000369512038174548,0.003231798753009075,15.82149234206084
1,8,none,63392,1.0308544820010652,150,1.3036003088389911,1.3517805687090703,15.822294787682093,False,0.0,0.0,1.0,0.6479831839979808,0.00013313147388003795,0.0014357410688525453,10.005204373763378
1,8,within,63392,1.0308544820010652,150,1.7972666011318623,24.46755325189302,12.861611877657761,False,0.0,0.0,1.0,0.23734067390206967,0.00047308173657837304,0.003573782939717509,6.815678470559131
1,8,crossonly,63392,1.0308544820010652,150,1.4154570012267225,23.937606123353618,15.439505972186605,False,0.0,0.0,0.7794358909641596,0.0,0.00020949001122050676,0.0031886171558979655,11.684774331714294
1,16,none,126784,1.0308544820010652,150,1.3327098021268686,1.3869688624741532,15.845892940939795,False,0.0,0.0,1.0,0.7172076129480061,0.00015852571903117254,0.0011759618501060204,10.004595322051026
1,16,within,126784,1.0308544820010652,150,2.739724095241108,28.34555427874486,3.8597876872011074,False,0.0,0.0,1.0,0.4075013408632004,0.001906631009322336,0.003232291378836802,1.4199279967881009
1,16,crossonly,126784,1.0308544820010652,150,1.7058575253169812,25.915361055210226,12.777473122698101,False,0.0,0.0,0.6021580010095912,0.0,0.000422659567168944,0.0020036205139304193,5.071268676400971
4,1,none,7924,1.012863625611334,150,1.197108690632861,1.197304260573489,15.854276523334502,False,0.0,0.0,1.0,1.0,0.0018607554873456948,0.018642220024101486,10.006272364630828
4,1,within,7924,1.012863625611334,150,27.926745120764952,28.839768717496437,0.6415111069048585,False,0.0,0.0,1.0,1.0,0.2769960119808134,0.29819709063389815,1.071789176544745
4,1,crossonly,7924,1.012863625611334,150,,,,,,,0.0,,,,
4,2,none,15848,1.012863625611334,150,1.1970170224501289,1.1972035526051081,15.863305058165224,False,0.0,0.0,1.0,1.0,0.0003381368896602418,0.0034571534146145364,10.011239556080863
4,2,within,15848,1.012863625611334,150,28.079933172348188,28.722107767450414,0.6510323375165774,False,0.0,0.0,1.0,1.0,0.05166314086799252,0.05559756024398058,1.0781334742545694
4,2,crossonly,15848,1.012863625611334,150,,,,,,,0.0,,,,
4,4,none,31696,1.012863625611334,150,1.278718943409034,1.3049002123810625,15.863564194481018,False,0.0,0.0,1.0,0.8544248485613326,0.00015700553528378983,0.001107879494735341,10.011397808063801
4,4,within,31696,1.012863625611334,150,4.028479960285713,48.58032622084895,0.7692615234529334,False,0.0,0.0,1.0,0.6378517794043412,0.005239380689639002,0.005539485453011131,1.0956123152337005
4,4,crossonly,31696,1.012863625611334,150,1.7728643672183906,58.60512413205441,12.67899593314645,False,0.0,0.0,0.40307925290257446,0.0,0.00035755953546929756,0.0016054835067202343,3.8502470091881196
4,8,none,63392,1.012863625611334,150,1.2672382653310676,1.2887227485300607,15.863497512917444,False,0.0,0.0,1.0,0.8479965926299848,0.00018423721010001802,0.0011557218033240516,10.011381318150105
4,8,within,63392,1.012863625611334,150,3.9516209642472786,155.8602528760319,0.6806715327470523,False,0.0,0.0,1.0,0.611919485108531,0.0024537963651982022,0.00294496052047386,1.0838846376945948
4,8,crossonly,63392,1.012863625611334,150,1.7179741219214348,330.9656067335063,13.369036774266112,False,0.0,0.0,0.40132824331145883,0.0,0.00038005330107463976,0.00207234479448807,5.26193769613288
4,16,none,126784,1.012863625611334,150,1.4320927788096465,1.4933895527077095,13.22181267573455,False,0.0,0.0,1.0,0.6708784231448763,0.0003193695966062582,0.0021127181555843436,7.205208257845452
4,16,within,126784,1.012863625611334,150,2.813464635080885,99.43606452867246,6.322678969765274,False,0.0,0.0,1.0,0.25240842693084303,0.0015982861523576436,0.004122968673456757,1.8978632823280484
4,16,crossonly,126784,1.012863625611334,150,2.1742095100313032,117.11846763703313,9.989024026143596,False,0.0,0.0,0.7588654719838466,0.0,0.0009874167095798702,0.004308807610904205,3.568399529394336
