control,mode,seed,observer,mg_all,mg_first,mg_second,rough_all,acorr_all,prd_all,spec_all,traj_PR,n_windows
baseline,qp,0,loss_step,5.044269178685489,5.041637147484233,5.0457636399612324,0.7227143061705589,2.0,2.3218218127713133,4.765320821143311,3.996776836285415,8
baseline,qp,0,loss_full,5.620252824605604,5.626020244624302,5.618992136822998,0.9052413403465294,2.0,10.406416040847503,15.090267147079595,3.996776836285415,8
baseline,qp,0,loss_probe,4.1631101118595115,4.162835839826286,4.1635146579666085,0.4887346820404783,3.0,3.242510538177134,1.8949964718805417,3.996776836285415,8
baseline,qp,0,w_fro,2.9773817364742636,2.977972734279085,2.9761844614765876,0.6492228137263424,2.0,3.0282453447468813,5.989802376879233,3.996776836285415,8
baseline,qp,0,c_norm,2.977081400483486,2.9776763107063124,2.9758846198523146,0.6492253033507999,2.0,3.0281245111518933,5.989545820520048,3.996776836285415,8
baseline,qp,0,fn_fro,3.4090635751775054,3.408403201678892,3.410149464245676,0.6486002887739091,2.0,2.7465568433186816,5.454078348928947,3.996776836285415,8
baseline,qp,0,g_fro,5.616438657322938,5.630398781831204,5.597620116887473,0.9061265438504618,2.0,12.376208348969518,16.472348708126557,3.996776836285415,8
baseline,qp,0,g_proj,4.2618720379064685,4.259742524651844,4.265596406775839,0.6374591465120342,2.0,4.662501429073441,6.419187477325999,3.996776836285415,8
baseline,qp,0,c_proj1,4.259799213921694,4.259124601710333,4.261526302420265,0.5371144019923175,3.0,5.084561566442845,3.420353080263403,3.996776836285415,8
baseline,qp,0,fn_proj1,3.6308873522568956,3.6318759001912984,3.6294894245747775,0.5494409041461634,3.0,3.307681274062654,1.9445230884507518,3.996776836285415,8
baseline,qp,0,margin,4.003083856603104,4.003888839668936,4.002784807507386,0.684187843368887,2.0,3.2388856938116763,6.4724266041549186,3.996776836285415,8
baseline,qp,0,acc_probe,,,,,,,,3.996776836285415,0
baseline,qp,1,loss_step,4.196059796105434,4.196193474523346,4.195946658575855,0.5109017948029851,3.0,4.491936759508382,6.551051553293517,3.9994423342619334,8
baseline,qp,1,loss_full,4.894602188248791,4.895034372381159,4.889240366212622,1.0411217644019803,2.0,7.495571574879715,7.688792615320558,3.9994423342619334,8
baseline,qp,1,loss_probe,4.136578615308284,4.139305992801907,4.134970807041286,0.5339593302974031,3.0,4.309643765847774,6.530027312649491,3.9994423342619334,8
baseline,qp,1,w_fro,4.881176188440521,4.880667404651534,4.881176188440521,0.6577996217932804,2.0,4.202578042287525,5.928770999258752,3.9994423342619334,8
baseline,qp,1,c_norm,4.881985571912775,4.881416949762204,4.881985571912775,0.6578139052461109,2.0,4.201788970983506,5.927604494337654,3.9994423342619334,8
baseline,qp,1,fn_fro,5.594245108131233,5.590724619394964,5.597976523484432,0.6864423680396194,2.0,3.6677528116465403,6.1651388994108665,3.9994423342619334,8
baseline,qp,1,g_fro,5.5439882300876775,5.555493859058609,5.534271946825954,1.0634481058411422,2.0,7.638922885121346,7.502843511043171,3.9994423342619334,8
baseline,qp,1,g_proj,3.9398869061899404,3.941168954217824,3.9383593735403912,0.7054975281566076,2.0,1.823674464763842,3.764901334240797,3.9994423342619334,8
baseline,qp,1,c_proj1,5.315664772691498,5.312061118931048,5.324798190532374,0.7240133172572951,2.0,1.9746415206203978,4.075971531185829,3.9994423342619334,8
baseline,qp,1,fn_proj1,4.496597123425401,4.496597123425401,4.496472543021268,0.6732204532560898,2.0,2.5247061281757204,3.7123157078367255,3.9994423342619334,8
baseline,qp,1,margin,3.349730362479713,3.348736996535731,3.3500418741310454,0.6090545479640634,2.0,4.464993529446087,8.141082493855642,3.9994423342619334,8
baseline,qp,2,loss_step,5.491645547285252,5.495553862936093,5.489279845480006,0.6462692225974815,2.0,2.9594756136131135,4.268106319367282,3.9991431934054082,8
baseline,qp,2,loss_full,5.491920439955706,5.504881459287697,5.487514527966437,0.9644106551654781,2.0,11.661787738071501,11.163052547765197,3.9991431934054082,8
baseline,qp,2,loss_probe,3.6769161224833558,3.6782163770194565,3.6723984094353668,0.564274119311643,3.0,3.5812743296514906,2.2737836708180534,3.9991431934054082,8
baseline,qp,2,w_fro,4.668973651116449,4.66452909476561,4.6748637139416,0.5788921893871762,3.0,4.926757929277825,4.254102827954921,3.9991431934054082,8
baseline,qp,2,c_norm,4.6689319020277065,4.664558876948885,4.674832380471054,0.5788902205423164,3.0,4.926642501584601,4.254007821376252,3.9991431934054082,8
baseline,qp,2,fn_fro,5.421434947297369,5.420844176351679,5.422801150616099,0.6618495351978113,2.0,2.4860684449935126,3.5713101838618364,3.9991431934054082,8
baseline,qp,2,g_fro,5.163135286661771,5.170608709222855,5.1574534596707595,1.0070758634447095,2.0,11.653049087427497,9.826364617764769,3.9991431934054082,8
baseline,qp,2,g_proj,4.584567748968462,4.587483009826245,4.581684917538636,0.5018947869651036,3.0,5.417231099477403,4.724521154874885,3.9991431934054082,8
