r,rho,seed,manifold,pr_pos,pr_pred,MG,LB,PRdelay,specPR256,roughness,frac_degenerate
2,1.0,0,2,1.9999999313591001,2.0,2.264106996018717,2.2902232891170398,2.566080182318742,2.0591938062153683,0.6774352867944735,0.0
2,1.0,1,2,1.999999718498742,2.0,2.2970257200747346,2.323337319931757,3.117634396824898,2.270031557032716,0.6372816326286742,0.0
2,1.0,2,2,1.9999995429217599,2.0,2.3018805061678553,2.328476428732505,3.1990238140657072,2.359051937249178,0.6457843952859954,0.0
2,0.9,0,2,1.9782219906725094,1.9782017994082481,2.3209559249851126,2.345667037965101,3.3476774535144345,2.093867921171025,0.5740995585344482,0.0
2,0.9,1,2,1.9782460268056665,1.9782017994082481,2.3070704550139585,2.3324196644703243,3.239690939830922,2.2417403380708665,0.6103148979514145,0.0
2,0.9,2,2,1.978183758169329,1.9782017994082481,2.308509420007874,2.3343320946100277,3.3222453320667578,2.2349494280819093,0.6012048123398919,0.0
2,0.8,0,2,1.908148726455647,1.9080590238365494,2.323239159342935,2.349964458138871,3.3468149246518193,2.1070155069750323,0.5722820709683896,0.0
2,0.8,1,2,1.9080105171065864,1.9080590238365494,2.3113705314947444,2.336979360913334,3.2633065219925026,2.2860672214167654,0.6081249185184513,0.0
2,0.8,2,2,1.9080504341146896,1.9080590238365494,2.3444786088686556,2.3659076822851666,3.153231881400228,1.8324080669160612,0.5349213351227349,0.0
2,0.7,0,2,1.7901571132932763,1.7902588500927346,2.3263064023745663,2.351843799228747,3.293721314697058,2.03768484359162,0.5587564458535615,0.0
2,0.7,1,2,1.790279742698548,1.7902588500927346,2.3248710365560563,2.349901131133853,3.280363479585395,2.012095526894133,0.5552848735897004,0.0
2,0.7,2,2,1.7902964298005086,1.7902588500927346,2.328057227691632,2.352358840266041,3.2744553195629256,2.002070817190517,0.553401194194597,0.0
2,0.6,0,2,1.6374682782061927,1.6373937677053823,2.3322506264614704,2.359715266480749,3.3015868071513204,2.119675456017093,0.5673418012220629,0.0
2,0.6,1,2,1.637350854298975,1.6373937677053823,2.3549362294473783,2.377417501110353,3.028829869964204,1.7389614132791895,0.5161013387974657,0.0
2,0.6,2,2,1.6374902581890056,1.6373937677053823,2.3516289073178838,2.375908884931554,2.9075458002563086,1.63395446931293,0.5022293468305334,0.0
2,0.5,0,2,1.4706164042096266,1.4705882352941178,2.3361544878573617,2.358824947854084,3.270969678126143,2.0588139791783506,0.5548197314266692,0.0
2,0.5,1,2,1.4705516802714091,1.4705882352941178,2.3457408081716653,2.3667320933163607,3.1800712043645447,1.9087373117010222,0.5347783525461447,0.0
2,0.5,2,2,1.4706196695416742,1.4705882352941178,2.351385532353548,2.3746467101737303,2.9206642511672447,1.6512220355922014,0.5019282991018372,0.0
4,1.0,0,4,3.9999923344671826,4.0,4.020439815912615,4.091057018345005,7.026572696522989,4.506371162236837,0.61446615233516,0.0
4,1.0,1,4,3.999992663647759,4.0,3.8181442584163268,3.8809522451536513,5.885323716539794,4.359383776555568,0.6578720519467889,0.0
4,1.0,2,4,3.999993939278763,4.0,3.6027217499569364,3.659296548483189,6.4376295249008555,4.378108937524479,0.6178376082660134,0.0
4,0.9,0,4,3.792687760065305,3.7928511552529742,3.756579422508704,3.8307473254311217,6.414874062218661,4.226063352380502,0.6135367620121187,0.0
4,0.9,1,4,3.7928756403118653,3.7928511552529742,3.5848169968773904,3.6599030843228006,6.0356120940819045,4.1148327213526015,0.6175283646679405,0.0
4,0.9,2,4,3.792868953526992,3.7928511552529742,3.910432341716104,3.9798480531228235,6.465638280586487,4.2512290934082095,0.6167071838546062,0.0
4,0.8,0,4,3.2466753834059707,3.2465752223447426,4.033818068541914,4.124356837187717,5.807241315826103,3.5333881200940502,0.6006137539940546,0.0
4,0.8,1,4,3.246573008813889,3.2465752223447426,3.9464199634192676,4.049380444673807,5.268613495324617,3.43835385728063,0.6235468566396016,0.0
4,0.8,2,4,3.2467589541875173,3.2465752223447426,4.008767797845039,4.117673162725655,4.875139413362659,3.048639739746214,0.61709902773236,0.0
4,0.7,0,4,2.6032885135789385,2.603083430374913,3.892393704920571,4.0044143811589,4.850850428753265,3.2258502773890627,0.6314152147166975,0.0
4,0.7,1,4,2.603092849650741,2.603083430374913,3.852341018825605,3.930861461409893,4.682476099134567,2.7592718365583324,0.5963115404194121,0.0
4,0.7,2,4,2.603085490400017,2.603083430374913,4.068488144454316,4.157064799762625,4.99645858289196,2.873672598276825,0.5921015539203006,0.0
4,0.6,0,4,2.0549327331300873,2.0547954862457383,3.82193004415466,3.888604584784945,3.6669563379969716,1.9852839657765995,0.5705694339571472,0.0
4,0.6,1,4,2.0546333549062696,2.0547954862457383,3.6243906769718732,3.684182339700338,4.049103170895513,2.314332771293868,0.5909467741338834,0.0
4,0.6,2,4,2.054702448808664,2.0547954862457383,3.740732063120039,3.790293780395583,4.142096183780348,2.5363615137966957,0.6198177507781201,0.0
