run,phase,n,t_mem,t_gen,move,PR_pos_det,PR_step,PR_step5,PR_step20,fn_PR_pos_det,fn_PR_step,fn_PR_step5,fn_PR_step20
mod_wd0,plateau,70,630,,0.13596554726437204,1.400181108040713,75.45837098305601,22.558417260098146,2.5799298940037714,6.683910295193701,3.7476730390791833,6.0802518273249,3.294548639576411
mod_wd1,plateau,41,1470,13700.0,120.52128992646864,4.726164014668088,25.093413559668384,3.3607480713010647,3.919067003954988,63.389319750828,62.663758075766246,18.005683031216176,4.747939961208873
mod_wd1,post,18,1470,13700.0,12.744932542947772,1.1903375986725988,59.50351459871797,2.8317201062722877,1.6684062555679016,21.870065371450856,27.969077983939286,14.598481255991857,5.310074995331226
mod_wd1_s43,plateau,12,1580,6660.0,121.70235913394859,2.926594440304415,27.887923901039258,3.466426708759893,4.2011616553492965,19.821814573209878,69.84559403127187,21.535888885398386,6.115337999902639
mod_wd1_s43,post,46,1580,6660.0,12.397433239785421,2.3718997235141988,77.01468218791499,25.974485725925,5.279173074530762,35.15192848495116,27.065738217103657,16.67480254742813,5.504466041303719
mod_wd1_s44,plateau,1,1410,3680.0,110.17746087438098,1.471301029278273,53.89375838254399,6.248032270769644,2.397406767479643,3.1289664498939898,65.8331936939585,21.169080200492463,6.265146678935485
mod_wd1_s44,post,58,1410,3680.0,14.03590958167393,13.146188346616118,77.93184310985544,26.287873105257535,6.876919219880918,32.26231066295,37.7758725110508,16.509013933449566,5.2382516306949976
s5_wd0,early,1,1015,,252.28924004950625,2.3362604998520227,101.08452240549326,24.650587994786164,4.539441269718885,4.834304883796722,27.209878940236557,8.54979447429967,2.779065273049828
s5_wd0,plateau,104,1015,,239.5143359023234,6.63952577145499,108.67451878691875,35.62577724806352,7.782016948467833,17.071487666124163,54.91162367474863,28.475269711544158,6.806533913895983
s5_wd1,early,3,1280,6735.0,246.4971018460536,2.3212829421184,104.46368657775425,25.74828081612561,4.403736365401057,4.6759403416743535,55.997650033185,13.5986721901812,2.702682259763284
s5_wd1,plateau,35,1280,6735.0,235.6558645001098,10.597883744600123,109.26969786041296,31.9676510361916,7.292978943701954,46.49241899844006,60.63311102442693,25.83729993713748,6.317320511864709
s5_wd1,post,59,1280,6735.0,7.51816237775277,3.463187662893481,85.93554354851446,24.532951298101217,6.421467994282777,42.96986808186812,21.699251347891447,18.728110858651824,5.770370122009073
