observer,seed,mae,max_error,rho,inversions,objective
gradient_fro,1,1.7081895976776937,4.914706883281557,0.9669172932330825,4,3.0453956301699274
gradient_fro,2,1.748507494456445,5.422919471830424,0.9533834586466164,7,3.611945415231008
gradient_projection,1,4.7398648410897835,9.835159058531842,0.9834586466165413,4,6.815138699869559
gradient_projection,2,2.932087888047922,8.497366490839905,0.9458646616541352,5,4.956692861673908
loss,1,1.7122800292389537,4.924556374354399,0.9669172932330825,4,3.0509634853921135
loss,2,1.7544393715592363,5.419904796801045,0.9533834586466164,7,3.617425091079393
weight_fro,1,1.3750632303345343,4.630562983694697,0.9759398496240601,3,2.519647677888739
weight_fro,2,1.29898322561143,3.5480338197951475,0.9834586466165413,4,2.431188298580702
weight_projection,1,2.615022496311125,8.341520560645698,0.9804511278195487,6,4.766250580407979
weight_projection,2,4.348500895961712,9.893748595665132,0.9804511278195487,4,6.432563185311482
weight_trace,1,1.3020548042262126,2.8650418507830793,0.9849624060150375,3,2.1818110818436747
weight_trace,2,1.4533888391132597,3.7389794926053987,0.9819548872180449,5,2.7642357630040695
