observer,seed,mae,max_error,rho,inversions,objective
gradient_fro,1,2.5746113880969923,7.337113724597055,0.8872180451127819,5,4.425178446786551
gradient_fro,2,2.7122667740502067,5.513557261785429,0.9338345864661652,5,4.289300363318021
gradient_projection,1,3.0836114366659886,8.571829661059764,0.9473684210526315,6,5.269385885824953
gradient_projection,2,3.776531716809849,11.314386680547525,0.8676691729323308,7,6.523689718891977
latent_fro,1,2.2984176125195894,6.802021826356379,0.9593984962406013,7,4.368720886473046
latent_fro,2,2.2210850128832296,6.942913238873858,0.9112781954887217,7,4.312521998714308
latent_projection,1,2.0953742555063863,7.790694376029295,0.9157894736842105,8,4.463978411910781
latent_projection,2,2.1659942240497565,6.712581103987741,0.932330827067669,5,3.9228813896479178
loss,1,2.3992148174887373,6.424231054442105,0.9729323308270676,5,4.112849475655053
loss,2,2.7068430488361486,6.138205102132115,0.9398496240601503,3,4.077573814155966
output_fro,1,2.4127621093905,8.378164559978295,0.9383458646616539,6,4.569486793387243
output_fro,2,2.0814471133283012,7.556262104042691,0.9428571428571428,6,4.114886428934705
output_projection,1,2.6387672239859365,8.666498456435884,0.9308270676691727,5,4.688741992451319
output_projection,2,2.813104242083326,7.080017964877655,0.9398496240601503,8,5.075106936814974
