k,band_mode,LB,MG,PR,TwoNN,roughness
1,widening,1.3111029063902335,1.307364783351077,1.988622521040557,236.1340461282265,0.9137575225349726
1,matched,1.5522999766515175,1.2211799665918937,1.9937767504146189,0.6582130495610868,0.8649649190255216
2,widening,4.192941105061679,3.798069636071515,2.662396785704863,14.796258370578789,0.9780923791492192
2,matched,3.3224307840699785,2.40694754655931,2.5452880858268285,2.412706422924868,0.9242120828246466
3,widening,2.4565151372104315,2.1937499462822663,4.449652242870492,5.044199410249836,1.1540024985418977
3,matched,4.775439176874992,3.4681309377416376,2.7494741290153923,2.521158082797192,0.8692920911522853
4,widening,6.323436067345604,5.346862323546674,5.471757145096661,12.49331897154202,1.2805288474145655
4,matched,5.735919762955399,4.18576976309691,2.8287029981434832,4.954943199125951,0.9029667666841109
5,widening,12.178287773388906,9.174679486702892,7.147605200904384,9.595139034212284,1.4447187069520893
5,matched,6.2520668456916315,4.785487468236595,2.692956011657774,4.896070743199913,0.8765901493939471
6,widening,13.532972059472394,10.260134136371562,8.312314363682265,10.226826853962677,1.5078903224040237
6,matched,6.01603080011518,4.636511361886694,2.7013648974159707,4.823388428116689,0.8883691904227141
