run,generalises,peak,second,p95,fire_max,fire_p95,gap
grok,True,3.0946600484225746,3.04180661280301,2.603878813370681,4290.0,4360.0,200.0
grok_s1,True,1.73499102419132,1.7333681375988195,1.7065643901924752,,,
grok_s2,True,2.1916711277400935,2.1882274068583487,2.1351088035059713,2370.0,2370.0,310.0
lowdata15,False,2.134395087658621,2.129364491786266,1.8263751001834698,3390.0,,190.0
lowdata20,False,2.3691184719792937,2.352581361925795,2.1254511423166367,3960.0,3980.0,300.0
wd0,False,1.4139039587716107,1.4138955909730353,1.3512838483391822,,,
s0_i0,True,2.8600358471210976,2.852130132867156,2.4673978100515495,3360.0,3370.0,120.0
s0_i2,True,3.147240330374836,3.14181646988346,2.591303709660639,3150.0,3660.0,200.0
s1_i1,True,2.6270202497683752,2.565511356285121,2.3828007539986302,2150.0,2160.0,200.0
s1_i3,True,3.565228682483911,3.556232370931494,2.8030718935107846,3370.0,3390.0,150.0
s2_i0,True,2.6900748230352094,2.6517136046735503,2.17578861197179,2460.0,2480.0,590.0
s3_i1,True,2.066323580042103,2.0130559426311496,1.8212505549478268,2400.0,,370.0
s42_i0,True,2.6310699899879304,2.6297017795034527,2.439686036158936,3840.0,3880.0,490.0
s4_i3,True,3.4462098879406677,3.4314144405268325,2.610658548637516,4220.0,4430.0,150.0
