H,delta,beta_rel,Q,delta_hold,disp_max,calib_hits,calib_n,calib_median_lead,strictness
600,0.1,0.05,300,0.1,0.06,7,8,580.0,2.5833333333333335
600,0.1,0.05,300,0.1,0.08,8,8,880.0,2.25
600,0.1,0.05,300,0.1,0.12,8,8,880.0,1.5833333333333335
600,0.1,0.05,300,0.15,0.06,7,8,580.0,2.8333333333333335
600,0.1,0.05,300,0.15,0.08,8,8,880.0,2.5
600,0.1,0.05,300,0.15,0.12,8,8,880.0,1.8333333333333335
600,0.1,0.05,300,0.2,0.06,6,8,785.0,3.0833333333333335
600,0.1,0.05,300,0.2,0.08,7,8,1010.0,2.75
600,0.1,0.05,300,0.2,0.12,7,8,1010.0,2.0833333333333335
600,0.1,0.05,600,0.1,0.06,5,8,280.0,3.0833333333333335
600,0.1,0.05,600,0.1,0.08,6,8,580.0,2.75
600,0.1,0.05,600,0.1,0.12,6,8,580.0,2.0833333333333335
600,0.1,0.05,600,0.15,0.06,5,8,280.0,3.3333333333333335
600,0.1,0.05,600,0.15,0.08,6,8,580.0,3.0
600,0.1,0.05,600,0.15,0.12,6,8,580.0,2.3333333333333335
600,0.1,0.05,600,0.2,0.06,5,8,485.0,3.5833333333333335
600,0.1,0.05,600,0.2,0.08,6,8,710.0,3.25
600,0.1,0.05,600,0.2,0.12,6,8,710.0,2.5833333333333335
600,0.1,0.1,300,0.1,0.06,6,8,785.0,2.8333333333333335
600,0.1,0.1,300,0.1,0.08,7,8,1010.0,2.5
600,0.1,0.1,300,0.1,0.12,7,8,1010.0,1.8333333333333335
600,0.1,0.1,300,0.15,0.06,6,8,785.0,3.0833333333333335
600,0.1,0.1,300,0.15,0.08,7,8,1010.0,2.75
600,0.1,0.1,300,0.15,0.12,7,8,1010.0,2.0833333333333335
600,0.1,0.1,300,0.2,0.06,6,8,785.0,3.3333333333333335
600,0.1,0.1,300,0.2,0.08,7,8,1010.0,3.0
600,0.1,0.1,300,0.2,0.12,7,8,1010.0,2.3333333333333335
600,0.1,0.1,600,0.1,0.06,5,8,485.0,3.3333333333333335
600,0.1,0.1,600,0.1,0.08,6,8,710.0,3.0
600,0.1,0.1,600,0.1,0.12,6,8,710.0,2.3333333333333335
