parameter,value,recall,n_pos,fp,fires_on,median_lead
H,300.0,10,11,1,lowdata20,960.0
H,600.0,8,11,0,,1015.0
H,900.0,4,11,0,,285.0
H,1200.0,4,11,0,,1010.0
delta,0.1,9,11,2,lowdata15;lowdata20,1010.0
delta,0.15,9,11,1,lowdata15,960.0
delta,0.2,8,11,0,,1015.0
delta,0.25,7,11,0,,380.0
delta,0.3,4,11,0,,1245.0
beta_rel,0.0,9,11,0,,510.0
beta_rel,0.05,9,11,0,,510.0
beta_rel,0.1,8,11,0,,1015.0
beta_rel,0.2,8,11,0,,1015.0
Q,0.0,8,11,0,,1315.0
Q,300.0,8,11,0,,1015.0
Q,600.0,6,11,0,,715.0
Q,900.0,4,11,0,,415.0
delta_hold,0.05,8,11,0,,1015.0
delta_hold,0.15,8,11,0,,1015.0
delta_hold,0.2,8,11,0,,1015.0
delta_hold,0.25,8,11,0,,1015.0
delta_hold,0.3,5,11,0,,1520.0
delta_hold,0.4,2,11,0,,1100.0
disp_max,0.06,7,11,0,,510.0
disp_max,0.08,8,11,0,,1015.0
disp_max,0.12,9,11,0,,890.0
disp_max,1.0,9,11,0,,890.0
