k,seed,metric,value
1,0,MG,1.2211816832747997
1,0,LB,1.5523002610231236
1,0,PR,1.993770123167501
1,0,TwoNN,0.6582241843407479
1,0,roughness,0.8649769185917837
1,1,MG,1.2211848532990515
1,1,LB,1.5523025487263737
1,1,PR,1.9927800686307473
1,1,TwoNN,0.6582331177805012
1,1,roughness,0.8647097311937374
1,2,MG,1.2211746761354452
1,2,LB,1.5523001113842572
1,2,PR,1.992760389385491
1,2,TwoNN,0.6581915904023853
1,2,roughness,0.8647229690810743
2,0,MG,1.221184341260071
2,0,LB,1.5523000715993998
2,0,PR,1.993450585100108
2,0,TwoNN,0.6582324688747687
2,0,roughness,0.8648729468417933
2,1,MG,1.2211915831817786
2,1,LB,1.5523007146561354
2,1,PR,1.9922689660991941
2,1,TwoNN,0.6582349092073835
2,1,roughness,0.8645790758434513
2,2,MG,1.2211738397252407
2,2,LB,1.5522952953235496
2,2,PR,1.9919960604446887
2,2,TwoNN,0.6581827518159907
2,2,roughness,0.8645200479789914
3,0,MG,1.2211806906646703
3,0,LB,1.5523005290104146
3,0,PR,1.9921501140768245
3,0,TwoNN,0.6582263810800639
3,0,roughness,0.864556211905002
3,1,MG,1.2211779114771244
3,1,LB,1.5522982702673964
3,1,PR,1.9984509191128463
3,1,TwoNN,0.6582172258165166
3,1,roughness,0.8661324878227767
3,2,MG,1.2211731239168833
3,2,LB,1.5522949846580931
3,2,PR,1.994461779486068
3,2,TwoNN,0.658180417717976
3,2,roughness,0.8651520186375691
4,0,MG,1.2211778698656766
4,0,LB,1.5523046438954315
4,0,PR,1.992073263204711
4,0,TwoNN,0.6582210272528333
4,0,roughness,0.8645603515611242
4,1,MG,1.2211683625743244
4,1,LB,1.5522984724718403
4,1,PR,1.9936843679402447
4,1,TwoNN,0.6581957144616737
4,1,roughness,0.8649438250741399
4,2,MG,1.221185978113034
4,2,LB,1.5522966051908123
4,2,PR,2.0024486276225644
4,2,TwoNN,0.6582244005243285
4,2,roughness,0.8671039179611947
5,0,MG,1.2211806371413916
5,0,LB,1.5523013112761166
5,0,PR,1.9926105440528015
5,0,TwoNN,0.6582264874013597
5,0,roughness,0.8646997973090647
5,1,MG,1.2211828024311828
5,1,LB,1.5523040251568716
5,1,PR,1.9937089890576667
5,1,TwoNN,0.6582328904665036
5,1,roughness,0.8649361854812478
5,2,MG,1.2211857440981895
5,2,LB,1.552305406469054
5,2,PR,2.00054442695205
5,2,TwoNN,0.6582246232160315
5,2,roughness,0.8666140627981298
6,0,MG,1.2211811530247598
6,0,LB,1.5523018592112732
6,0,PR,1.9920276778621337
6,0,TwoNN,0.6582270452014478
6,0,roughness,0.8645466272578817
6,1,MG,1.2211918153776948
6,1,LB,1.552294750833781
6,1,PR,1.9996147461011775
6,1,TwoNN,0.6582352102491507
6,1,roughness,0.8664135033939191
6,2,MG,1.2211880461460844
6,2,LB,1.5523025657989575
6,2,PR,1.9935872278165705
6,2,TwoNN,0.6582236396514696
6,2,roughness,0.8649308105562675
