run,generalises,t_mem,d_pre,d_at,d_post,d_max_post,falls
grok_seed1,True,1240,1.3721437256753863,1.5739700194308366,1.5369944679215473,1.73499102419132,no
grok_seed2,True,1400,1.3531149709719408,1.443635041456494,1.525587148456556,2.1916711277400935,no
grok,True,1630,1.3564987236849309,1.4055414635915962,1.8624842417662615,3.0946600484225746,no
lowdata15,False,660,1.330819871994913,1.3230193379167585,1.5383011937722264,2.134395087658621,no
lowdata20,False,830,1.3282240794933897,1.3408796732780925,1.7483315204925318,2.3691184719792937,no
wd0,False,640,1.3267555649275662,1.337500921722458,1.3066409520444915,1.4139039587716107,no
s0_i0,True,1450,1.3584954215522256,1.413332802805761,1.6101108913295683,2.8600358471210976,no
s0_i2,True,1300,1.3637687100326885,1.5479405630951966,1.839828677935475,3.147240330374836,no
s1_i1,True,1350,1.3750232183768443,1.674239425058657,1.577302617891641,3.129329075907139,no
s1_i3,True,1840,1.3604342704295156,1.4904205009932863,1.5867918390942775,3.565228682483911,no
s2_i0,True,1270,1.3688570672250777,1.5759390079743345,1.666720065101972,3.179176924899769,no
s3_i1,True,1430,1.357238832131472,1.4805723951656933,1.5252142815144436,2.4153914331961857,no
s42_i0,True,1390,1.3707471517068284,1.4020759442427684,1.6809412321450483,2.6310699899879304,no
s4_i3,True,1630,1.3602226227215821,1.4358375804476342,1.6727992399762581,3.4462098879406677,no
grokking_S_6_logs_st,True,56280,1.3491827628668995,1.3855796557692646,1.3938335121876642,1.4056199325569494,no
ma_S_5_st,True,1615,1.496800195150556,3.352243857752266,2.4316824794940928,5.317818858962796,no
ma_S_5_st_with_small_wight_decay,True,2310,1.3465610166915094,1.3373509841925113,1.7162387025829144,4.649230478667685,no
ma_S_5_st_without_wight_decay,False,3745,1.3407168088156733,1.3542595407466356,1.350628899659447,1.3874890344279265,no
ma_to_flat_grokking,True,130,1.3369040019970462,1.3193608136411108,1.3048089476520779,1.5513278225439109,no
ma_to_flat_grokking_st,True,1630,1.356498723684925,1.4055414635915464,1.8688902592048593,3.094660097333637,no
p_211_wd_0_point_5,True,7650,1.5932476517370617,2.6048368895364105,3.984044615367585,9.049867732644657,no
grokpos_s0,True,1450,1.3584954215522365,1.4133328028058478,1.606642002863425,2.8600358474376733,no
lowdata15_s0,True,620,1.3592544760117704,1.3345536874165649,1.5112160815080324,2.296584261986462,no
lowdata15_s1,False,630,1.3561798147662598,1.334874770004214,1.4841492043906626,2.4079300785473485,no
lowdata15_s2,False,660,1.3325328085966672,1.3309658964475113,1.4939800925709283,2.1185817034978314,no
lowdata20_s0,True,800,1.3386753921527286,1.3422804962221455,1.5794891676347926,2.562164872827919,no
wd0_s0,False,610,1.3281945588765385,1.3337165953753018,1.3042096349416914,1.69090935735463,no
wd0_s1,False,630,1.3268267129353823,1.3348514334936459,1.3042650569670533,1.591020427875603,no
