group,run,groks,n_windows,median,p95,max
previously used,grok_train.csv,True,1188,1.8624842417662615,2.602937055420973,3.0946600484225746
previously used,s0_i0.csv,True,346,1.6101108913295683,2.3861806931245018,2.8600358471210976
previously used,s0_i2.csv,True,446,1.839828677935475,2.5828403752029825,3.147240330374836
previously used,s1_i1.csv,True,141,1.577302617891641,3.010575408854435,3.129329075907139
previously used,s1_i3.csv,True,431,1.5867918390942775,2.776044027451311,3.565228682483911
previously used,s2_i0.csv,True,214,1.666720065101972,3.0898572816334466,3.179176924899769
previously used,s3_i1.csv,True,154,1.5252142815144436,2.384379093938364,2.4153914331961857
previously used,s42_i0.csv,True,327,1.6809412321450483,2.4344205521974134,2.6310699899879304
previously used,s4_i3.csv,True,551,1.6727992399762581,2.5934977451128933,3.4462098879406677
previously used,lowdata15_train.csv,False,1914,1.5383011937722264,1.8251367131527054,2.134395087658621
previously used,lowdata20_train.csv,False,1897,1.7483315204925318,2.1239935069077105,2.3691184719792937
previously used,wd0_train.csv,False,1916,1.3066409520444915,1.3619708534101604,1.4139039587716107
held out (extended),grokpos_s0_train.csv,True,347,1.606642002863425,2.3845929765150764,2.8600358474376733
held out (extended),lowdata15_s0_train.c,True,11013,1.5112160815080324,1.7874536849516887,2.296584261986462
held out (extended),lowdata15_s1_train.c,False,11917,1.4841492043906626,1.7169720676181524,2.4079300785473485
held out (extended),lowdata15_s2_train.c,False,11914,1.4939800925709283,1.6880779221375044,2.1185817034978314
held out (extended),lowdata20_s0_train.c,True,3861,1.5794891676347926,1.9668196694455737,2.562164872827919
held out (extended),wd0_s0_train.csv,False,11919,1.3042096349416914,1.410163040871226,1.69090935735463
held out (extended),wd0_s1_train.csv,False,11917,1.3042650569670533,1.392641002728401,1.591020427875603
