step,ipr_u1,ipr_u2,ipr_w,erank_w1,erank_w2,w1_norm,w2_norm,sv1_0,sv2_0,sv1_1,sv2_1,sv1_2,sv2_2,sv1_3,sv2_3,sv1_4,sv2_4
0,0.040735951637306145,0.04010777570491066,0.040500116309834286,139.0554422896677,81.11975280916292,1.0023535693765804,0.998861993495237,35.86413479212756,31.89225145155409,35.535001178070935,31.053384478223514,35.38759461965741,30.886356167609783,34.900475055029546,30.299214858229366,34.78574383598283,30.120977300764068
100,0.040745301282922315,0.04010953846107701,0.0405019147086159,139.05916338398126,81.07809500296337,1.0031784367553327,0.9996993614541091,35.89443525433973,31.883593703565865,35.56271299366604,31.340204562357727,35.435902216148655,30.987909054711707,34.93411388537973,30.383463950898054,34.795875239443,30.09728451944872
200,0.04075383270773237,0.04011195044030687,0.04087149097494131,139.0458910959257,80.73047620536492,1.0060774749399228,1.0026172442245773,36.00126497401359,33.376088096384024,35.67191485046312,31.889272508939264,35.565048577664065,31.02317295730231,35.06934290706859,30.500737950592107,34.87669875729522,30.10303777634762
300,0.040761422449392584,0.04011482802037982,0.04188460466222692,139.00727804710021,79.46733761626322,1.0108529970673428,1.0074171915157903,36.18408835307684,38.229188159187856,35.85781634093746,31.910106227889045,35.78030594481773,31.0500220583887,35.30449178315162,30.564308982050978,35.02021827878698,30.140463090811725
400,0.04076776435787156,0.040117714631120696,0.04384878105063768,138.92304544684052,76.62004590666525,1.0173582281453561,1.013951783149923,36.47144853350998,44.60435860017836,36.12008940604904,31.945860550137127,36.11621507579451,31.080475317324005,35.62924459572135,30.60094565081145,35.2200188741504,30.215622830170076
500,0.04077215351849826,0.0401193682344767,0.04700890891041763,138.74480904767674,71.8333676343413,1.0255100755249975,1.0221374460324566,37.10640248961877,51.57529556908234,36.59501091262532,32.012329931153175,36.446352140036815,31.117006415890742,35.99217663708364,30.637464597259136,35.47024193157556,30.373836465693902
600,0.04077302238231586,0.04011635846901653,0.051485105844818864,138.34312087840664,65.30977611406526,1.0353468975439146,1.0320124264122497,38.79001710095651,58.762155398680214,37.182361942591456,32.20481979614422,36.80756616865202,31.17025060863973,36.35101136057561,30.89433106943764,35.764987509338525,30.61592487904319
700,0.04076720845035503,0.04009920198012587,0.05723214582151315,137.27946816578014,57.70912024063495,1.0472556402321584,1.0439646216065455,42.573096244780146,66.02227855825424,38.25676561955326,33.582184951077295,37.178214749845594,31.64638704612062,36.714775087473384,31.18697828505754,36.107427622219916,30.665307528588173
800,0.04075160508522931,0.04004720608256729,0.06400962577920859,133.1717969990709,49.63213928444194,1.0632028037349168,1.0599663234690513,51.5265694935562,73.40672420211777,41.01118616143682,39.47246756484817,37.56171431500752,31.871845842846064,37.08903104966847,31.238698543757206,36.66995113924855,30.700383042807204
900,0.04074852055007361,0.03998224691770723,0.07149894088797829,112.26673811080377,40.754997792842474,1.0895323109535802,1.0863829808816605,73.76782773319184,80.86147666928107,46.14625708585884,54.938143830429325,37.94887517518571,31.978342473625784,37.468659731668865,31.28709158651134,37.170858183079694,30.728647981091463
1000,0.040760929030769555,0.03997681544905652,0.0799853467902024,108.35928456254496,36.254061507906556,1.1031529515236083,1.1000496981941796,77.5029824324342,85.64552142374653,47.34722156120613,59.473151110954284,38.338538709362616,32.02264331229438,37.86176186066523,31.3397543316517,37.56500639220556,30.76820442284656
1100,0.04077239179610257,0.039977324985778426,0.08918883070704846,109.59089227015785,32.599828887794956,1.1141910093268312,1.111121768589192,77.26371699554434,90.68879278639135,48.21672373089601,60.54682683894981,38.74536200419888,32.06378577608294,38.27216248256029,31.402368299697613,37.96741884563995,30.82305950349271
1200,0.040783932695298,0.03997831099648558,0.0986996563504921,110.80952866477982,29.319680967196966,1.1255458041919377,1.1225102517341106,76.9929558458181,95.77419599130721,49.18138866417052,61.27865174847063,39.16393274030921,32.114515986576876,38.69371775575201,31.47531633284865,38.380819656367954,30.887393157279263
1300,0.04079494371370481,0.039979743724524223,0.10822345210178556,111.97352372774765,26.484021597025766,1.137081228421547,1.1340787868552786,76.70829622318337,100.70407804061333,50.23374210810008,61.88156667831388,39.58861266639783,32.17591218407071,39.12079778905388,31.558621076837476,38.80027459555868,30.96099312071249
1400,0.04080442655429953,0.039981580696904134,0.11750761663409569,113.07281116387979,24.08544119949878,1.1486626917623546,1.1456924775044708,76.40304670956216,105.39157586582125,51.37544099846033,62.419477707757885,40.01428906261589,32.24792969772597,39.54829674982288,31.6523292224432,39.22178644831073,31.04445496681222
1500,0.040811285306427185,0.0399837873593937,0.12633598660775758,114.09799598344665,22.086176408493323,1.160170877003803,1.157231741383631,76.07103246191011,109.7855600398433,52.60918750423006,62.922564964694246,40.436374604932695,32.33048044243006,39.97163931822722,31.756508833721696,39.64227504948359,31.138474334402666
1600,0.040814797704931155,0.039986352082027284,0.13453207219420288,115.04143992807225,20.437884189711845,1.1715018766829304,1.1685924696148233,75.7062388882624,113.8535998157168,53.93487140789906,63.4065040525648,40.85089483479043,32.42354504121224,40.38687760321008,31.87123424590765,40.05953220077732,31.243720479108113
1700,0.040815028625048794,0.0399892912369271,0.14196080423553553,115.89741398775908,19.091489842796964,1.1825683344424065,1.1796871990273834,75.30347324478905,117.57595393640354,55.34666963411516,63.87835005227763,41.25457848069668,32.52715529431203,40.7907968850744,31.99657714356581,40.47168864651202,31.36079055625679
1800,0.04081281054211749,0.03999265045199702,0.14852758981967976,116.66205385461951,18.001922390193645,1.1933001265325531,1.1904457204100232,74.8600427158599,120.94258933642638,56.82983906423936,64.3389956903854,41.644913210308,32.641366346623634,41.18098595449567,32.13259573149277,40.87623973502024,31.490178019723256
1900,0.040809289415928304,0.03999650034029606,0.1541751523446865,117.33349255418659,17.129958609901454,1.2036443347176484,1.200815085243345,74.3786142202458,123.95130196972077,58.357302603252094,64.78467650018852,42.020155671873404,32.766228944957966,41.55586312206851,32.279331457445494,41.269666714450125,31.632237652949772
2000,0.04080543410568282,0.04000092205580432,0.15887883521617235,117.91220530698583,16.442538270638398,1.2135648399716172,1.2107591976967875,73.87162275540433,126.60628482009609,59.88639557260089,65.2082753683666,42.37930430307746,32.90177658433268,41.91464811730998,32.43680623016564,41.648275120729345,31.787173394225945
