step,ipr_u1,ipr_u2,ipr_w,erank_w1,erank_w2,w1_norm,w2_norm,sv1_0,sv2_0,sv1_1,sv2_1,sv1_2,sv2_2,sv1_3,sv2_3,sv1_4,sv2_4
0,0.040735951637306145,0.04010777570491066,0.040500116309834286,139.0554422896677,81.11975280916292,1.0023535693765804,0.998861993495237,35.86413479212756,31.89225145155409,35.535001178070935,31.053384478223514,35.38759461965741,30.886356167609783,34.900475055029546,30.299214858229366,34.78574383598283,30.120977300764068
100,0.040733074781635736,0.04010360416219807,0.040506808386572016,139.06307866955265,81.08041940016942,1.0030703971192263,0.9995907560515167,35.90513131961246,31.873508629243993,35.56751533656292,31.303539743263272,35.408576794156254,30.961905436168863,34.92663597300524,30.364232428726307,34.79647854875795,30.112128213016145
200,0.04073010200138351,0.040099001421990174,0.04088337555038737,139.06172835351575,80.75082290131702,1.0057469208928984,1.002285172891224,36.017133639696425,33.201920319142154,35.671694610905675,31.86468580355002,35.500357316744754,30.971929227454194,35.02479936119379,30.468539072445434,34.87841457907649,30.128753535406407
300,0.04072708204615226,0.04009406557943754,0.04190808313799738,139.05232441483392,79.54698657345622,1.0101604389365912,1.0067217162325046,36.192119353528774,37.939011791041274,35.83918740547858,31.868387255620245,35.654868425912184,30.974219417041837,35.18673417816055,30.533604219963618,35.023742306049904,30.164659644115034
400,0.040724081484718344,0.04008891229229559,0.04389494203416578,139.03547920229371,76.82874565327195,1.0161137911533156,1.012702420141303,36.42303884685414,44.18991398701368,36.06270102718328,31.87825882895843,35.86499115245747,30.98009963054316,35.40525198699068,30.56777081879071,35.225602233387534,30.208584933802793
500,0.040721175374241816,0.040083666689908704,0.04710367379384806,139.01164639266057,72.25590490063433,1.0234253348870022,1.0200448892063028,36.703419657144735,51.000798801568635,36.335573649033776,31.894487952303493,36.12419420519519,30.991408111922855,35.673784769349396,30.59206640302219,35.477707864995594,30.25498533219603
600,0.04071844044752783,0.040078453935122826,0.051687270975049104,138.98124822548874,66.02643551176915,1.0319219117331555,1.028575232622213,37.02708923578586,57.97029199251502,36.65148037764055,31.917064177945335,36.42627273744057,31.008821599972638,35.98608257879417,30.615371066278676,35.77407155134928,30.30410268261873
700,0.04071594835538776,0.040073394265997396,0.0576728585887767,138.94476858874071,58.809883390153054,1.041434068256887,1.038123285019122,37.38798044888675,64.9066720154288,37.00423124850221,31.946106502511906,36.765167923166,31.032797927366452,36.336008991603414,30.641738217792422,36.108813437303574,30.35674749084473
800,0.040713761882020395,0.04006859521067726,0.06496752823534578,138.902822573062,51.425467855771146,1.0517932335725204,1.0485198108654143,37.780015866857546,71.70259235876529,37.38765325922114,31.981827486935902,37.1348582171161,31.063765601064766,36.71741417922151,30.67355936935568,36.47604100339846,30.413272829849284
900,0.04071192975208021,0.04006414840120422,0.07337991383832052,138.8562008843311,44.52769179249928,1.062830635607937,1.0595954017425662,38.19705573593489,78.28847957286004,37.79554119531012,32.024501079159954,37.5293056826723,31.102178364708948,37.12407592642462,30.71266178024517,36.869790719575946,30.473600488387333
1000,0.04071048503750953,0.04006012492762008,0.08264937345997321,138.80588530457973,38.48016439074729,1.0743777956708835,1.0711810010057343,38.63291241380438,84.61341503746245,38.22167039109213,32.074443555304235,37.942471282996834,31.14853472773346,37.549707667205446,30.760686101842246,37.28403160510362,30.537350881161444
1100,0.040709443834849285,0.04005657339645533,0.09247659602114043,138.75304008237453,33.39404737187736,1.0862684577955977,1.0831098165759128,39.08141263945695,90.63689490815025,38.65986731368905,32.131999281440706,38.36837591118174,31.203383732416935,37.98802453656117,30.819093184891894,37.71272314309584,30.60406440228604
1200,0.040708805753580594,0.040053519329491256,0.10255155391206759,138.69897501046304,29.225317740899147,1.0983416508454888,1.0952204169945252,39.53651340663561,96.32539447244946,39.10412721194271,32.197526667959366,38.80120769261366,31.26733269027222,38.43286136166068,30.888920094472933,38.14991926257822,30.67355300902962
1300,0.04070855637856903,0.0400509674760183,0.11257648098574012,138.64508669668763,25.85971331232956,1.1104455736755616,1.1073606147982804,39.99245194694412,101.65118979105647,39.54876178233397,32.27139107538716,39.23546300473453,31.34104538584869,38.878327829972996,30.970504277223142,38.58991002620407,30.746228941260146
1400,0.04070867132798753,0.04004890491528203,0.12228295256239347,138.59278520816616,23.165422104666284,1.122441800790978,1.1193916763995833,40.443906272358085,106.59224883314339,39.98856621336214,32.353953686049415,39.66609646532791,31.42523874020311,39.318984414878614,31.063473279176417,39.027379919271254,30.823150642880083
1500,0.040709121951809354,0.040047308272183446,0.1314430065729166,138.543413135258,21.01899620052088,1.1342093331722372,1.1311923641712336,40.886161566609864,111.13253603705225,40.41897807919427,32.44556506960239,40.08867043152523,31.520666450835094,39.750015345064554,31.167035340796915,39.45757477620871,30.905763343428998
1600,0.04070988110311392,0.04004614892038545,0.13987490238002612,138.49816578377067,19.315023697551474,1.145647937889228,1.1426622983938604,41.315252923338676,115.26236337233608,40.83621488915644,32.54655793984946,40.49947824983978,31.628083034976587,40.16737913377404,31.280314452032542,39.87644664087311,30.995593237500046
1700,0.04071092952094539,0.04004540115172919,0.14744438109160812,138.45802838890464,17.96764823523177,1.1566804357873144,1.1537242227519977,41.728066537379284,118.97855579223001,41.237366019183824,32.65724377995615,40.8956284375673,31.74819274079736,40.56792072829667,31.4025657017649,40.28077136749757,31.094060674327448
1800,0.040712261341733294,0.040045049245025145,0.15406248597018146,138.42372807178884,16.908670625158045,1.1672536274623546,1.164324925065326,42.12239525158539,122.28431983754335,41.62043500996795,32.77791002421594,41.27508480876067,31.88157958793134,40.949427014569515,31.533279491582704,40.66821546048194,31.20237371854142
1900,0.040713889016618564,0.04004509334307105,0.15968098447496357,138.3957147803539,16.084615460642542,1.177337834954261,1.174434778835402,42.49694025122677,125.18878572014164,41.98432448385976,32.90881795630701,41.63665592115904,32.0286453746192,41.310625371346894,31.67222011286275,41.037349519183884,31.321446716279212
