step,ipr_u1,ipr_u2,ipr_w,erank_w1,erank_w2,w1_norm,w2_norm,sv1_0,sv2_0,sv1_1,sv2_1,sv1_2,sv2_2,sv1_3,sv2_3,sv1_4,sv2_4
0,0.040735951637306145,0.04010777570491066,0.040500116309834286,139.0554422896677,81.11975280916292,1.0023535693765804,0.998861993495237,35.86413479212756,31.89225145155409,35.535001178070935,31.053384478223514,35.38759461965741,30.886356167609783,34.900475055029546,30.299214858229366,34.78574383598283,30.120977300764068
100,0.04073361435498413,0.04011101094804958,0.04050539358309239,139.05589023183205,81.06764914161393,1.0031540589167327,0.9996748490521401,35.90385132873422,31.892774805064118,35.56762578948956,31.30738263935645,35.42206126880897,30.9815048116911,34.94032661991456,30.368713624535623,34.79595028762617,30.109200323492274
200,0.04073117977032905,0.040113831189150316,0.04087951616281224,139.04683204264742,80.70620890378386,1.005995283621826,1.0025346566579623,36.01696904094436,33.2952817136641,35.67644152792381,31.90613524540274,35.528859641684264,31.006253934980542,35.05758763180992,30.512482907260644,34.87795974166845,30.11446370427013
300,0.040728674578875954,0.040116311089439916,0.0418992852350204,139.02913373615652,79.43501711289807,1.0106529726111797,1.0072163033410941,36.195248276436786,38.184224128074135,35.85280192903443,31.932114613258303,35.70041799286452,31.026217429781266,35.24268094509108,30.614335668614736,35.02531984185263,30.13291429089598
400,0.04072614746655009,0.040118544877116816,0.0438758965788506,139.00330248169837,76.60699783859992,1.0169291127706368,1.0135209656873994,36.431492967234355,44.54220053972896,36.08920508149616,31.966466657500895,35.93012121708731,31.052236054409047,35.48762335284812,30.67938272121595,35.2319976180653,30.160914763025303
500,0.040723657031739406,0.04012063727894339,0.047064501852931914,138.96966567991734,71.89783522028912,1.024641430759562,1.021265580028419,36.7191254063952,51.43922883691979,36.3788816441554,32.009319910625564,36.211895168235,31.08592878442667,35.78531145586604,30.734335557220614,35.49225808097946,30.195975025980086
600,0.040721264162957994,0.040122695182395,0.0516115614315035,138.92850746403883,65.5420052581957,1.0336158981001253,1.0302753621982896,37.05188537735426,58.4865133317414,36.71547644442442,32.06083035709323,36.53993206435278,31.12793314640605,36.129081890682734,30.789339135778835,35.800514680303245,30.23778075285376
700,0.04071902399906377,0.040124821731835895,0.05753575355778348,138.88017772115472,58.245195296555345,1.0436815988779715,1.0403786689281962,37.42362124355076,65.49609145613843,37.092820422180964,32.12131524255111,36.90849673944406,31.1787364216082,36.51244247319698,30.848606906744973,36.151186230409664,30.28693225306617
800,0.04071698043055464,0.0401271081769507,0.06473409377726667,138.825172293657,50.84214064836206,1.054667645663659,1.0514039161634088,37.82816374561011,72.36098881675309,37.50478127152898,32.191201268296155,37.31179875690779,31.238828569764202,36.928949738200956,30.91430800464162,36.53859097919024,30.344183692100113
900,0.04071516189381306,0.04012962829573135,0.0730039971260658,138.7641882746719,43.98042788013114,1.0664019398141653,1.0631783433876554,38.25926673207557,79.0104359402726,37.945186667295225,32.270993867970745,37.7439159980838,31.30873752996591,37.372177306731665,30.98780006237584,36.95688635311635,30.410266238882674
1000,0.040713575829573925,0.04013243472518344,0.0820730769589753,138.6981495075275,38.00592833229801,1.0787116596743322,1.0755285120712987,38.71061717925606,85.39141446565476,38.407823608930066,32.36125487764689,38.19876784370114,31.389032737358516,37.83579015975299,31.07007600041694,37.40004614511964,30.485877012178218
1100,0.0407122086605686,0.04013555357101551,0.09163045521975802,138.6282017170131,33.01241574569346,1.091425306904574,1.0882823883957167,39.17590743047682,91.46074822833629,38.88649457148602,32.46258588340653,38.67014719451139,31.480328431046264,38.3136792510391,31.161944714032444,37.861881135484275,30.571693789729864
1200,0.040711023586725674,0.04013898398521759,0.10135541540188546,138.5556768590765,28.943731912437364,1.1043761312822011,1.1012727281390864,39.64896064757743,97.18189287061062,39.37513849770677,32.5756149136922,39.151813867794864,31.583272468340905,38.80013641915401,31.264106918332338,38.33609456613479,30.6683852015179
1300,0.04070996276630961,0.04014269713187596,0.11094103959584226,138.48203248540847,25.67895384086808,1.1174064457124477,1.114341437359242,40.12389439450736,102.5239699492174,39.867977097805124,32.700987811019495,39.6376703628354,31.698542247642656,39.29002540761739,31.377188346473556,38.81638266327175,30.776612734225118
1400,0.04070894987394031,0.04014663981225714,0.12011181514420945,138.40876976279813,23.083580678185637,1.130372422905687,1.127344374525341,40.59531267489622,107.46185999592188,40.359686387990585,32.83935280619787,40.12197825050206,31.82683420001946,39.77890703958233,31.501755732474773,39.29658722786749,30.89703158775719
1500,0.04070789598183718,0.04015073825230453,0.1286351439174187,138.33733793116286,21.0338788213613,1.1431487450463502,1.1401559822732212,41.058491742983634,111.97669796244277,40.84556412460142,32.991358048745276,40.59961401612956,31.968856972544618,40.26308711013151,31.63832217112951,39.770927415516866,31.03028964447295
1600,0.04070670435846091,0.04015490530063784,0.13632728446609674,138.2690441690831,19.425441557394,1.1556325043534454,1.1526732068191612,41.50955127269263,116.05638253656808,41.321663365325215,33.157643569271976,41.06630084143308,32.125319289254044,40.73957237224955,31.787352198728286,40.2342908214906,31.1770238572056
1700,0.040705278933425446,0.04015904667810516,0.1430546353292284,138.20497224297998,18.17404174549288,1.1677459192979365,1.1648181972700946,41.945589175928696,119.69585940402209,41.784877245619306,33.33883802244613,41.51879494002993,32.29691868047621,41.20596193163682,31.9492691214729,40.68256144731634,31.33786050619735
1800,0.04070352918849633,0.04016306936308845,0.1487313872692223,138.145925423286,17.213385431856725,1.1794375053634831,1.17653947436471,42.36478787753859,122.8970395248925,42.232942231970135,33.53555879225894,41.955002092970965,32.484332192297444,41.66031985048529,32.124462534877985,41.11288978656737,31.513414729146508
1900,0.040701375567121105,0.040166886971289784,0.153314663799958,138.0923965096586,16.492015534574477,1.1906816665612112,1.187811511096319,42.76654802481054,125.66833454983494,42.66430124783535,33.74841763974427,42.374026562913286,32.68820150923584,42.10109619976948,32.31330480076328,41.52381398875193,31.70429372269524
