run,lr,seed,window_start,nn_over_travel,nn_over_scale,points,rises,eta_lam_over_2,at_eos,diverged
control: 2-torus,,,0,0.007676274418037591,0.0074214901394094816,2611,0.5025628203525441,,False,False
control: monotone decay,,,0,1.0065002847684834,0.052279285326038163,2611,0.0,,False,False
eos_lr1.5e+06_s1,1500000.0,1.0,811,1.0113725994288494,0.00044582305471020233,2611,0.4756844605575697,0.9655041139922105,True,False
eos_lr1.5e+06_s1,1500000.0,1.0,4811,1.0125089221472503,0.05030401768116177,2611,0.5000625078134767,0.9655041139922105,True,False
eos_lr1.5e+06_s1,1500000.0,1.0,8811,1.013054498681622,0.05811898031230674,2611,0.5000625078134767,0.9655041139922105,True,False
eos_lr1.5e+06_s1,1500000.0,1.0,12811,1.0131619802207779,0.06122691037769468,2611,0.5000625078134767,0.9655041139922105,True,False
eos_lr1.5e+06_s1,1500000.0,1.0,16811,1.0131910736348015,0.06272675094961878,2611,0.5000625078134767,0.9655041139922105,True,False
eos_lr1.5e+06_s1,1500000.0,1.0,20811,1.0132109007283234,0.06360654133266135,2611,0.5000625078134767,0.9655041139922105,True,False
eos_lr1.5e+06_s2,1500000.0,2.0,809,1.0109589347822248,0.000626182153765956,2611,0.47618452306538317,0.9650175059050525,True,False
eos_lr1.5e+06_s2,1500000.0,2.0,4809,1.0121172400524001,0.04994656807369821,2611,0.49993749218652334,0.9650175059050525,True,False
eos_lr1.5e+06_s2,1500000.0,2.0,8809,1.0127276069354108,0.05797677496450252,2611,0.49993749218652334,0.9650175059050525,True,False
eos_lr1.5e+06_s2,1500000.0,2.0,12809,1.013014584801239,0.06109732083829639,2611,0.49993749218652334,0.9650175059050525,True,False
eos_lr1.5e+06_s2,1500000.0,2.0,16809,1.0131796136866957,0.0626519947462338,2611,0.49993749218652334,0.9650175059050525,True,False
eos_lr1.5e+06_s2,1500000.0,2.0,20809,1.0132128751566836,0.06366092384433389,2611,0.49993749218652334,0.9650175059050525,True,False
eos_lr100000_s1,100000.0,1.0,11944,1.0064163672147957,0.03579357108864399,2611,0.0,0.23794357275619404,False,False
eos_lr100000_s1,100000.0,1.0,15944,1.0065030534858783,0.04239001769090837,2611,0.0,0.23794357275619404,False,False
eos_lr100000_s1,100000.0,1.0,19944,1.0065636400970983,0.05773596960900958,2611,0.0,0.23794357275619404,False,False
eos_lr100000_s2,100000.0,2.0,11922,1.0064108454017804,0.03498928013703419,2611,0.0,0.22839619759906782,False,False
eos_lr100000_s2,100000.0,2.0,15922,1.0064921604389454,0.040656412195747366,2611,0.0,0.22839619759906782,False,False
eos_lr100000_s2,100000.0,2.0,19922,1.006557395537956,0.05682611397559181,2611,0.0,0.22839619759906782,False,False
eos_lr1e+06_s1,1000000.0,1.0,1198,0.2106969875171515,0.0002461653310673088,2611,0.43355419427428427,0.9784497478904086,True,False
eos_lr1e+06_s1,1000000.0,1.0,5198,0.05524713204922471,0.003920779661313016,2611,0.4626828353544193,0.9784497478904086,True,False
eos_lr1e+06_s1,1000000.0,1.0,9198,0.046952562417708656,0.006594838032797266,2611,0.46330791348918615,0.9784497478904086,True,False
eos_lr1e+06_s1,1000000.0,1.0,13198,0.06625283135286653,0.007875783945905946,2611,0.4844355544443055,0.9784497478904086,True,False
eos_lr1e+06_s1,1000000.0,1.0,17198,0.06342685070227773,0.009523311380865072,2611,0.4194274284285536,0.9784497478904086,True,False
eos_lr1e+06_s1,1000000.0,1.0,21198,0.07907083754854996,0.007726665623027454,2611,0.437179647455932,0.9784497478904086,True,False
eos_lr1e+06_s2,1000000.0,2.0,1196,1.0068926327813834,0.0009610384469634512,2611,0.45068133516689585,0.9560690159560181,True,False
eos_lr1e+06_s2,1000000.0,2.0,5196,1.0073016898771079,0.04743007967015441,2611,0.49993749218652334,0.9560690159560181,True,False
eos_lr1e+06_s2,1000000.0,2.0,9196,1.0075341544691185,0.05693836104832781,2611,0.49993749218652334,0.9560690159560181,True,False
eos_lr1e+06_s2,1000000.0,2.0,13196,1.0076778821359902,0.060533310657984736,2611,0.49993749218652334,0.9560690159560181,True,False
