pair,run,role,stat,t_gen,plateau,dip,at,depth
n+m  vs  n^3+nm^2+m,a_add,generalises,fn_PR_pos_det,11950,1.0343935231819796,1.009725728082802,3995.0,1.0244301936784508
n+m  vs  n^3+nm^2+m,a_add,generalises,fn_PR_step5,11950,1.065524916875178,1.0188390797728464,3995.0,1.0458225818278784
n+m  vs  n^3+nm^2+m,a_add,generalises,PR_pos_det,11950,1.0161319351611073,1.005257412110919,3995.0,1.010817650204989
n+m  vs  n^3+nm^2+m,a_add,generalises,PR_step5,11950,1.0308153146875134,1.0101991677453075,3995.0,1.0204080023033673
n+m  vs  n^3+nm^2+m,a_add,generalises,move,11950,200.8337482213974,111.6618229150772,-3955.0,1.79858919528959
n+m  vs  n^3+nm^2+m,x_no_grok,control,fn_PR_pos_det,11950,1.006429343788203,1.001649478078488,3995.0,1.004771994409546
n+m  vs  n^3+nm^2+m,x_no_grok,control,fn_PR_step5,11950,1.012241240640706,1.0031665039960018,3995.0,1.0090460921577384
n+m  vs  n^3+nm^2+m,x_no_grok,control,PR_pos_det,11950,1.0042659893448735,1.00135476941742,3995.0,1.0029072812317528
n+m  vs  n^3+nm^2+m,x_no_grok,control,PR_step5,11950,1.008120315236606,1.0025969524600031,3995.0,1.0055090560200195
n+m  vs  n^3+nm^2+m,x_no_grok,control,move,11950,147.7919204235077,80.32671189308167,3995.0,1.8398851009888857
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,fn_PR_pos_det,12560,1.0068132603560946,1.0009456062457558,3985.0,1.0058621108616947
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,fn_PR_step5,12560,1.0131160717463166,1.001945160874647,3985.0,1.0111492238376778
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,PR_pos_det,12560,1.0042591409519512,1.0006331049195287,3985.0,1.0036237418236469
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,PR_step5,12560,1.0081816914970507,1.001243469067967,3985.0,1.0069296056787689
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,move,12560,161.15375208854675,54.593414187431335,3985.0,2.951889975872732
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,fn_PR_pos_det,12560,1.006691972700907,1.0014172596478423,3985.0,1.005267247995026
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,fn_PR_step5,12560,1.0127462740606545,1.0027184593657872,3985.0,1.0100006283929488
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,PR_pos_det,12560,1.0043270797744772,1.001039182381593,3985.0,1.0032844842147557
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,PR_step5,12560,1.0082187072832658,1.0019904472927026,3985.0,1.0062158875939302
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,move,12560,148.23915076255798,74.97237348556519,3985.0,1.9772503373005688
