pair,run,role,stat,t_gen,plateau,dip,at,depth
n+m  vs  n^3+nm^2+m,a_add,generalises,fn_PR_pos_det,11960,11.669945587078177,6.311033120582714,-3965.0,1.8491339475018729
n+m  vs  n^3+nm^2+m,a_add,generalises,fn_PR_step5,11960,8.1430149244376,7.461091228069501,-715.0,1.0913973138141806
n+m  vs  n^3+nm^2+m,a_add,generalises,PR_pos_det,11960,3.9358869516524084,3.6517960749757066,135.0,1.0777948359776885
n+m  vs  n^3+nm^2+m,a_add,generalises,PR_step5,11960,9.61933161061011,9.453305548275996,935.0,1.0175627521491033
n+m  vs  n^3+nm^2+m,a_add,generalises,move,11960,290.4410820007324,159.4175353050232,-3965.0,1.821889175773631
n+m  vs  n^3+nm^2+m,x_no_grok,control,fn_PR_pos_det,11960,15.408596087634647,10.092791326375156,-3915.0,1.5266932198794079
n+m  vs  n^3+nm^2+m,x_no_grok,control,fn_PR_step5,11960,8.217538247692143,7.795020778060382,-2115.0,1.0542035078111613
n+m  vs  n^3+nm^2+m,x_no_grok,control,PR_pos_det,11960,5.196061343644893,4.867060971187325,-1965.0,1.0675973394221336
n+m  vs  n^3+nm^2+m,x_no_grok,control,PR_step5,11960,9.83494029894522,9.754436178280812,-3965.0,1.0082530777989667
n+m  vs  n^3+nm^2+m,x_no_grok,control,move,11960,300.01558446884155,206.2770817279816,-3965.0,1.4544300411641138
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,fn_PR_pos_det,12560,13.15768713069885,10.51414910205398,-3915.0,1.2514267206015222
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,fn_PR_step5,12560,8.731230313587101,8.332644071732531,3635.0,1.0478343054645434
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,PR_pos_det,12560,6.451522015479171,5.0971967070238,-3815.0,1.2657000281329436
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,PR_step5,12560,9.71466950920992,9.54157506262032,2035.0,1.0181410768613777
(4n1+n2^2)^3  vs  +n1n2,g_p1_p97,generalises,move,12560,396.92558765411377,190.9483048915863,3985.0,2.078707050473551
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,fn_PR_pos_det,12560,15.353182059716577,11.695980937709406,-3865.0,1.3126887040501123
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,fn_PR_step5,12560,8.29118703510822,7.797021778220663,-1515.0,1.063378719585971
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,PR_pos_det,12560,5.323842637459018,5.010362641024109,-3065.0,1.0625663288058596
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,PR_step5,12560,9.844984981243641,9.74093482115976,1135.0,1.0106817427684516
(4n1+n2^2)^3  vs  +n1n2,g_p1x_p97,control,move,12560,327.1005051136017,235.86409497261047,-3965.0,1.3868177144621607
