pair,run,role,stat,t_gen,plateau,dip,at,depth
n+m  vs  n^3+nm^2+m,a_add,generalises,fn_PR_pos_det,9220,4.131647123015642,2.7310984922023698,-2830.0,1.5128151309123472
n+m  vs  n^3+nm^2+m,a_add,generalises,fn_PR_step5,9220,7.571461801139671,6.579673183920823,3970.0,1.1507352401092728
n+m  vs  n^3+nm^2+m,a_add,generalises,PR_pos_det,9220,1.766322695226421,1.6961328212752007,-2830.0,1.0413822980552017
n+m  vs  n^3+nm^2+m,a_add,generalises,PR_step5,9220,5.214174547301972,4.9303678877549055,-2930.0,1.0575629782621152
n+m  vs  n^3+nm^2+m,a_add,generalises,move,9220,92.54464620351791,22.67326971888542,3970.0,4.081663004539394
n+m  vs  n^3+nm^2+m,x_no_grok,control,fn_PR_pos_det,9220,8.318696609586056,5.623968727820511,-3930.0,1.4791505806985252
n+m  vs  n^3+nm^2+m,x_no_grok,control,fn_PR_step5,9220,7.83816907665218,7.369223878364849,1470.0,1.0636356292097595
n+m  vs  n^3+nm^2+m,x_no_grok,control,PR_pos_det,9220,3.4174334245624003,2.944223121337186,-3330.0,1.1607250142816266
n+m  vs  n^3+nm^2+m,x_no_grok,control,PR_step5,9220,9.031908534862453,8.505066464760077,-3130.0,1.0619444977044323
n+m  vs  n^3+nm^2+m,x_no_grok,control,move,9220,89.17409652471542,46.921193063259125,3970.0,1.9005078665517086
