metric,window_size,stride,start_step,center_step,end_step,mle_raw,mle_detrended
train_loss,50,5,0,500,980,21.60225829168641,16.665630518002757
train_loss,50,5,100,600,1080,19.06704803788414,16.246966137038367
train_loss,50,5,200,700,1180,17.88906302172578,14.839323849016179
train_loss,50,5,300,800,1280,16.206297681072105,16.19739403366832
train_loss,50,5,400,900,1380,17.472037799159132,15.535075930973894
train_loss,50,5,500,1000,1480,21.71379537185946,21.477653203718162
train_loss,50,5,600,1100,1580,18.58237858511054,18.773088506197503
train_loss,50,5,700,1200,1680,17.609011994113043,16.43885622895054
train_loss,50,5,800,1300,1780,19.952785241662536,15.60887098556161
train_loss,50,5,900,1400,1880,17.49383374646287,11.94236206213919
train_loss,50,5,1000,1500,1980,19.513609875323947,14.33193068093327
train_loss,50,5,1100,1600,2080,15.500806913013413,13.018357792129386
train_loss,50,5,1200,1700,2180,14.214366549352215,11.106242505832375
train_loss,50,5,1300,1800,2280,14.727242151983676,14.133572184810422
train_loss,50,5,1400,1900,2380,11.313130004852598,12.718199165303401
train_loss,50,5,1500,2000,2480,10.99878716392143,11.03750193821946
train_loss,50,5,1600,2100,2580,10.829626291497247,11.956679051001405
train_loss,50,5,1700,2200,2680,10.751055520571178,12.953036636807035
train_loss,50,5,1800,2300,2780,9.370265529438761,10.7265344147916
train_loss,50,5,1900,2400,2880,8.570340991712582,9.321630156836166
train_loss,50,5,2000,2500,2980,9.317526823485446,8.181094186709869
train_loss,50,5,2100,2600,3080,8.173611938563313,6.918731387180916
train_loss,50,5,2200,2700,3180,9.15643435622985,7.602329878823101
train_loss,50,5,2300,2800,3280,8.815394385064614,7.777678878078867
train_loss,50,5,2400,2900,3380,8.427947110916673,8.801515411946623
train_loss,50,5,2500,3000,3480,8.770981355576163,9.350619377927696
train_loss,50,5,2600,3100,3580,9.234769085113875,11.602549478391909
train_loss,50,5,2700,3200,3680,10.371978127895789,10.064924119883464
train_loss,50,5,2800,3300,3780,11.545960327525167,8.663811007419042
train_loss,50,5,2900,3400,3880,12.062809361875496,9.185764310615731
train_loss,50,5,3000,3500,3980,12.641358961574362,13.788010273518916
train_loss,50,5,3100,3600,4080,10.756601163777951,12.66455865962924
train_loss,50,5,3200,3700,4180,11.708000014186933,12.297924184850077
train_loss,50,5,3300,3800,4280,12.173265966887392,9.963073417993023
train_loss,50,5,3400,3900,4380,13.055557675444792,14.856104359471484
train_loss,50,5,3500,4000,4480,14.479426465161854,14.016509630031745
train_loss,50,5,3600,4100,4580,11.941834942309464,16.495974452174412
train_loss,50,5,3700,4200,4680,12.576397035217163,16.219019488520303
train_loss,50,5,3800,4300,4780,20.68084673462901,13.84813570731286
train_loss,50,5,3900,4400,4880,15.80827487130272,13.959184275670989
train_loss,50,5,4000,4500,4980,14.735282830747472,15.59299290797359
train_loss,50,5,4100,4600,5080,14.90991203631674,14.982708667793487
train_loss,50,5,4200,4700,5180,15.31595587478627,14.699047786327235
train_loss,50,5,4300,4800,5280,15.107441361139458,16.971523704804692
train_loss,50,5,4400,4900,5380,15.798578293952858,14.573529961060395
train_loss,50,5,4500,5000,5480,10.282933774805135,11.520925548624032
train_loss,50,5,4600,5100,5580,9.779994399159111,7.405983137650066
