metric,phase,series,windows,FNN,Cao,Simplex,LB,MG
train_loss,fitting,raw,0,,,,,
train_loss,fitting,detrended,0,,,,,
train_loss,memorization_gap,raw,38,3.263157894736842,7.394736842105263,4.947368421052632,135782281.59845075,3.815881494193427
train_loss,memorization_gap,detrended,38,2.9473684210526314,5.868421052631579,5.2894736842105265,116.88002822847439,2.2275011589792024
train_loss,transition,raw,0,,,,,
train_loss,transition,detrended,0,,,,,
train_loss,post_grok,raw,0,,,,,
train_loss,post_grok,detrended,0,,,,,
val_loss,fitting,raw,0,,,,,
val_loss,fitting,detrended,0,,,,,
val_loss,memorization_gap,raw,38,3.9210526315789473,4.7631578947368425,3.1842105263157894,17.2743903479341,2.5317281059372085
val_loss,memorization_gap,detrended,38,3.8157894736842106,4.842105263157895,2.6578947368421053,10.080752542300328,2.9760606860309657
val_loss,transition,raw,0,,,,,
val_loss,transition,detrended,0,,,,,
val_loss,post_grok,raw,0,,,,,
val_loss,post_grok,detrended,0,,,,,
weight_norm,fitting,raw,0,,,,,
weight_norm,fitting,detrended,0,,,,,
weight_norm,memorization_gap,raw,38,3.1578947368421053,3.9473684210526314,1.4210526315789473,3.4863207571802617,1.590894870494143
weight_norm,memorization_gap,detrended,38,3.8421052631578947,4.5,1.8421052631578947,2.4305390678181733,1.9955131725122142
weight_norm,transition,raw,0,,,,,
weight_norm,transition,detrended,0,,,,,
weight_norm,post_grok,raw,0,,,,,
weight_norm,post_grok,detrended,0,,,,,
gradient_norm,fitting,raw,0,,,,,
gradient_norm,fitting,detrended,0,,,,,
gradient_norm,memorization_gap,raw,38,5.947368421052632,7.2368421052631575,6.7105263157894735,4230.913514254372,4.812608744906314
gradient_norm,memorization_gap,detrended,38,3.9210526315789473,6.973684210526316,6.315789473684211,156.339830451937,2.6573935883636746
gradient_norm,transition,raw,0,,,,,
gradient_norm,transition,detrended,0,,,,,
gradient_norm,post_grok,raw,0,,,,,
gradient_norm,post_grok,detrended,0,,,,,
update_norm,fitting,raw,0,,,,,
update_norm,fitting,detrended,0,,,,,
update_norm,memorization_gap,raw,38,6.0,6.526315789473684,5.868421052631579,9.463161565199242,4.9902306985080385
update_norm,memorization_gap,detrended,38,4.157894736842105,6.578947368421052,4.2631578947368425,11.239118342472942,4.206055991309615
update_norm,transition,raw,0,,,,,
update_norm,transition,detrended,0,,,,,
update_norm,post_grok,raw,0,,,,,
update_norm,post_grok,detrended,0,,,,,
gradient_cosine,fitting,raw,0,,,,,
gradient_cosine,fitting,detrended,0,,,,,
gradient_cosine,memorization_gap,raw,38,4.105263157894737,6.315789473684211,8.0,11.461764934570027,8.334373331985622
gradient_cosine,memorization_gap,detrended,38,4.2368421052631575,6.052631578947368,9.131578947368421,11.695057281930737,8.526911896021593
gradient_cosine,transition,raw,0,,,,,
gradient_cosine,transition,detrended,0,,,,,
gradient_cosine,post_grok,raw,0,,,,,
gradient_cosine,post_grok,detrended,0,,,,,
gradient_participation_ratio,fitting,raw,0,,,,,
gradient_participation_ratio,fitting,detrended,0,,,,,
gradient_participation_ratio,memorization_gap,raw,38,4.684210526315789,5.868421052631579,10.5,12.473434735906144,9.601418988634583
gradient_participation_ratio,memorization_gap,detrended,38,4.7105263157894735,5.947368421052632,10.789473684210526,12.678198965592276,9.74176455574795
gradient_participation_ratio,transition,raw,0,,,,,
gradient_participation_ratio,transition,detrended,0,,,,,
gradient_participation_ratio,post_grok,raw,0,,,,,
gradient_participation_ratio,post_grok,detrended,0,,,,,
parameter_participation_ratio,fitting,raw,0,,,,,
parameter_participation_ratio,fitting,detrended,0,,,,,
parameter_participation_ratio,memorization_gap,raw,38,4.684210526315789,4.842105263157895,2.8157894736842106,9.65438322099654,2.582610199950925
parameter_participation_ratio,memorization_gap,detrended,38,3.5,5.7894736842105265,3.5,13.027134530386705,2.7961942590097277
parameter_participation_ratio,transition,raw,0,,,,,
parameter_participation_ratio,transition,detrended,0,,,,,
parameter_participation_ratio,post_grok,raw,0,,,,,
parameter_participation_ratio,post_grok,detrended,0,,,,,
train_entropy,fitting,raw,0,,,,,
