phase,center_step,embedding_dimension,tau,tau_source,mle_id_raw,mle_id_raw_se,mle_id_detrended,mle_id_detrended_se
early,300,4,1,fixed,4.204189000885574,0.0681269905344696,4.4774053883531915,0.06585398594378405
early,300,4,2,DMI,4.101690409281832,0.06192073200026781,4.362733431797217,0.059978650186185395
early,300,6,1,fixed,5.6012824361711475,0.08476555167948448,6.05057632846303,0.09303653099257655
early,300,6,2,DMI,5.2992006919537875,0.0806892611462318,6.137748152305324,0.07857437697139197
early,300,8,1,fixed,6.371640438187558,0.08970504012045,7.400647753950611,0.10685599634333354
early,300,8,2,DMI,6.228915004214897,0.10054924044639896,7.338492220983462,0.10613225560565304
early,300,10,1,fixed,7.08981422543799,0.10944229296382685,8.638277781953573,0.10739077600527129
early,300,10,2,DMI,6.960773225865004,0.10609270450679331,8.753733041673444,0.12826645169670664
early,300,12,1,fixed,7.636935705842255,0.10938613734475434,9.510813289518588,0.12176552804015098
early,300,12,2,DMI,7.766223269069917,0.12679046682784578,9.50036115134497,0.1382668091273719
early,300,15,1,fixed,8.472170968421112,0.12988274821645404,11.10765041490924,0.173276951278535
early,300,15,2,DMI,8.687839255793028,0.13727417870676364,10.871102127645177,0.174864982346229
middle,1500,4,1,fixed,4.313874966090503,0.0652243259996864,4.366204656286982,0.06608823536539266
middle,1500,4,4,DMI,4.309839605991616,0.06447381989792932,4.261903646427751,0.06603312795046287
middle,1500,6,1,fixed,6.2662153259798,0.09836766177605417,6.193529930380165,0.0958090420477499
middle,1500,6,4,DMI,6.150840141228299,0.09111632784731037,5.900838327773504,0.08434212482259071
middle,1500,8,1,fixed,7.407065017462537,0.09864638092676452,8.154424180098287,0.12330416312538518
middle,1500,8,4,DMI,7.568286508897403,0.10676994246946504,7.30598035356723,0.09989698217091145
middle,1500,10,1,fixed,8.573188089394886,0.1215766785523279,9.559198655728158,0.13966383278081138
middle,1500,10,4,DMI,8.70116683518776,0.1235991322461433,8.79765013271154,0.11942604403500866
middle,1500,12,1,fixed,9.427676619661183,0.1409866145508861,10.707851825290204,0.14796724364230848
middle,1500,12,4,DMI,9.814444944885931,0.14476643122984056,9.916191174288423,0.13248281603953355
middle,1500,15,1,fixed,10.732483122540808,0.14193011923501253,12.197652198958085,0.15716376350019942
middle,1500,15,4,DMI,11.095392304367484,0.15669146718456708,11.436191788692605,0.17971417228377648
late,2130,4,1,fixed,4.39432662235341,0.05926359001022348,4.355413311791991,0.06548743471634927
late,2130,4,4,DMI,4.186348667919045,0.06234779036469654,4.329154296406961,0.06662807778236873
late,2130,6,1,fixed,6.289486663177914,0.09089203351897203,6.291864312806336,0.09193164097312297
late,2130,6,4,DMI,6.09608417284376,0.10097282908160697,5.909134345967626,0.08766146389337647
late,2130,8,1,fixed,7.724623648154096,0.12213952078630146,7.77514196053414,0.11591748739675857
late,2130,8,4,DMI,7.587408742553022,0.11276240630617729,7.6870346029361425,0.11934994430835243
late,2130,10,1,fixed,8.821468148752748,0.1268056679333811,9.151034350213951,0.12695522870325707
late,2130,10,4,DMI,8.880476297956582,0.13165651063847622,8.932432572330029,0.13161624536964675
late,2130,12,1,fixed,10.330817249553453,0.15789710095246173,10.475240448027415,0.15563000823218973
late,2130,12,4,DMI,10.18513805183231,0.15651768441729363,10.541747326843481,0.1509857495752378
late,2130,15,1,fixed,11.901310653924346,0.1751903129044865,12.504846005686233,0.17440294372924114
late,2130,15,4,DMI,11.36366138131871,0.17017421433850718,11.612509717040073,0.1479096798765684
