phase,center_step,window_size,tau,mle_id_raw,mle_id_detrended
early,300,300,1,7.595235795171908,9.565587051737472
early,300,300,2,8.010254174955922,9.832936865968684
early,300,300,3,7.927465054842878,9.755266237236462
early,300,300,5,9.125141987195166,10.010105352692891
early,300,300,8,8.76026822196713,10.26171848295743
early,300,400,1,7.636935705842255,9.510813289518588
early,300,400,2,7.766223269069917,9.50036115134497
early,300,400,3,7.5576640742214725,9.385541160331307
early,300,400,5,8.781987721730296,9.991689912720297
early,300,400,8,8.582168825962157,9.420239287497923
early,300,500,1,7.62081705159468,9.146834835870443
early,300,500,2,7.650267468350797,8.536771681584593
early,300,500,3,7.442058937481483,8.965974359343347
early,300,500,5,8.671625300068072,8.976100715817841
early,300,500,8,8.067693389599341,8.388841811280278
early,300,600,1,7.781827409149139,8.78086413982262
early,300,600,2,7.873516770358557,9.138837302688321
early,300,600,3,7.915282081556357,8.675382028911008
early,300,600,5,8.55793166212203,8.137290584689406
early,300,600,8,8.004785337773242,7.719570167870107
middle,1500,300,1,9.462789703168179,10.786606355027386
middle,1500,300,2,9.947528236109969,11.14255298741711
middle,1500,300,3,9.324162311346925,10.14986782934596
middle,1500,300,5,9.48851122248636,10.1654992993792
middle,1500,300,8,10.1418572485181,9.98546165409583
middle,1500,400,1,9.427676619661183,10.707851825290204
middle,1500,400,2,10.416007619412936,10.417007070075314
middle,1500,400,3,9.918944961672695,10.042231846125793
middle,1500,400,5,9.857188232799693,10.207716304396438
middle,1500,400,8,10.01070846362956,10.429587000414378
middle,1500,500,1,9.725671401553301,10.846244976452372
middle,1500,500,2,10.23219245133116,10.556495495584851
middle,1500,500,3,9.806579490922465,10.277452102389677
middle,1500,500,5,10.291723347895365,10.575812811054249
middle,1500,500,8,9.687395881297254,10.918457760040448
middle,1500,600,1,9.983280714698266,10.828619088733147
middle,1500,600,2,10.177292963729561,10.41232286386145
middle,1500,600,3,10.073199397907624,10.697191296160952
middle,1500,600,5,10.458083080874761,10.457706378948572
middle,1500,600,8,9.912354732776842,10.985800189027144
late,2130,300,1,10.720212128218572,10.306988723867608
late,2130,300,2,10.251973091407736,10.014900021046907
late,2130,300,3,9.552727857345275,9.706883024914925
late,2130,300,5,10.54097043145508,10.698714868118296
late,2130,300,8,9.404574856636472,9.708451994790224
late,2130,400,1,10.330817249553453,10.475240448027415
late,2130,400,2,9.898342484693837,9.512322435742218
late,2130,400,3,9.877066998262617,10.028250610010943
late,2130,400,5,10.208803633478627,11.080285883604052
late,2130,400,8,9.693527809467414,10.154851618109802
late,2130,500,1,10.236126862515402,10.584474676434473
late,2130,500,2,9.948153360128796,9.608184949044984
late,2130,500,3,9.84482510986483,10.443277239048822
late,2130,500,5,10.132882750189864,11.22996549608291
late,2130,500,8,9.712840486143095,10.260661940536297
late,2130,600,1,10.512970603863563,10.965438405689374
late,2130,600,2,10.107615425522933,10.195469451347648
late,2130,600,3,10.261357485482748,10.709083156092749
late,2130,600,5,10.355414054923813,11.308276441077082
late,2130,600,8,9.704127465392258,10.251434870924534
