step,train_steps,train_time_ms,step_avg_ms
1,2330,87.0,86.73
2,2330,172.0,85.95
3,2330,208.0,69.36
4,2330,251.0,62.83
5,2330,301.0,60.11
6,2330,355.0,59.15
7,2330,416.0,59.4
8,2330,476.0,59.49
9,2330,537.0,59.68
10,2330,598.0,59.77
11,2330,658.0,59.85
12,2330,719.0,59.91
13,2330,780.0,59.99
14,2330,841.0,60.07
15,2330,902.0,60.12
16,2330,963.0,60.2
17,2330,1025.0,60.3
18,2330,1090.0,60.55
19,2330,1151.0,60.58
20,2330,1214.0,60.68
21,2330,1275.0,60.74
22,2330,1338.0,60.81
23,2330,1398.0,60.8
24,2330,1460.0,60.84
25,2330,1522.0,60.9
26,2330,1583.0,60.89
27,2330,1644.0,60.9
28,2330,1706.0,60.92
29,2330,1767.0,60.93
30,2330,1828.0,60.94
31,2330,1890.0,60.96
32,2330,1951.0,60.98
33,2330,2013.0,60.99
34,2330,2075.0,61.02
35,2330,2138.0,61.08
36,2330,2199.0,61.08
37,2330,2261.0,61.1
38,2330,2323.0,61.12
39,2330,2385.0,61.15
40,2330,2446.0,61.16
41,2330,2508.0,61.16
42,2330,2569.0,61.17
43,2330,2631.0,61.18
44,2330,2692.0,61.18
45,2330,2753.0,61.18
46,2330,2816.0,61.21
47,2330,2875.0,61.18
48,2330,2937.0,61.19
49,2330,2998.0,61.18
50,2330,3059.0,61.18
51,2330,3120.0,61.19
52,2330,3182.0,61.2
53,2330,3245.0,61.22
54,2330,3306.0,61.22
55,2330,3368.0,61.23
56,2330,3430.0,61.25
57,2330,3491.0,61.25
58,2330,3553.0,61.27
59,2330,3615.0,61.26
60,2330,3676.0,61.26
61,2330,3738.0,61.28
62,2330,3799.0,61.27
63,2330,3860.0,61.27
64,2330,3921.0,61.27
65,2330,3982.0,61.26
66,2330,4044.0,61.27
67,2330,4104.0,61.26
68,2330,4166.0,61.26
69,2330,4227.0,61.27
70,2330,4289.0,61.27
71,2330,4351.0,61.28
72,2330,4411.0,61.27
73,2330,4472.0,61.25
74,2330,4534.0,61.27
75,2330,4593.0,61.24
76,2330,4656.0,61.26
77,2330,4714.0,61.23
78,2330,4778.0,61.26
79,2330,4837.0,61.22
80,2330,4899.0,61.24
81,2330,4958.0,61.21
82,2330,5021.0,61.24
83,2330,5080.0,61.21
84,2330,5143.0,61.23
85,2330,5202.0,61.2
86,2330,5266.0,61.23
87,2330,5325.0,61.21
88,2330,5389.0,61.23
89,2330,5448.0,61.22
90,2330,5512.0,61.24
91,2330,5571.0,61.22
92,2330,5635.0,61.25
93,2330,5694.0,61.22
94,2330,5756.0,61.24
95,2330,5815.0,61.21
96,2330,5878.0,61.23
97,2330,5938.0,61.21
98,2330,6001.0,61.23
99,2330,6060.0,61.22
100,2330,6123.0,61.23
101,2330,6182.0,61.21
102,2330,6245.0,61.23
103,2330,6306.0,61.22
104,2330,6369.0,61.24
105,2330,6428.0,61.22
106,2330,6492.0,61.24
107,2330,6552.0,61.23
108,2330,6615.0,61.25
109,2330,6674.0,61.23
110,2330,6737.0,61.25
111,2330,6797.0,61.23
112,2330,6860.0,61.25
113,2330,6918.0,61.22
114,2330,6981.0,61.24
115,2330,7041.0,61.22
116,2330,7103.0,61.24
117,2330,7162.0,61.22
118,2330,7226.0,61.23
119,2330,7285.0,61.22
120,2330,7349.0,61.24
121,2330,7409.0,61.23
122,2330,7472.0,61.25
123,2330,7532.0,61.23
124,2330,7595.0,61.25
125,2330,7654.0,61.23
126,2330,7717.0,61.25
127,2330,7776.0,61.23
128,2330,7840.0,61.25
129,2330,7899.0,61.23
130,2330,7962.0,61.25
131,2330,8020.0,61.22
132,2330,8083.0,61.24
133,2330,8142.0,61.22
134,2330,8206.0,61.24
135,2330,8265.0,61.22
136,2330,8328.0,61.24
137,2330,8388.0,61.23
138,2330,8452.0,61.25
139,2330,8512.0,61.24
140,2330,8575.0,61.25
141,2330,8634.0,61.23
142,2330,8697.0,61.25
143,2330,8756.0,61.23
144,2330,8820.0,61.25
145,2330,8878.0,61.23
146,2330,8942.0,61.25
147,2330,9000.0,61.23
148,2330,9063.0,61.24
149,2330,9122.0,61.22
150,2330,9185.0,61.24
151,2330,9245.0,61.22
152,2330,9308.0,61.24
153,2330,9368.0,61.23
154,2330,9432.0,61.24
155,2330,9490.0,61.23
156,2330,9554.0,61.24
157,2330,9614.0,61.23
158,2330,9677.0,61.24
159,2330,9736.0,61.23
160,2330,9799.0,61.25
161,2330,9858.0,61.23
162,2330,9922.0,61.24
163,2330,9980.0,61.22
164,2330,10043.0,61.24
165,2330,10101.0,61.22
166,2330,10164.0,61.23
167,2330,10224.0,61.22
168,2330,10287.0,61.23
169,2330,10346.0,61.22
170,2330,10410.0,61.24
171,2330,10469.0,61.22
172,2330,10533.0,61.24
173,2330,10591.0,61.22
174,2330,10655.0,61.24
175,2330,10714.0,61.22
176,2330,10778.0,61.24
177,2330,10838.0,61.23
178,2330,10900.0,61.23
179,2330,10958.0,61.22
180,2330,11021.0,61.23
181,2330,11080.0,61.22
182,2330,11143.0,61.23
183,2330,11203.0,61.22
184,2330,11266.0,61.23
185,2330,11325.0,61.22
186,2330,11389.0,61.23
187,2330,11448.0,61.22
188,2330,11513.0,61.24
189,2330,11572.0,61.23
190,2330,11636.0,61.24
191,2330,11695.0,61.23
192,2330,11758.0,61.24
193,2330,11817.0,61.23
194,2330,11880.0,61.24
195,2330,11939.0,61.22
196,2330,12002.0,61.24
197,2330,12060.0,61.22
198,2330,12124.0,61.23
199,2330,12183.0,61.22
200,2330,12246.0,61.23
201,2330,12305.0,61.22
202,2330,12368.0,61.23
203,2330,12428.0,61.22
204,2330,12491.0,61.23
205,2330,12551.0,61.22
206,2330,12615.0,61.24
207,2330,12673.0,61.22
208,2330,12737.0,61.24
209,2330,12796.0,61.22
210,2330,12859.0,61.23
211,2330,12918.0,61.22
212,2330,12981.0,61.23
213,2330,13040.0,61.22
214,2330,13103.0,61.23
215,2330,13162.0,61.22
216,2330,13226.0,61.23
217,2330,13285.0,61.22
218,2330,13349.0,61.23
219,2330,13407.0,61.22
220,2330,13472.0,61.23
221,2330,13531.0,61.23
222,2330,13594.0,61.24
223,2330,13653.0,61.22
224,2330,13718.0,61.24
225,2330,13776.0,61.23
226,2330,13839.0,61.24
227,2330,13898.0,61.22
228,2330,13961.0,61.23
229,2330,14020.0,61.22
230,2330,14083.0,61.23
231,2330,14142.0,61.22
232,2330,14205.0,61.23
233,2330,14263.0,61.22
234,2330,14328.0,61.23
235,2330,14387.0,61.22
236,2330,14451.0,61.23
237,2330,14511.0,61.23
238,2330,14574.0,61.24
239,2330,14633.0,61.23
240,2330,14697.0,61.24
241,2330,14755.0,61.23
242,2330,14819.0,61.24
243,2330,14878.0,61.23
244,2330,14941.0,61.23
245,2330,14999.0,61.22
246,2330,15062.0,61.23
247,2330,15120.0,61.22
248,2330,15183.0,61.22
249,2330,15242.0,61.21
250,2330,15391.0,61.56
251,2330,15443.0,61.53
252,2330,15490.0,61.47
253,2330,15549.0,61.46
254,2330,15612.0,61.47
255,2330,15671.0,61.46
256,2330,15735.0,61.47
257,2330,15794.0,61.46
258,2330,15858.0,61.46
259,2330,15917.0,61.45
260,2330,15979.0,61.46
261,2330,16038.0,61.45
262,2330,16101.0,61.45
263,2330,16160.0,61.44
264,2330,16223.0,61.45
265,2330,16281.0,61.44
266,2330,16345.0,61.45
267,2330,16406.0,61.44
268,2330,16469.0,61.45
269,2330,16528.0,61.44
270,2330,16591.0,61.45
271,2330,16650.0,61.44
272,2330,16714.0,61.45
273,2330,16772.0,61.44
274,2330,16835.0,61.44
275,2330,16894.0,61.43
276,2330,16958.0,61.44
277,2330,17017.0,61.43
278,2330,17080.0,61.44
279,2330,17139.0,61.43
280,2330,17203.0,61.44
281,2330,17262.0,61.43
282,2330,17325.0,61.44
283,2330,17384.0,61.43
284,2330,17448.0,61.44
285,2330,17507.0,61.43
286,2330,17571.0,61.44
287,2330,17629.0,61.43
288,2330,17693.0,61.43
289,2330,17751.0,61.42
290,2330,17815.0,61.43
291,2330,17873.0,61.42
292,2330,17937.0,61.43
293,2330,17996.0,61.42
294,2330,18059.0,61.43
295,2330,18119.0,61.42
296,2330,18182.0,61.43
297,2330,18241.0,61.42
298,2330,18305.0,61.43
299,2330,18363.0,61.42
300,2330,18427.0,61.42
301,2330,18486.0,61.42
302,2330,18549.0,61.42
303,2330,18609.0,61.42
304,2330,18672.0,61.42
305,2330,18731.0,61.41
306,2330,18794.0,61.42
307,2330,18852.0,61.41
308,2330,18916.0,61.41
309,2330,18975.0,61.41
310,2330,19038.0,61.41
311,2330,19097.0,61.41
312,2330,19161.0,61.41
313,2330,19220.0,61.41
314,2330,19283.0,61.41
315,2330,19343.0,61.4
316,2330,19406.0,61.41
317,2330,19466.0,61.41
318,2330,19530.0,61.41
319,2330,19589.0,61.41
320,2330,19652.0,61.41
321,2330,19711.0,61.4
322,2330,19773.0,61.41
323,2330,19832.0,61.4
324,2330,19895.0,61.4
325,2330,19954.0,61.4
326,2330,20017.0,61.4
327,2330,20076.0,61.39
328,2330,20140.0,61.4
329,2330,20199.0,61.39
330,2330,20262.0,61.4
331,2330,20322.0,61.39
332,2330,20385.0,61.4
333,2330,20444.0,61.39
334,2330,20508.0,61.4
335,2330,20567.0,61.39
336,2330,20631.0,61.4
337,2330,20689.0,61.39
338,2330,20753.0,61.4
339,2330,20812.0,61.39
340,2330,20875.0,61.4
341,2330,20933.0,61.39
342,2330,20996.0,61.39
343,2330,21056.0,61.39
344,2330,21119.0,61.39
345,2330,21178.0,61.38
346,2330,21242.0,61.39
347,2330,21301.0,61.39
348,2330,21365.0,61.39
349,2330,21424.0,61.39
350,2330,21489.0,61.4
351,2330,21547.0,61.39
352,2330,21611.0,61.39
353,2330,21669.0,61.39
354,2330,21733.0,61.39
355,2330,21792.0,61.38
356,2330,21855.0,61.39
357,2330,21913.0,61.38
358,2330,21977.0,61.39
359,2330,22035.0,61.38
360,2330,22099.0,61.39
361,2330,22158.0,61.38
362,2330,22221.0,61.38
363,2330,22280.0,61.38
364,2330,22344.0,61.38
365,2330,22403.0,61.38
366,2330,22467.0,61.38
367,2330,22525.0,61.38
368,2330,22589.0,61.38
369,2330,22648.0,61.38
370,2330,22712.0,61.38
371,2330,22770.0,61.37
372,2330,22834.0,61.38
373,2330,22892.0,61.37
374,2330,22955.0,61.38
375,2330,23014.0,61.37
376,2330,23076.0,61.37
377,2330,23136.0,61.37
378,2330,23199.0,61.37
379,2330,23258.0,61.37
380,2330,23322.0,61.37
381,2330,23382.0,61.37
382,2330,23446.0,61.38
383,2330,23506.0,61.37
384,2330,23569.0,61.38
385,2330,23628.0,61.37
386,2330,23692.0,61.38
387,2330,23751.0,61.37
388,2330,23814.0,61.38
389,2330,23872.0,61.37
390,2330,23935.0,61.37
391,2330,23993.0,61.36
392,2330,24057.0,61.37
393,2330,24116.0,61.36
394,2330,24179.0,61.37
395,2330,24239.0,61.36
396,2330,24303.0,61.37
397,2330,24362.0,61.36
398,2330,24426.0,61.37
399,2330,24484.0,61.36
400,2330,24548.0,61.37
401,2330,24607.0,61.36
402,2330,24671.0,61.37
403,2330,24729.0,61.36
404,2330,24792.0,61.37
405,2330,24850.0,61.36
406,2330,24914.0,61.36
407,2330,24973.0,61.36
408,2330,25036.0,61.36
409,2330,25095.0,61.36
410,2330,25158.0,61.36
411,2330,25218.0,61.36
412,2330,25282.0,61.36
413,2330,25341.0,61.36
414,2330,25405.0,61.36
415,2330,25465.0,61.36
416,2330,25528.0,61.37
417,2330,25587.0,61.36
418,2330,25651.0,61.37
419,2330,25709.0,61.36
420,2330,25772.0,61.36
421,2330,25830.0,61.35
422,2330,25894.0,61.36
423,2330,25952.0,61.35
424,2330,26015.0,61.36
425,2330,26074.0,61.35
426,2330,26138.0,61.36
427,2330,26196.0,61.35
428,2330,26260.0,61.36
429,2330,26320.0,61.35
430,2330,26383.0,61.36
431,2330,26443.0,61.35
432,2330,26507.0,61.36
433,2330,26566.0,61.35
434,2330,26629.0,61.36
435,2330,26687.0,61.35
436,2330,26751.0,61.36
437,2330,26810.0,61.35
438,2330,26873.0,61.35
439,2330,26932.0,61.35
440,2330,26995.0,61.35
441,2330,27054.0,61.35
442,2330,27117.0,61.35
443,2330,27176.0,61.35
444,2330,27239.0,61.35
445,2330,27299.0,61.34
446,2330,27363.0,61.35
447,2330,27422.0,61.35
448,2330,27486.0,61.35
449,2330,27546.0,61.35
450,2330,27610.0,61.36
451,2330,27669.0,61.35
452,2330,27732.0,61.35
453,2330,27790.0,61.35
454,2330,27854.0,61.35
455,2330,27912.0,61.35
456,2330,27975.0,61.35
457,2330,28034.0,61.34
458,2330,28097.0,61.35
459,2330,28156.0,61.34
460,2330,28219.0,61.35
461,2330,28279.0,61.34
462,2330,28344.0,61.35
463,2330,28403.0,61.34
464,2330,28466.0,61.35
465,2330,28525.0,61.34
466,2330,28589.0,61.35
467,2330,28648.0,61.34
468,2330,28711.0,61.35
469,2330,28770.0,61.34
470,2330,28833.0,61.35
471,2330,28892.0,61.34
472,2330,28955.0,61.35
473,2330,29013.0,61.34
474,2330,29076.0,61.34
475,2330,29135.0,61.34
476,2330,29198.0,61.34
477,2330,29258.0,61.34
478,2330,29321.0,61.34
479,2330,29380.0,61.34
480,2330,29444.0,61.34
481,2330,29503.0,61.34
482,2330,29566.0,61.34
483,2330,29625.0,61.34
484,2330,29689.0,61.34
485,2330,29747.0,61.33
486,2330,29811.0,61.34
487,2330,29870.0,61.33
488,2330,29933.0,61.34
489,2330,29992.0,61.33
490,2330,30055.0,61.34
491,2330,30113.0,61.33
492,2330,30176.0,61.33
493,2330,30235.0,61.33
494,2330,30299.0,61.33
495,2330,30358.0,61.33
496,2330,30422.0,61.34
497,2330,30482.0,61.33
498,2330,30546.0,61.34
499,2330,30604.0,61.33
500,2330,30701.0,61.4
501,2330,30751.0,61.38
502,2330,30797.0,61.35
503,2330,30855.0,61.34
504,2330,30918.0,61.35
505,2330,30977.0,61.34
506,2330,31043.0,61.35
507,2330,31102.0,61.35
508,2330,31166.0,61.35
509,2330,31225.0,61.35
510,2330,31289.0,61.35
511,2330,31348.0,61.35
512,2330,31410.0,61.35
513,2330,31469.0,61.34
514,2330,31532.0,61.35
515,2330,31590.0,61.34
516,2330,31653.0,61.34
517,2330,31713.0,61.34
518,2330,31776.0,61.34
519,2330,31834.0,61.34
520,2330,31898.0,61.34
521,2330,31957.0,61.34
522,2330,32022.0,61.35
523,2330,32081.0,61.34
524,2330,32145.0,61.35
525,2330,32204.0,61.34
526,2330,32268.0,61.35
527,2330,32326.0,61.34
528,2330,32389.0,61.34
529,2330,32448.0,61.34
530,2330,32512.0,61.34
531,2330,32570.0,61.34
532,2330,32633.0,61.34
533,2330,32692.0,61.34
534,2330,32755.0,61.34
535,2330,32813.0,61.33
536,2330,32877.0,61.34
537,2330,32936.0,61.33
538,2330,32999.0,61.34
539,2330,33059.0,61.33
540,2330,33123.0,61.34
541,2330,33182.0,61.33
542,2330,33246.0,61.34
543,2330,33305.0,61.33
544,2330,33368.0,61.34
545,2330,33428.0,61.34
546,2330,33491.0,61.34
547,2330,33549.0,61.33
548,2330,33613.0,61.34
549,2330,33671.0,61.33
550,2330,33735.0,61.34
551,2330,33793.0,61.33
552,2330,33857.0,61.33
553,2330,33916.0,61.33
554,2330,33980.0,61.34
555,2330,34039.0,61.33
556,2330,34103.0,61.34
557,2330,34161.0,61.33
558,2330,34226.0,61.34
559,2330,34285.0,61.33
560,2330,34349.0,61.34
561,2330,34407.0,61.33
562,2330,34471.0,61.34
563,2330,34529.0,61.33
564,2330,34592.0,61.33
565,2330,34651.0,61.33
566,2330,34715.0,61.33
567,2330,34774.0,61.33
568,2330,34837.0,61.33
569,2330,34897.0,61.33
570,2330,34960.0,61.33
571,2330,35020.0,61.33
572,2330,35083.0,61.33
573,2330,35142.0,61.33
574,2330,35206.0,61.33
575,2330,35265.0,61.33
576,2330,35329.0,61.33
577,2330,35388.0,61.33
578,2330,35451.0,61.33
579,2330,35510.0,61.33
580,2330,35573.0,61.33
581,2330,35631.0,61.33
582,2330,35694.0,61.33
583,2330,35753.0,61.33
584,2330,35816.0,61.33
585,2330,35875.0,61.32
586,2330,35939.0,61.33
587,2330,35997.0,61.32
588,2330,36061.0,61.33
589,2330,36120.0,61.32
590,2330,36184.0,61.33
591,2330,36243.0,61.33
592,2330,36308.0,61.33
593,2330,36366.0,61.32
594,2330,36429.0,61.33
595,2330,36488.0,61.32
596,2330,36551.0,61.33
597,2330,36610.0,61.32
598,2330,36673.0,61.33
599,2330,36732.0,61.32
600,2330,36795.0,61.32
601,2330,36853.0,61.32
