step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,321280.0,9.8046875,1.0,constant_lr
4,259584.0,7.921875,1.0,constant_lr
5,248832.0,7.59375,1.0,constant_lr
6,243072.0,7.41796875,1.0,constant_lr
7,233600.0,7.12890625,1.0,constant_lr
8,229760.0,7.01171875,1.0,constant_lr
9,229248.0,6.99609375,1.0,constant_lr
10,223232.0,6.8125,1.0,constant_lr
11,218880.0,6.6796875,1.0,constant_lr
12,213504.0,6.515625,1.0,constant_lr
13,213376.0,6.51171875,1.0,constant_lr
14,212736.0,6.4921875,1.0,constant_lr
15,207872.0,6.34375,1.0,constant_lr
16,205952.0,6.28515625,1.0,constant_lr
17,204800.0,6.25,1.0,constant_lr
18,204544.0,6.2421875,1.0,constant_lr
19,203776.0,6.21875,1.0,constant_lr
20,203392.0,6.20703125,1.0,constant_lr
21,200448.0,6.1171875,1.0,constant_lr
22,197376.0,6.0234375,1.0,constant_lr
23,198400.0,6.0546875,1.0,constant_lr
24,199296.0,6.08203125,1.0,constant_lr
25,194944.0,5.94921875,1.0,constant_lr
26,194688.0,5.94140625,1.0,constant_lr
27,194048.0,5.921875,1.0,constant_lr
28,193280.0,5.8984375,1.0,constant_lr
29,193408.0,5.90234375,1.0,constant_lr
30,191488.0,5.84375,1.0,constant_lr
31,189056.0,5.76953125,1.0,constant_lr
32,189568.0,5.78515625,1.0,constant_lr
33,188160.0,5.7421875,1.0,constant_lr
34,190720.0,5.8203125,1.0,constant_lr
35,187264.0,5.71484375,1.0,constant_lr
36,187264.0,5.71484375,1.0,constant_lr
37,184832.0,5.640625,1.0,constant_lr
38,185600.0,5.6640625,1.0,constant_lr
39,183808.0,5.609375,1.0,constant_lr
40,182528.0,5.5703125,1.0,constant_lr
41,183936.0,5.61328125,1.0,constant_lr
42,181632.0,5.54296875,1.0,constant_lr
43,181248.0,5.53125,1.0,constant_lr
44,180224.0,5.5,1.0,constant_lr
45,178432.0,5.4453125,1.0,constant_lr
46,179584.0,5.48046875,1.0,constant_lr
47,179840.0,5.48828125,1.0,constant_lr
48,176384.0,5.3828125,1.0,constant_lr
49,176896.0,5.3984375,1.0,constant_lr
50,178304.0,5.44140625,1.0,constant_lr
51,172928.0,5.27734375,1.0,constant_lr
52,175872.0,5.3671875,1.0,constant_lr
53,174464.0,5.32421875,1.0,constant_lr
54,174848.0,5.3359375,1.0,constant_lr
55,173696.0,5.30078125,1.0,constant_lr
56,174720.0,5.33203125,1.0,constant_lr
57,173568.0,5.296875,1.0,constant_lr
58,169984.0,5.1875,1.0,constant_lr
59,172800.0,5.2734375,1.0,constant_lr
60,172672.0,5.26953125,1.0,constant_lr
61,168064.0,5.12890625,1.0,constant_lr
62,171520.0,5.234375,1.0,constant_lr
63,170368.0,5.19921875,1.0,constant_lr
64,171904.0,5.24609375,1.0,constant_lr
65,167040.0,5.09765625,1.0,constant_lr
66,168576.0,5.14453125,1.0,constant_lr
67,169856.0,5.18359375,1.0,constant_lr
68,167936.0,5.125,1.0,constant_lr
69,168832.0,5.15234375,1.0,constant_lr
70,169856.0,5.18359375,1.0,constant_lr
71,166144.0,5.0703125,1.0,constant_lr
72,166528.0,5.08203125,1.0,constant_lr
73,165376.0,5.046875,1.0,constant_lr
74,164096.0,5.0078125,1.0,constant_lr
75,164096.0,5.0078125,1.0,constant_lr
76,164992.0,5.03515625,1.0,constant_lr
77,164864.0,5.03125,1.0,constant_lr
78,165376.0,5.046875,1.0,constant_lr
79,165504.0,5.05078125,1.0,constant_lr
80,163840.0,5.0,1.0,constant_lr
81,162560.0,4.9609375,1.0,constant_lr
82,163328.0,4.984375,1.0,constant_lr
83,162304.0,4.953125,1.0,constant_lr
