step,train_loss_sum,train_loss_per_token,lr_multiplier,phase
0,354304.0,10.8125,1.0,constant_lr
1,354304.0,10.8125,1.0,constant_lr
2,330496.0,10.0859375,1.0,constant_lr
3,297216.0,9.0703125,1.0,constant_lr
4,275456.0,8.40625,1.0,constant_lr
5,256896.0,7.83984375,1.0,constant_lr
6,250496.0,7.64453125,1.0,constant_lr
7,243840.0,7.44140625,1.0,constant_lr
8,237312.0,7.2421875,1.0,constant_lr
9,231168.0,7.0546875,1.0,constant_lr
10,228352.0,6.96875,1.0,constant_lr
11,224896.0,6.86328125,1.0,constant_lr
12,215936.0,6.58984375,1.0,constant_lr
13,217600.0,6.640625,1.0,constant_lr
14,215808.0,6.5859375,1.0,constant_lr
15,211584.0,6.45703125,1.0,constant_lr
16,209408.0,6.390625,1.0,constant_lr
17,208896.0,6.375,1.0,constant_lr
18,207872.0,6.34375,1.0,constant_lr
19,208128.0,6.3515625,1.0,constant_lr
20,207616.0,6.3359375,1.0,constant_lr
21,205440.0,6.26953125,1.0,constant_lr
22,201856.0,6.16015625,1.0,constant_lr
23,204032.0,6.2265625,1.0,constant_lr
24,203904.0,6.22265625,1.0,constant_lr
25,201088.0,6.13671875,1.0,constant_lr
26,200704.0,6.125,1.0,constant_lr
27,200704.0,6.125,1.0,constant_lr
28,200448.0,6.1171875,1.0,constant_lr
29,201728.0,6.15625,1.0,constant_lr
30,199680.0,6.09375,1.0,constant_lr
31,197888.0,6.0390625,1.0,constant_lr
32,198016.0,6.04296875,1.0,constant_lr
33,198016.0,6.04296875,1.0,constant_lr
34,199168.0,6.078125,1.0,constant_lr
35,197504.0,6.02734375,1.0,constant_lr
36,196480.0,5.99609375,1.0,constant_lr
37,195072.0,5.953125,1.0,constant_lr
38,195712.0,5.97265625,1.0,constant_lr
39,194560.0,5.9375,1.0,constant_lr
40,193024.0,5.890625,1.0,constant_lr
41,194944.0,5.94921875,1.0,constant_lr
42,192256.0,5.8671875,1.0,constant_lr
43,192768.0,5.8828125,1.0,constant_lr
44,190336.0,5.80859375,1.0,constant_lr
45,189696.0,5.7890625,1.0,constant_lr
46,190464.0,5.8125,1.0,constant_lr
47,190592.0,5.81640625,1.0,constant_lr
48,187392.0,5.71875,1.0,constant_lr
49,188032.0,5.73828125,1.0,constant_lr
50,188416.0,5.75,1.0,constant_lr
51,183680.0,5.60546875,1.0,constant_lr
52,186496.0,5.69140625,1.0,constant_lr
53,184960.0,5.64453125,1.0,constant_lr
54,185856.0,5.671875,1.0,constant_lr
55,184064.0,5.6171875,1.0,constant_lr
56,186752.0,5.69921875,1.0,constant_lr
57,184576.0,5.6328125,1.0,constant_lr
58,182272.0,5.5625,1.0,constant_lr
59,183936.0,5.61328125,1.0,constant_lr
60,183168.0,5.58984375,1.0,constant_lr
61,178944.0,5.4609375,1.0,constant_lr
62,181888.0,5.55078125,1.0,constant_lr
63,180864.0,5.51953125,1.0,constant_lr
64,181760.0,5.546875,1.0,constant_lr
65,177152.0,5.40625,1.0,constant_lr
66,178304.0,5.44140625,1.0,constant_lr
67,179328.0,5.47265625,1.0,constant_lr
68,177152.0,5.40625,1.0,constant_lr
69,178304.0,5.44140625,1.0,constant_lr
70,179328.0,5.47265625,1.0,constant_lr
71,175872.0,5.3671875,1.0,constant_lr
72,176256.0,5.37890625,1.0,constant_lr
73,174720.0,5.33203125,1.0,constant_lr
74,173696.0,5.30078125,1.0,constant_lr
75,173568.0,5.296875,1.0,constant_lr
76,174720.0,5.33203125,1.0,constant_lr
77,173952.0,5.30859375,1.0,constant_lr
78,174208.0,5.31640625,1.0,constant_lr
79,174336.0,5.3203125,1.0,constant_lr
80,172928.0,5.27734375,1.0,constant_lr
81,171648.0,5.23828125,1.0,constant_lr
82,172672.0,5.26953125,1.0,constant_lr
83,171008.0,5.21875,1.0,constant_lr
