start_step,end_step,center_step,tau,loss_mean,loss_std,lag1_autocorrelation,fnn_raw,fnn_detrended,cao_raw,cao_detrended,simplex_raw,simplex_detrended,mle_raw,mle_detrended
0,399,200,1,4.5183349609375,0.8869199922720862,0.9933810763654264,4.0,4.0,2.0,5.0,3.0,1.0,11.065540129757714,11.942790079132095
40,439,240,1,4.2511083984375,0.379713924759995,0.988742024580912,4.0,5.0,2.0,7.0,15.0,3.0,11.822925037118948,14.65866255738752
80,479,280,1,4.123515625,0.2509131911725538,0.9753088064005947,4.0,4.0,2.0,2.0,12.0,4.0,11.941611408303713,14.436923317665782
120,519,320,1,4.03884765625,0.18196604229555044,0.9487463896526979,4.0,4.0,2.0,5.0,3.0,6.0,11.513342221424761,14.258328453775672
160,559,360,1,3.9791943359375,0.1459668167205101,0.9254924553429724,4.0,4.0,2.0,8.0,3.0,9.0,11.602025739279222,13.40244099445067
200,599,400,1,3.931181640625,0.12553565306914927,0.8961244833217165,4.0,4.0,2.0,6.0,15.0,15.0,12.53114492218393,14.907128838488868
240,639,440,1,3.891357421875,0.11006009930966122,0.8750361468978451,4.0,4.0,2.0,6.0,15.0,15.0,13.459979866913258,14.066651024471039
280,679,480,1,3.856728515625,0.09897004876641179,0.837194489025206,4.0,4.0,2.0,6.0,4.0,12.0,13.378840059519181,13.172415858117635
320,719,520,1,3.82650390625,0.08908072516034417,0.8030838325702078,4.0,5.0,2.0,5.0,15.0,12.0,12.798441404123256,14.097828432083904
360,759,560,1,3.8001123046875,0.0806167620508927,0.7519628021969731,4.0,4.0,2.0,5.0,6.0,15.0,14.150091329518451,15.311589369879632
400,799,600,1,3.774609375,0.07660172683721535,0.7059889815618295,7.0,4.0,2.0,6.0,15.0,15.0,15.131345818018195,15.776516819535185
440,839,640,1,3.7496240234375,0.0752954498555111,0.6911529330122702,6.0,4.0,2.0,6.0,15.0,13.0,15.180678076663032,16.67487891559336
480,879,680,1,3.727021484375,0.0740515122129795,0.670389771907862,6.0,4.0,2.0,6.0,3.0,15.0,14.847711882116363,16.53314338555804
520,919,720,1,3.7056787109375,0.072376734256555,0.6713584322036346,7.0,3.0,2.0,6.0,14.0,15.0,15.358821837367397,16.753845465729487
560,959,760,1,3.6859375,0.06918860887915591,0.6314715860590941,5.0,3.0,2.0,5.0,14.0,12.0,15.84788694611966,16.06855180037295
600,999,800,1,3.6691162109375,0.06639382189969688,0.5938863278890527,5.0,4.0,2.0,2.0,14.0,8.0,15.602228817243326,16.018788449737954
640,1039,840,1,3.652607421875,0.06334682580211008,0.5378567214739253,4.0,4.0,2.0,2.0,8.0,8.0,16.687264626416006,14.624050434091872
680,1079,880,1,3.6374365234375,0.05883179003480725,0.5046120276144346,4.0,4.0,2.0,7.0,8.0,10.0,15.61696157494548,14.699205699085516
720,1119,920,1,3.6230224609375,0.05483926151525486,0.39243754441051026,4.0,5.0,2.0,9.0,15.0,9.0,13.897945897740728,15.08883423477425
760,1159,960,1,3.6081103515625,0.04975557642024242,0.2487534459412072,5.0,6.0,2.0,6.0,9.0,9.0,14.153193708761236,14.164959215848237
800,1199,1000,1,3.5954345703125,0.0471204751571862,0.1879273848881722,5.0,5.0,2.0,5.0,9.0,12.0,14.062301632382663,13.86075552538155
840,1239,1040,1,3.58716796875,0.04607794435710818,0.1328417697921314,5.0,4.0,2.0,5.0,11.0,9.0,13.313503977698332,14.196874952095513
880,1279,1080,1,3.5779931640625,0.04488589522728626,0.13526316128651253,5.0,4.0,2.0,6.0,14.0,9.0,12.945808213370935,14.345259413099667
920,1319,1120,1,3.5696826171875,0.044883581408893904,0.14944663206555187,5.0,3.0,2.0,6.0,11.0,11.0,14.001219495508197,14.494334497953917
960,1359,1160,1,3.560908203125,0.04510855297347814,0.14771189171064886,6.0,3.0,2.0,6.0,11.0,9.0,13.972555879885665,15.727928896018504
1000,1399,1200,1,3.550478515625,0.045553515099106476,0.18676448171142587,4.0,3.0,2.0,6.0,8.0,13.0,13.789001238030853,15.077211602835998
1040,1439,1240,1,3.5408935546875,0.046410195282482296,0.20837698165309934,3.0,3.0,2.0,6.0,8.0,14.0,14.260651415878957,15.71282321205638
1080,1479,1280,1,3.5307666015625,0.047529859443503276,0.21736163897568941,4.0,4.0,8.0,6.0,5.0,15.0,13.999333464398099,17.026928918660033
1120,1519,1320,1,3.5203466796875,0.04786663481335833,0.24840231153266978,3.0,4.0,7.0,6.0,15.0,15.0,13.941893787084366,16.885916699083214
1160,1559,1360,1,3.5111865234375,0.04815208737888511,0.27509394531247894,3.0,5.0,7.0,6.0,15.0,15.0,15.445480663465526,17.38243437098844
1200,1599,1400,1,3.5012255859375,0.04993811568547864,0.32178596642249163,5.0,5.0,7.0,6.0,15.0,15.0,14.730137205547361,16.534728817915138
1240,1639,1440,1,3.489208984375,0.04820814900979841,0.34071045667228456,3.0,4.0,7.0,6.0,15.0,15.0,14.702526480792251,17.574334278906424
1280,1679,1480,1,3.477978515625,0.04836378333192607,0.33353411583505616,5.0,4.0,7.0,5.0,15.0,15.0,13.839141776394085,16.282804523348048
1320,1719,1520,1,3.4667822265625,0.047754902523078284,0.30497408637924356,5.0,4.0,7.0,6.0,15.0,12.0,13.658643392767665,15.31428373668238
1360,1759,1560,1,3.455361328125,0.04713748833194124,0.3144783545440504,5.0,4.0,6.0,5.0,15.0,12.0,13.63294266600129,15.012501708404232
1400,1799,1600,1,3.445830078125,0.0471381276511986,0.30587924225951857,4.0,4.0,6.0,5.0,15.0,10.0,13.795800621644236,13.997275578461307
1440,1839,1640,1,3.435537109375,0.04592398619885184,0.2891797132857663,4.0,4.0,7.0,5.0,12.0,10.0,15.494059995898915,14.157920370317877
1480,1879,1680,1,3.42578125,0.04560515507788275,0.27221499031620944,4.0,4.0,2.0,5.0,12.0,13.0,15.568494980362942,15.687527383670156
1520,1919,1720,1,3.417001953125,0.04357132420315181,0.22615733519263542,5.0,4.0,7.0,5.0,12.0,13.0,14.400104243751509,14.99234973440305
1560,1959,1760,1,3.40736328125,0.04176195514852182,0.2105727938046592,5.0,4.0,7.0,5.0,12.0,15.0,14.570502502323581,14.744171334131474
1600,1999,1800,1,3.398876953125,0.04195807912548126,0.1799726306067374,5.0,4.0,7.0,7.0,13.0,14.0,15.523897197762093,14.846336443763882
1640,2039,1840,1,3.3901123046875,0.04206224142734808,0.154244144020803,5.0,3.0,6.0,6.0,15.0,15.0,13.934644061439588,15.321835439432764
1680,2079,1880,1,3.3819091796875,0.04305936794766817,0.15291950985807912,4.0,4.0,6.0,6.0,15.0,6.0,13.862512199232103,15.10696285500464
1720,2119,1920,1,3.373564453125,0.04324594427949002,0.139674468210003,5.0,4.0,6.0,7.0,14.0,4.0,13.951742260228084,15.423785656398014
1760,2159,1960,1,3.3668359375,0.04296265049037598,0.08265580225099065,3.0,3.0,2.0,7.0,15.0,12.0,15.725018626356466,15.300863747070863
1800,2199,2000,1,3.3597802734375,0.04183014901771421,0.05360910873108593,4.0,3.0,2.0,7.0,15.0,12.0,14.397415817835691,15.259481673576317
1840,2239,2040,1,3.3535546875,0.041167158692749055,0.022568289433294968,3.0,4.0,2.0,7.0,15.0,14.0,14.842799548967834,15.183528171467978
