sweep,arm,max_E,N,r,seed,observer,tau,truth_r,traj_rank,traj_pr,MG,LB,TwoNN,PRdelay,specPR256,roughness,acorr,degenerate,frac_floor,frac_sumfloor,tau_used,theiler_used,theiler_requested,embed_span,n_delay_vectors,crossings,margin_res,drive_cond,MG_2E,rho_ident,theiler_used_2E
N,frozen,20,64000,2,0,c_norm,4,2,10,2.000019380956509,2.4066196119424355,2.438483527397984,1.4460757131818478,1.3421802603442317,1.049163941150901,0.7449077758290167,2.0,False,0.0,0.0,4,76,76,76,63924,15671,0.0051989785150333,1.0712764809019717,,,
N,frozen,20,64000,2,0,g_fro,4,2,10,2.000019380956509,2.282921293248632,2.299811534241111,3.3178448155186584,2.5837319436659287,2.2033333073544177,0.9929031211220196,2.0,False,0.0,0.0,4,76,76,76,63924,17503,0.0051989785150333,1.0712764809019717,,,
N,frozen,20,64000,2,0,c_proj1,4,2,10,2.000019380956509,2.258309528117763,2.315633417612194,2.550600697013606,1.9995863504683384,1.0014977258078663,0.3984192224077211,3.0,False,0.0,0.0,4,76,76,76,63924,8168,0.0051989785150333,1.0712764809019717,,,
N,frozen,20,64000,2,0,fn_proj1,4,2,10,2.000019380956509,2.269356274617156,2.2860257913599886,3.1269888423613,2.3591507130482983,1.741552611035196,0.66371158433585,2.0,False,0.0,0.0,4,76,76,76,63924,15671,0.0051989785150333,1.0712764809019717,,,
N,frozen,20,64000,2,1,c_norm,4,2,10,2.000014894530604,2.242112239217654,2.280316193792008,2.54465993864397,2.015716729955595,1.0095485188836015,0.4004717249847414,3.0,False,0.0,0.0,4,76,76,76,63924,8168,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,64000,2,1,g_fro,4,2,10,2.000014894530604,2.3164537392700635,2.3354250545729465,2.552983398886964,3.53148909274341,2.626424392097402,1.134703261933636,1.0,False,0.0,0.0,4,76,76,76,63924,24651,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,64000,2,1,c_proj1,4,2,10,2.000014894530604,2.2580646689612296,2.308047601543178,2.552483722712343,1.998894996629815,1.0010205374601373,0.3983499928462991,3.0,False,0.0,0.0,4,76,76,76,63924,8168,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,64000,2,1,fn_proj1,4,2,10,2.000014894530604,2.264227962103224,2.2758650540291483,4.054615718450992,2.81664961926718,1.455903169405421,0.4869360861883873,3.0,False,0.0,0.0,4,76,76,76,63924,8168,0.0051989785150333,1.1739745385968967,,,
N,frozen,20,64000,2,2,c_norm,4,2,10,2.0000115302244423,2.396273992942767,2.4303454001871003,3.2595170008113925,1.4876442547133464,1.1608715150032654,0.7309998989386649,2.0,False,0.0,0.0,4,76,76,76,63924,15671,0.0051989785150333,2.101122264651804,,,
N,frozen,20,64000,2,2,g_fro,4,2,10,2.0000115302244423,2.329624322313742,2.349544229169699,2.5467102099024883,3.165135386036792,2.678713732883507,1.1196636628308252,2.0,False,0.0,0.0,4,76,76,76,63924,22925,0.0051989785150333,2.101122264651804,,,
N,frozen,20,64000,2,2,c_proj1,4,2,10,2.0000115302244423,2.2848628383396687,2.324264514165498,0.947050953857373,1.3098005264859218,1.0239402683839196,0.7482608849827362,2.0,False,0.0,0.0,4,76,76,76,63924,15671,0.0051989785150333,2.101122264651804,,,
N,frozen,20,64000,2,2,fn_proj1,4,2,10,2.0000115302244423,2.3315435937951468,2.3484154426286725,7.217962218341333,2.389114264118024,1.2047507265600068,0.4430846861307179,3.0,False,0.0,0.0,4,76,76,76,63924,8168,0.0051989785150333,2.101122264651804,,,
N,frozen,20,64000,4,0,c_norm,4,4,20,4.000176807371894,4.030145555500357,4.088510084581649,5.821429872380101,3.127234387685102,2.33825135100114,0.6711358839494148,2.0,False,0.0,0.0,4,76,76,76,63924,14686,0.0051989785150333,2.277822578222282,,,
N,frozen,20,64000,4,0,g_fro,4,4,20,4.000176807371894,5.485075000951371,5.641507505943259,13.0290756994914,8.538920902668853,5.488545893379533,0.8855811995536093,2.0,False,0.0,0.0,4,76,76,76,63924,17957,0.0051989785150333,2.277822578222282,,,
N,frozen,20,64000,4,0,c_proj1,4,4,20,4.000176807371894,5.919464829477733,6.073147215844148,7.88061105083765,3.811255202627081,2.0345808103438343,0.6127637645242873,2.0,False,0.0,0.0,4,76,76,76,63924,13957,0.0051989785150333,2.277822578222282,,,
N,frozen,20,64000,4,0,fn_proj1,4,4,20,4.000176807371894,3.755366005486309,3.789218779279184,4.426804756008588,3.489263451229164,2.519287199651998,0.634538980068516,2.0,False,0.0,0.0,4,76,76,76,63924,13792,0.0051989785150333,2.277822578222282,,,
N,frozen,20,64000,4,1,c_norm,4,4,20,3.999878329894557,5.186286549025,5.323444968676162,15.50999124494875,3.669043072180839,1.895268787387264,0.4968147568685538,3.0,False,0.0,0.0,4,76,76,76,63924,10328,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,64000,4,1,g_fro,4,4,20,3.999878329894557,3.815561609586341,3.8846226632566574,3.950026291878496,12.810842634398274,8.92414957741638,1.0486372600656466,2.0,False,0.0,0.0,4,76,76,76,63924,22338,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,64000,4,1,c_proj1,4,4,20,3.999878329894557,5.424358879366935,5.6031085366534255,7.835598746317432,4.440244215955914,2.3749566011761174,0.594654755221491,2.0,False,0.0,0.0,4,76,76,76,63924,12989,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,64000,4,1,fn_proj1,4,4,20,3.999878329894557,3.570468012225348,3.6449087057205136,16.501721634141628,4.548611200234874,2.393943138421624,0.482706025734751,3.0,False,0.0,0.0,4,76,76,76,63924,9674,0.0051989785150333,2.5248219950760005,,,
N,frozen,20,1000,2,0,c_norm,4,2,10,1.9999830196108848,2.4191630173638208,2.4631470712652166,10.76117478471628,1.3415271546263692,1.5337830770492775,0.7454536915443352,2.0,False,0.0,0.0,4,76,76,76,924,245,0.0051989785150333,1.0712764809019717,2.352732350814219,0.9725398139468948,150.0
N,frozen,20,1000,2,0,g_fro,4,2,10,1.9999830196108848,2.0370323912715347,2.148949647566787,5.071458282866234,2.586272472331979,3.079185352573399,1.0011513795630476,2.0,False,0.0,0.0,4,76,76,76,924,271,0.0051989785150333,1.0712764809019717,1.9930045311711848,0.978386273930152,150.0
N,frozen,20,1000,2,0,c_proj1,4,2,10,1.9999830196108848,1.773183133448292,1.860323023216771,3.596364729945685,1.99966116952692,1.1383040085908802,0.3993819940680388,3.0,False,0.0,0.0,4,76,76,76,924,128,0.0051989785150333,1.0712764809019717,1.821305471306216,1.0271389553341512,150.0
N,frozen,20,1000,2,0,fn_proj1,4,2,10,1.9999830196108848,1.5569082637189506,1.6007658239006803,7.802414511592494,2.358290401857356,2.432181218089005,0.6647371134637944,2.0,False,0.0,0.0,4,76,76,76,924,245,0.0051989785150333,1.0712764809019717,1.7165464450344303,1.1025353805587463,150.0
