arm,r,seed,traj_PR
fast,2,0,1.9996818285684383
fast,4,0,3.9969207904345936
fast,6,0,5.996427609964024
fast,8,0,7.993703418141927
fast,2,1,1.9998880153307637
fast,4,1,3.9994742070017444
fast,6,1,5.999980485522505
fast,8,1,7.999482806681843
fast,2,2,2.000006357977124
fast,4,2,3.999151764617517
fast,6,2,5.987222969384516
fast,8,2,7.993740801865177
slow,2,0,2.0000562858760635
slow,4,0,3.999777254523761
slow,6,0,5.997310359317756
slow,8,0,7.984103274149558
slow,2,1,1.9997951812927093
slow,4,1,3.999936258079246
slow,6,1,5.998274206721024
slow,8,1,7.986994167306582
slow,2,2,2.000028061184504
slow,4,2,3.9987509505416066
slow,6,2,5.993679468321825
slow,8,2,7.9877206541859795
transient,2,0,1.0603842266717085
transient,4,0,1.059563986271362
transient,6,0,1.0346693651092076
transient,8,0,1.0553260727081137
transient,2,1,1.0690581198129485
transient,4,1,1.025172036906827
transient,6,1,1.0309582471013654
transient,8,1,1.0796019668530363
transient,2,2,1.04837015517255
transient,4,2,1.0648400055528082
transient,6,2,1.0192771818694961
transient,8,2,1.0648290195338102
