seed,segment,truth,MG,roughness,PRdelay,specPR
0,four clocks,4.0,4.118943582104249,0.09069768826404292,2.196152909311003,9.31692582903503
0,one clock,1.0,1.09361910309836,0.0906748910611117,4.214485134222395,6.80569071476603
1,four clocks,4.0,3.9407790827809426,0.08816676831096372,2.2373856126627514,8.889242842028565
1,one clock,1.0,1.147504066083409,0.08831115498898506,3.7746254424820096,3.9591260548895
2,four clocks,4.0,3.7239809860248014,0.09098480573097086,2.1974734359366384,8.37852943031281
2,one clock,1.0,1.0889924548655394,0.09102023419341773,4.191470203395583,5.408589721770969
3,four clocks,4.0,3.965718203256043,0.08956776967803343,2.242427120565723,9.198292177716496
3,one clock,1.0,1.1512078115142719,0.08960342074600768,3.837923978045401,6.607619978305938
4,four clocks,4.0,3.8911034083270852,0.08719259344530295,2.2193845789414146,8.4241749250992
4,one clock,1.0,0.8426928312214913,0.08719634378564659,4.0217996118685075,5.402888233896037
5,four clocks,4.0,3.821147500380967,0.08945710572520632,2.2465427516452237,9.079175344718186
5,one clock,1.0,1.1437091931047971,0.0893961652106674,3.845107624787156,7.4556979720116905
6,four clocks,4.0,4.005360915575915,0.0885895806256789,2.1992132239206743,8.410400388747341
6,one clock,1.0,0.8338243337136478,0.0886560207681091,4.278390706781894,6.235605002342737
7,four clocks,4.0,3.984194457738681,0.09380039459453426,2.140121305172661,8.929509990981682
7,one clock,1.0,1.1448164451595146,0.09381797795939528,4.150276826069374,3.5078493611312505
