arm,observer,family,rho_MG,rho_rough,rho_PRdelay,rho_specPR,mae_specPR,rho_specPR256,slope,mae_raw,ident,seed_sd,degen
batch,acc_probe,function,0.07142857142857144,0.28571428571428575,0.1785714285714286,0.3571428571428572,411.6357595301009,0.4642857142857144,-0.8809595167035016,8.928154158414523,,0.20148038293936082,0.0
batch,c_norm,norm,0.28571428571428575,0.6071428571428572,0.10714285714285716,0.642857142857143,318.4173644918601,-0.10714285714285716,0.20214977106905319,8.935182047816378,,0.0949900388049699,0.0
batch,c_proj1,projection,0.28571428571428575,0.7857142857142859,0.28571428571428575,0.28571428571428575,316.9857458769262,0.39285714285714296,0.5791743172986908,8.88008867236948,1.5435802501420963,0.12081120770211144,0.0
batch,fn_fro,norm,0.3214285714285715,0.28571428571428575,0.0,0.07142857142857144,319.0923224453606,-0.14285714285714288,0.34908992358479535,8.88830619405319,,0.10889125465842753,0.0
batch,fn_proj1,function,0.07142857142857144,0.39285714285714296,0.3571428571428572,0.5357142857142858,316.0570249233879,0.1785714285714286,0.977806354138963,8.857427128657681,,0.08529279768372956,0.0
batch,g_fro,gradient,-0.8571428571428573,0.0,0.0,0.6071428571428572,636.8641583187497,0.3214285714285715,-0.6531158833102949,9.676197546200667,1.586164068893956,0.06995761127286383,0.0
batch,g_proj,gradient,0.14285714285714288,0.3214285714285715,0.10714285714285716,0.39285714285714296,321.75244035600736,-0.03571428571428572,1.2336561126753531,8.887246037424076,,0.08148529249662373,0.0
batch,loss_full,loss,-0.5,0.42857142857142866,-0.4642857142857144,0.642857142857143,624.9122283361581,-0.21428571428571433,-0.3852255757325289,8.817076264219619,,0.09591528177348436,0.0
batch,loss_probe,loss,-0.7500000000000002,-0.1785714285714286,0.07142857142857144,0.14285714285714288,405.65928415300186,-0.03571428571428572,-1.4513916747399564,8.90925832155587,,0.21376615572848243,0.0
batch,loss_step,loss*,-0.8571428571428573,0.21428571428571433,0.0,-0.3214285714285715,1993.0255970821252,0.7857142857142859,-0.9700485896332267,10.15180445755209,,0.04654576789286911,0.0
batch,margin,function,0.1785714285714286,0.3214285714285715,0.07142857142857144,0.07142857142857144,337.16479976101766,0.28571428571428575,0.43243465209891363,8.976986804998448,,0.10708888587675089,0.0
batch,w_fro,norm,0.28571428571428575,0.6071428571428572,0.10714285714285716,0.642857142857143,318.92063692159,-0.07142857142857144,0.10604131441308667,8.917327151302844,1.548365814403173,0.08819658709729605,0.0
batch_proj,acc_probe,function,0.6,0.4285714285714286,-0.3142857142857143,0.2,685.6674501384372,0.3142857142857143,,10.319449582591883,,2.883237818398605,0.40816326530612246
batch_proj,c_norm,norm,0.3214285714285715,0.39285714285714296,0.21428571428571433,-0.03571428571428572,326.0281817586514,0.5357142857142858,0.006133497682743257,11.898372188065391,,0.11004398220763863,0.0
batch_proj,c_proj1,projection,-0.1785714285714286,-0.642857142857143,-0.1785714285714286,0.14285714285714288,317.72129085219893,-0.10714285714285716,-0.004276083849996074,11.892857843266205,1.5320640427634986,0.12151780669728705,0.0
batch_proj,fn_fro,norm,0.07142857142857144,0.7142857142857144,0.7857142857142859,0.4642857142857144,325.02330509999626,0.8571428571428573,0.003374249760880932,11.895327045787058,,0.09381941767564723,0.0
batch_proj,fn_proj1,function,-0.5714285714285715,-0.10714285714285716,0.0,0.21428571428571433,321.4292550140502,0.21428571428571433,-0.02150177254666417,11.892651343642333,,0.0870748474383369,0.0
batch_proj,g_fro,gradient,0.5,-0.8214285714285715,-0.03571428571428572,-0.6071428571428572,657.487214101585,-0.642857142857143,0.11431694756402756,12.231867400244571,1.6010882618053266,0.16528466540662384,0.0
batch_proj,g_proj,gradient,-0.21428571428571433,0.21428571428571433,0.4642857142857144,0.28571428571428575,321.2580191779636,0.6071428571428572,-0.0052121430391319275,11.913455383661036,,0.08783826773523543,0.0
batch_proj,loss_full,loss,0.8928571428571429,0.10714285714285716,0.5,0.10714285714285716,623.0589209938802,-0.14285714285714288,0.549213096538918,10.245739639809438,,0.2757309787840825,0.0
batch_proj,loss_probe,loss,0.6071428571428572,-0.3214285714285715,-0.28571428571428575,-0.42857142857142866,334.26755836715694,-0.03571428571428572,0.2696572791912717,11.594523727490635,,0.3688958685444391,0.0
batch_proj,loss_step,loss*,0.8928571428571429,0.10714285714285716,0.5,0.07142857142857144,622.8996420277446,-0.14285714285714288,0.5494143857923188,10.246190563239656,,0.27593721947324196,0.0
batch_proj,margin,function,0.5,-0.10714285714285716,0.03571428571428572,0.642857142857143,326.70199388391626,0.39285714285714296,0.0641405117241307,11.84170268247092,,0.18363758887794704,0.0
batch_proj,w_fro,norm,0.3214285714285715,0.39285714285714296,0.21428571428571433,-0.03571428571428572,326.0091629474856,0.5357142857142858,0.006014475763431607,11.897757006133181,1.5448364070915357,0.10995982949178991,0.0
gd,acc_probe,function,,,,,,,,,,,1.0
gd,c_norm,norm,-0.07142857142857144,-0.7857142857142859,-0.39285714285714296,-0.8928571428571429,1.4891099776877095,-0.8928571428571429,-9.513530819710972,28.444391092326576,,0.8408802186310046,0.0
gd,c_proj1,projection,0.25,-0.5714285714285715,-0.42857142857142866,0.21428571428571433,1.5026153341402622,0.21428571428571433,17.089639628233666,28.056588774307453,1.0246855474836851,0.9486453644808137,0.0
gd,fn_fro,norm,0.28571428571428575,-0.4642857142857144,-0.03571428571428572,-0.4642857142857144,1.4945175892773328,-0.4642857142857144,11.333133325880075,28.375445002883392,,0.7622051031098273,0.0
gd,fn_proj1,function,-0.8214285714285715,0.5714285714285715,-0.07142857142857144,0.3571428571428572,1.4917669915159162,0.3571428571428572,-25.567825616607003,28.443584109013386,,0.6481108881407031,0.0
gd,g_fro,gradient,0.0,-0.5714285714285715,0.7857142857142859,-0.1785714285714286,1.5427902402697657,-0.1785714285714286,-2.203308739687463,27.941720783589027,0.9996581160252755,0.31745786615613975,0.0
gd,g_proj,gradient,-0.5357142857142858,0.14285714285714288,0.28571428571428575,-0.642857142857143,1.5257087382116024,-0.642857142857143,-13.49487300964281,27.930302185812458,,0.9434149304010039,0.0
gd,loss_full,loss,0.5714285714285715,-0.6785714285714287,0.28571428571428575,0.25,1.6970304085339352,0.25,6.00130233461463,25.990786708290052,,0.7813084057963445,0.0
gd,loss_probe,loss,0.14285714285714288,0.10714285714285716,0.07142857142857144,-0.07142857142857144,1.582602380080053,-0.07142857142857144,-0.10602170143443394,27.52526426732027,,1.0777359994378097,0.0
gd,loss_step,loss*,0.5714285714285715,-0.6785714285714287,0.28571428571428575,0.25,1.6970429082460219,0.25,6.003852227984944,25.990656721622468,,0.7813187810648331,0.0
gd,margin,function,-0.21428571428571433,-0.1785714285714286,-0.07142857142857144,-0.07142857142857144,1.5268225299796894,-0.07142857142857144,-6.373049314435242,27.22158620807441,,1.0925844446509732,0.0
gd,w_fro,norm,-0.07142857142857144,-0.7857142857142859,-0.39285714285714296,-0.8928571428571429,1.4896174061087275,-0.8928571428571429,-6.682834805976825,28.43765537744344,0.9994835203922733,0.8485105223443777,0.0
mixed,acc_probe,function,0.48571428571428577,-0.7714285714285715,-0.028571428571428574,-0.028571428571428574,419.2532638106199,-0.3714285714285715,,3.7405884396087132,,3.9876549112669593,0.6088435374149659
mixed,c_norm,norm,0.8928571428571429,0.28571428571428575,1.0,0.9642857142857145,18.413861034743537,1.0,0.5583857530493199,9.032270507617323,,0.6686918660350019,0.0
mixed,c_proj1,projection,0.9642857142857145,-0.25,1.0,1.0,21.870759166393885,1.0,0.5492285788489791,9.23108595811201,1.3629592575606504,0.7148306251817472,0.0
mixed,fn_fro,norm,0.9642857142857145,-0.21428571428571433,1.0,1.0,25.29427909602921,1.0,0.549542283380668,9.131782398003327,,0.6141425212974554,0.0
mixed,fn_proj1,function,1.0,0.3571428571428572,1.0,1.0,13.162162691977159,1.0,0.4589947914245962,9.171679115503336,,0.5543372861698328,0.0
mixed,g_fro,gradient,0.9642857142857145,-1.0,0.9642857142857145,1.0,259.09451753947553,0.9642857142857145,0.4598657189115538,10.940264664231943,1.445604199266128,0.6703288341148858,0.0
mixed,g_proj,gradient,0.8214285714285715,0.5,0.9642857142857145,1.0,19.33126918285752,1.0,0.49002086540810874,9.204942510149555,,0.7257701544461603,0.0
mixed,loss_full,loss,1.0,-0.9642857142857145,0.9642857142857145,1.0,266.76441623274343,0.8928571428571429,0.5446936907111954,9.983403795643383,,0.48658501815410055,0.0
mixed,loss_probe,loss,1.0,0.21428571428571433,1.0,0.9642857142857145,17.789327715707152,1.0,0.5116007852719523,8.984036482232876,,0.5932575011150265,0.0
mixed,loss_step,loss*,0.9642857142857145,-0.1785714285714286,1.0,0.7500000000000002,1.5125480257402149,1.0,0.679504410397873,0.6915501967972676,,0.6417574923687895,0.0
mixed,margin,function,0.8571428571428573,-0.21428571428571433,1.0,1.0,22.66024006149998,1.0,0.5506150307790862,9.06462368882349,,1.0018267241921925,0.0
mixed,w_fro,norm,0.8928571428571429,0.28571428571428575,1.0,0.9642857142857145,18.415606627561697,1.0,0.5583403227281372,9.032367187159418,1.3575285964627888,0.6686073946397737,0.0
noise,acc_probe,function,0.8214285714285715,-0.25,-0.3214285714285715,-0.25,705.7857167927257,-0.3214285714285715,1.123857969820461,8.692040826321536,,0.8565411086074014,0.32142857142857145
noise,c_norm,norm,0.6785714285714287,0.0,-0.10714285714285716,-0.5,323.84678116994564,-0.21428571428571433,0.011985459717674252,10.994787212201485,,0.2579888549104709,0.0
noise,c_proj1,projection,-0.03571428571428572,-0.07142857142857144,-0.6071428571428572,-0.642857142857143,321.8950603232574,-0.7857142857142859,-0.003525152403369113,10.972635086561963,1.5504674378864043,0.07771031094676002,0.0
noise,fn_fro,norm,-0.28571428571428575,0.25,-0.7500000000000002,-0.3214285714285715,324.25196585076776,-0.21428571428571433,-0.004255472200387833,11.00883012955821,,0.08552314916918911,0.0
noise,fn_proj1,function,0.5357142857142858,0.3571428571428572,-0.14285714285714288,-0.28571428571428575,318.3864801622672,-0.03571428571428572,0.017870649490237096,11.003188440629737,,0.11125294148923595,0.0
noise,g_fro,gradient,0.6071428571428572,-1.0,-0.8571428571428573,-0.9285714285714288,664.966517486628,-0.8571428571428573,0.08735756137518101,11.537645712423538,1.593525369635866,0.09252217513807326,0.0
noise,g_proj,gradient,-0.21428571428571433,-0.03571428571428572,-0.3214285714285715,-0.7500000000000002,324.66698817167946,-0.6785714285714287,-0.0015907638461051914,11.010903725091186,,0.10114041072275283,0.0
noise,loss_full,loss,1.0,-0.9285714285714288,-0.7500000000000002,-0.42857142857142866,635.754378991173,-0.7142857142857144,0.40686584390614017,9.932272027341464,,0.1012132546201815,0.0
noise,loss_probe,loss,-0.03571428571428572,-0.03571428571428572,-0.39285714285714296,-0.5714285714285715,322.5212764879793,-0.6785714285714287,-0.003307151742153765,10.932888976058328,,0.11808325885409456,0.0
noise,loss_step,loss*,1.0,-0.8214285714285715,-0.7500000000000002,-0.42857142857142866,635.6257296494649,-0.7142857142857144,0.40712606141715546,9.932327273952964,,0.10106715680332468,0.0
noise,margin,function,0.642857142857143,-0.9642857142857145,-0.21428571428571433,-0.25,322.97325120126953,-0.21428571428571433,0.02375657855861695,10.951458452360294,,0.27801002510158573,0.0
