period,r,tau,max_E,seed,tau_used,theiler_used,span,span_periods,MG,PRdelay,specPR0,specPR256,roughness,degenerate,margin
16,1,1,10,0,1,9,9,0.5625,1.506211737754337,1.9688992118040647,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,1,10,1,1,9,9,0.5625,1.5062121174353662,2.1491287084974116,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,1,20,0,1,19,19,1.1875,1.5063602873276156,1.9827585543361226,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,1,20,1,1,19,19,1.1875,1.5063603672276975,2.1670065854027833,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,2,10,0,2,18,18,1.125,1.5063455551592377,1.9760565356067081,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,2,10,1,2,18,18,1.125,1.5063457202387096,2.1587385618841286,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,2,20,0,2,38,38,2.375,1.5066428233107307,2.0000701070507527,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,2,20,1,2,38,38,2.375,1.5066432269596768,2.1872048950847813,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,4,10,0,4,36,36,2.25,1.5066131969962497,1.998734530201848,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,4,10,1,4,36,36,2.25,1.506618152022593,2.1353040910054304,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,4,20,0,4,76,76,4.75,1.5072112923092307,1.998898756348147,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,4,20,1,4,76,76,4.75,1.5072124694803697,2.1826396608889334,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,8,10,0,8,72,72,4.5,1.5071514999810356,1.9963611808831447,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,8,10,1,8,72,72,4.5,1.5071526527195664,2.1794546064677847,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,8,20,0,8,150,152,9.5,1.5083547462584297,1.997110285915076,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,8,20,1,8,150,152,9.5,1.5083552954836776,2.1825608450305842,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,16,10,0,16,144,144,9.0,1.5082345964933968,1.9553398501789436,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,16,10,1,16,144,144,9.0,1.5082347914764394,2.136239132365491,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,16,20,0,16,150,304,19.0,1.510668752173761,1.9824246157214873,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,16,20,1,16,150,304,19.0,1.5106687172605837,2.1697031721444158,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,32,10,0,32,150,288,18.0,1.510423479323098,1.9760691024881811,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,32,10,1,32,150,288,18.0,1.5104234517054898,2.1582611149900877,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,32,20,0,32,150,608,38.0,1.514135287183013,1.9992543508450549,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,32,20,1,32,150,608,38.0,1.5141350384393086,2.1864017066662838,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,acorr,10,0,1,9,9,0.5625,1.506211737754337,1.9688992118040647,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,acorr,10,1,1,9,9,0.5625,1.5062121174353662,2.1491287084974116,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,1,acorr,20,0,1,19,19,1.1875,1.5063602873276156,1.9827585543361226,1.908379377378377,1.0167247618417299,0.5483118082503211,False,0.08838834764831845
16,1,acorr,20,1,1,19,19,1.1875,1.5063603672276975,2.1670065854027833,2.0901065273727464,1.112957811733564,0.5809253037724126,False,0.08838834764831845
16,2,1,10,0,1,9,9,0.5625,2.1858377308715835,2.318830207931338,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,1,10,1,1,9,9,0.5625,3.0775594581237278,2.932629135675075,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,1,20,0,1,19,19,1.1875,2.4999904179921417,2.5115557654329006,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,1,20,1,1,19,19,1.1875,3.0645580590620325,3.626414516587732,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,2,10,0,2,18,18,1.125,2.495024296475186,2.5079508370406587,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,2,10,1,2,18,18,1.125,3.0636979438046943,3.6099411121787486,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,2,20,0,2,38,38,2.375,2.5097391242459715,2.5164927348290993,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,2,20,1,2,38,38,2.375,3.0734357663603937,3.6924347471484356,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,4,10,0,4,36,36,2.25,2.5774226555822257,1.3559011166342,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,4,10,1,4,36,36,2.25,2.9456308990341284,2.993118132075331,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,4,20,0,4,76,76,4.75,2.6250065544269408,1.6355557530457636,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,4,20,1,4,76,76,4.75,3.1007438500349758,3.2744517782372804,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,8,10,0,8,72,72,4.5,2.652921229243597,1.6044453404856367,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
16,2,8,10,1,8,72,72,4.5,3.0827563072505537,2.0753286348724047,4.594476609876013,1.924599530581955,0.5559170172280237,False,0.0051989785150333145
16,2,8,20,0,8,150,152,9.5,2.664962605447518,2.3926543382680365,1.980101376706667,1.2796195848022205,0.7263356438367503,False,0.0051989785150333145
