observer,r,MG,truth
c_norm,2,2.238861080898042,2.0000127261684764
c_norm,5,4.113548312442435,5.000039369751406
c_norm,8,5.336857465963979,8.000136942698903
c_norm,11,8.66997576412371,10.999484564024105
c_norm,14,9.0422939931977,13.997466087028698
c_norm,17,12.708302670960235,16.997372096130167
c_norm,20,13.44932554654232,19.99283979654369
g_fro,2,2.7187290976663276,2.0000127261684764
g_fro,5,9.009775469139145,5.000039369751406
g_fro,8,14.534064581203955,8.000136942698903
g_fro,11,17.342133661615836,10.999484564024105
g_fro,14,19.52445333193503,13.997466087028698
g_fro,17,20.968700198727053,16.997372096130167
g_fro,20,20.79097862472362,19.99283979654369
w_fro,2,2.2388639406539164,2.0000127261684764
w_fro,5,4.113530114995358,5.000039369751406
w_fro,8,5.33683954475651,8.000136942698903
w_fro,11,8.669937492149488,10.999484564024105
w_fro,14,9.042283908826091,13.997466087028698
w_fro,17,12.708337690780136,16.997372096130167
w_fro,20,13.449316011662795,19.99283979654369
