run,column,smooth,observed,surr_median,surr_max,p,n
mod_wd0,train_loss,101,1.0323918758366144,4.857534258701636,22.20753951988014,0.95,39
mod_wd1,train_loss,101,1.3550441556471329,1.5993097550535882,2.9395682823985028,0.725,39
mod_wd1_s43,train_loss,101,2.048934494833673,2.2973140906265477,12.980491550654286,0.65,39
mod_wd1_s44,train_loss,101,2.1118483814737075,2.9818696295910616,9.945464322653812,0.675,39
s5_wd0,train_loss,101,1.3039097109538234,1.3819407134885788,1.653328776950398,0.7,39
s5_wd1,train_loss,101,7.188096698204651,1.746101420478064,2.5339836428250413,0.025,39
mod_wd0,train_loss,201,1.0323918758366144,2.492482536853852,22.551001680019855,0.8,39
mod_wd1,train_loss,201,1.3550441556471329,1.559674154070841,3.058959043940762,0.7,39
mod_wd1_s43,train_loss,201,2.048934494833673,2.0538084175850746,6.974025628238926,0.525,39
mod_wd1_s44,train_loss,201,2.1118483814737075,2.0630416566717145,6.164899651666667,0.425,39
s5_wd0,train_loss,201,1.3039097109538234,1.382841279703273,1.6807178753285341,0.75,39
s5_wd1,train_loss,201,7.188096698204651,1.9499522533885205,2.775857881693413,0.025,39
mod_wd0,train_loss,401,1.0323918758366144,4.128608429538466,18.81377651018,0.925,39
mod_wd1,train_loss,401,1.3550441556471329,1.8056047744925834,4.218371053874362,0.825,39
mod_wd1_s43,train_loss,401,2.048934494833673,2.3463323949250534,4.276575540053821,0.725,39
mod_wd1_s44,train_loss,401,2.1118483814737075,3.3330980921028353,5.549512903030543,0.8,39
s5_wd0,train_loss,401,1.3039097109538234,1.8891139736148554,2.5930447187841414,0.975,39
s5_wd1,train_loss,401,7.188096698204651,2.159445029900511,3.9212403314008966,0.025,39
mod_wd0,weight_norm,101,0.9998327184567153,1.9202662537386608,3.786414384893445,0.975,39
mod_wd1,weight_norm,101,2.3592533361077885,1.3737356685170958,1.882555074117234,0.025,39
mod_wd1_s43,weight_norm,101,1.912000903845017,1.402681096718381,1.722507239569565,0.025,39
mod_wd1_s44,weight_norm,101,2.139349747874732,1.848191218664711,2.1572712476940468,0.05,39
s5_wd0,weight_norm,101,1.052673870242101,1.1143525082372074,1.926167127204403,0.85,39
s5_wd1,weight_norm,101,2.521040112496775,1.9626142142257221,2.4446567356742968,0.025,39
mod_wd0,weight_norm,201,0.9998327184567153,2.2290483786270214,4.721372234876825,0.975,39
mod_wd1,weight_norm,201,2.3592533361077885,1.3431082634345315,1.8149919094522493,0.025,39
mod_wd1_s43,weight_norm,201,1.912000903845017,1.4805854776104737,1.9458769377633203,0.05,39
mod_wd1_s44,weight_norm,201,2.139349747874732,1.285369626476479,2.2725744741261025,0.05,39
s5_wd0,weight_norm,201,1.052673870242101,1.3492046799742945,2.1982311919225617,0.85,39
s5_wd1,weight_norm,201,2.521040112496775,1.595472880119945,2.4636403047136395,0.025,39
mod_wd0,weight_norm,401,0.9998327184567153,3.4717158020216576,5.338190370184885,0.975,39
mod_wd1,weight_norm,401,2.3592533361077885,1.4048010130616295,1.7419619376641526,0.025,39
mod_wd1_s43,weight_norm,401,1.912000903845017,1.3906391758653827,2.019228437432183,0.075,39
mod_wd1_s44,weight_norm,401,2.139349747874732,1.3060062930512917,2.0747041724715345,0.025,39
s5_wd0,weight_norm,401,1.052673870242101,1.622168678638084,2.5213842098742765,0.9,39
s5_wd1,weight_norm,401,2.521040112496775,1.564664283622233,2.174773643264054,0.025,39
