table,kind,row,column,printed,computed,source,provenance,status,note
tab:obsdef,table,,,,,,,skipped,a definition: the twelve observers and their formulae
tab:frozen,cell,E_max,eight-component,20,20.0,data/calib.e8/frozen_config.json,regenerated,ok,
tab:frozen,cell,E_max,twenty-component,40,40.0,data/calib.e20/frozen_k20.json,regenerated,ok,
tab:frozen,cell,tau,eight-component,4,4.0,data/calib.e8/frozen_config.json,regenerated,ok,
tab:frozen,cell,tau,twenty-component,16,16.0,data/calib.e20/frozen_k20.json,regenerated,ok,
tab:frozen,cell,window / stride,eight-component,8000 / 2000,"8000, 2000",data/calib.e8/frozen_config.json,regenerated,ok,
tab:frozen,cell,window / stride,twenty-component,8000 / 4000,"8000, 4000",data/calib.e20/frozen_k20.json,regenerated,ok,
tab:frozen,cell,grid size,eight-component,48,48.0,data/calib.e8/config_ranking.csv,regenerated,ok,
tab:frozen,cell,selection seeds,eight-component,"90, 91, 92","90, 91, 92",data/calib.e8/frozen_config.json,regenerated,ok,
tab:frozen,cell,selection seeds,twenty-component,"0, 1, 2","0, 1, 2",data/calib.e20/frozen_k20.json,regenerated,ok,
tab:frozen,cell,selection ranks,eight-component,"2, 4, 6","2, 4, 6",data/calib.e8/frozen_config.json,regenerated,ok,
tab:frozen,cell,selection ranks,twenty-component,"2, 6, 10, 14, 18","2, 6, 10, 14, 18",data/calib.e20/frozen_k20.json,regenerated,ok,
tab:frozen,cell,withheld ranks,eight-component,"1, 3, 5, 8","1, 3, 5, 8",data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,the sweep's ranks less the calibration ranks
tab:frozen,cell,"selection error, best",eight-component,0.17,0.1724110221992673,data/calib.e8/config_ranking.csv,regenerated,ok,
tab:frozen,cell,"selection error, worst",eight-component,2.03,2.027894525885041,data/calib.e8/config_ranking.csv,regenerated,ok,
tab:geometry,cell,frozen configuration,window,8000,8000.0,data/calib.e8/frozen_config.json,regenerated,ok,
tab:geometry,cell,frozen configuration,stride,2000,2000.0,data/calib.e8/frozen_config.json,regenerated,ok,
tab:ladder,cell,oscillating matrix,column 3,0.27,0.27055902387392117,data/sys.matrix/heldout_raw.csv + data/sys.matrix/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,oscillating matrix,column 4,1.00,1.0,data/sys.matrix/heldout_raw.csv + data/sys.matrix/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,online linear regression,column 3,0.79,0.7890379394681559,data/sys.linear/heldout_raw.csv + data/sys.linear/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,online linear regression,column 4,0.99,0.9928571428571428,data/sys.linear/heldout_raw.csv + data/sys.linear/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,logistic regression,column 3,0.81,0.8080476366896712,data/sys.logistic/heldout_raw.csv + data/sys.logistic/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,logistic regression,column 4,1.00,0.9964285714285712,data/sys.logistic/heldout_raw.csv + data/sys.logistic/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,frozen nonlinear decoder,column 3,1.58,1.5845595754055586,data/sys.decoder/heldout_raw.csv + data/sys.decoder/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,frozen nonlinear decoder,column 4,0.94,0.9357142857142854,data/sys.decoder/heldout_raw.csv + data/sys.decoder/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,perceptron in a k-subspace,column 3,0.92,0.917630770602564,data/sys.subspace/heldout_raw.csv + data/sys.subspace/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,perceptron in a k-subspace,column 4,0.99,0.9857142857142854,data/sys.subspace/heldout_raw.csv + data/sys.subspace/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,"image data, parameter subspace",column 3,0.90,0.8995236448362978,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,"mean over the withheld (rank, seed, observer) runs"
tab:ladder,cell,"image data, parameter subspace",column 4,1.00,1.0,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:ladder,cell,"image data, parameter subspace",column 3,1.75,1.7546054173558798,data/calib.e20/scores_frozen.csv,regenerated,ok,
tab:ladder,cell,"image data, parameter subspace",column 4,1.00,0.9969924812030074,data/calib.e20/scores_frozen.csv,regenerated,ok,
tab:ladder,cell,"image data, function subspace",column 3,0.28,0.27955152228966873,data/sys.digits.function/heldout_raw.csv + data/sys.digits.function/observer_ranking.csv,regenerated,ok,
tab:ladder,cell,"image data, function subspace",column 4,1.00,1.0,data/sys.digits.function/heldout_raw.csv + data/sys.digits.function/observer_ranking.csv,regenerated,ok,
tab:ladder,claim,one window or several,claim,each side of the error is a median over that run's sliding windows,"every constructed row slides: data/sys.matrix/heldout_raw.csv [7], data/sys.linear/heldout_raw.csv [7], data/sys.logistic/heldout_raw.csv [7], data/sys.decoder/heldout_raw.csv [7], data/sys.subspace/heldout_raw.csv [7]","data/sys.matrix/heldout_raw.csv, data/sys.linear/heldout_raw.csv, data/sys.logistic/heldout_raw.csv, data/sys.decoder/heldout_raw.csv, data/sys.subspace/heldout_raw.csv",regenerated,ok,
tab:ladder,claim,"image data, function subspace",claim,every rank in the row is a verified construction,"rank(s) 3, 5, 8 did not pass the excitation check",data/sys.digits.function/heldout_raw.csv,regenerated,mismatch,
tab:aggregation,cell,"mean over (rank, seed, observer) runs",error,0.90,0.8995236448362978,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:aggregation,cell,median over observers of each observer's error,error,0.48,0.48439743638082305,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:aggregation,cell,"median over seeds and observers at each rank, then scored",error,0.382,0.38248124784255877,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,probe loss,MAE,0.60,0.5971372320665161,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,probe loss,slope,0.82,0.8156275980374629,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,probe loss,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,function-space norm,MAE,0.39,0.39033124640634853,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,function-space norm,slope,0.96,0.955060199534586,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,function-space norm,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,margin,MAE,0.46,0.4556807173107126,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,margin,slope,0.83,0.8295451325515745,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,margin,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,"parameter, subspace norm",MAE,0.41,0.4147913561797459,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,"parameter, subspace norm",slope,1.04,1.044025679246293,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,"parameter, subspace norm",roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,fixed parameter projection,MAE,0.34,0.34020824983118514,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,fixed parameter projection,slope,0.83,0.8255366787508154,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,fixed parameter projection,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,gradient projection,MAE,0.70,0.6982169598625143,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,gradient projection,slope,0.72,0.72374299557035,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,gradient projection,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,function-space projection,MAE,0.51,0.5131141554509335,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,function-space projection,slope,0.78,0.7762961298264975,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,function-space projection,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,gradient norm,MAE,1.81,1.8134335482322874,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,gradient norm,slope,1.58,1.5784719805880312,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,gradient norm,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,full-batch loss,MAE,1.87,1.867446190654436,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,full-batch loss,slope,1.51,1.5070249921030487,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,full-batch loss,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
tab:obs,cell,instantaneous loss,MAE,0.61,0.6101950502366363,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,instantaneous loss,slope,0.73,0.7282590787606517,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,
tab:obs,cell,instantaneous loss,roughness orders rank,no,no,data/sys.digits.parameter/sweep_raw.csv,regenerated,ok,roughness orders the four ranks exactly
