run,column,smooth,generalises,observed,p_min,p_median,p_max,p_sd,n_seeds
mod_wd0,train_loss,101,False,1.0323918758366144,0.825,0.925,0.975,0.06020797289396146,5
mod_wd0,train_loss,201,False,1.0323918758366144,0.85,0.9,0.95,0.03708099243547831,5
mod_wd0,train_loss,401,False,1.0323918758366144,0.825,0.9,0.95,0.057008771254956916,5
mod_wd0,weight_norm,101,False,0.9998327184567153,0.875,0.95,0.975,0.04107919181288744,5
mod_wd0,weight_norm,201,False,0.9998327184567153,0.925,0.975,1.0,0.027386127875258303,5
mod_wd0,weight_norm,401,False,0.9998327184567153,0.975,1.0,1.0,0.011180339887498964,5
mod_wd1,train_loss,101,True,1.3550441556471329,0.65,0.675,0.8,0.06373774391990979,5
mod_wd1,train_loss,201,True,1.3550441556471329,0.65,0.75,0.775,0.05184110338331929,5
mod_wd1,train_loss,401,True,1.3550441556471329,0.8,0.9,0.925,0.0518411033833193,5
mod_wd1,weight_norm,101,True,2.3592533361077885,0.025,0.025,0.025,0.0,5
mod_wd1,weight_norm,201,True,2.3592533361077885,0.025,0.025,0.025,0.0,5
mod_wd1,weight_norm,401,True,2.3592533361077885,0.025,0.025,0.025,0.0,5
mod_wd1_s43,train_loss,101,True,2.048934494833673,0.375,0.525,0.625,0.09117291264405233,5
mod_wd1_s43,train_loss,201,True,2.048934494833673,0.475,0.475,0.625,0.07071067811865477,5
mod_wd1_s43,train_loss,401,True,2.048934494833673,0.5,0.625,0.675,0.06614378277661478,5
mod_wd1_s43,weight_norm,101,True,1.912000903845017,0.05,0.1,0.1,0.027386127875258306,5
mod_wd1_s43,weight_norm,201,True,1.912000903845017,0.025,0.05,0.125,0.04107919181288746,5
mod_wd1_s43,weight_norm,401,True,1.912000903845017,0.025,0.05,0.05,0.013693063937629153,5
mod_wd1_s44,train_loss,101,True,2.1118483814737075,0.525,0.6,0.725,0.07623975340988454,5
mod_wd1_s44,train_loss,201,True,2.1118483814737075,0.525,0.575,0.6,0.02850438562747841,5
mod_wd1_s44,train_loss,401,True,2.1118483814737075,0.725,0.85,0.925,0.08477912478906587,5
mod_wd1_s44,weight_norm,101,True,2.139349747874732,0.05,0.05,0.075,0.011180339887498947,5
mod_wd1_s44,weight_norm,201,True,2.139349747874732,0.025,0.025,0.05,0.013693063937629153,5
mod_wd1_s44,weight_norm,401,True,2.139349747874732,0.025,0.025,0.075,0.022360679774997894,5
s5_wd0,train_loss,101,False,1.3039097109538234,0.625,0.65,0.725,0.04183300132670378,5
s5_wd0,train_loss,201,False,1.3039097109538234,0.6,0.75,0.825,0.10216408370851274,5
s5_wd0,train_loss,401,False,1.3039097109538234,0.975,0.975,1.0,0.013693063937629153,5
s5_wd0,weight_norm,101,False,1.052673870242101,0.5,0.65,0.775,0.11236102527122115,5
s5_wd0,weight_norm,201,False,1.052673870242101,0.8,0.85,0.875,0.03354101966249682,5
s5_wd0,weight_norm,401,False,1.052673870242101,0.925,0.975,0.975,0.02236067977499791,5
s5_wd1,train_loss,101,True,7.188096698204651,0.025,0.025,0.025,0.0,5
s5_wd1,train_loss,201,True,7.188096698204651,0.025,0.025,0.025,0.0,5
s5_wd1,train_loss,401,True,7.188096698204651,0.025,0.025,0.025,0.0,5
s5_wd1,weight_norm,101,True,2.521040112496775,0.025,0.025,0.075,0.022360679774997894,5
s5_wd1,weight_norm,201,True,2.521040112496775,0.025,0.025,0.025,0.0,5
s5_wd1,weight_norm,401,True,2.521040112496775,0.025,0.025,0.025,0.0,5
