run,ladder,n_samples,row_stride,window_steps,n_windows,PR_pos_det_med,PR_pos_det_min,PR_pos_det_max,PR_step_med,PR_step_min,PR_step_max,fn_PR_pos_det_med,fn_PR_pos_det_min,fn_PR_pos_det_max,fn_PR_step_med,fn_PR_step_min,fn_PR_step_max,at_gen_centre,PR_pos_det_at_gen,PR_step_at_gen,fn_PR_pos_det_at_gen,fn_PR_step_at_gen,t_mem,t_gen
a_add,fixed_n,60,1,2950,41,1.0663635499704762,1.0008948539070832,1.2578474094355836,1.2263732132938305,1.0035477668998913,3.329625566756727,1.4681561964357168,1.0022549772836946,1.732764342510801,4.456650322404672,1.0095534896298326,37.052110294657496,12425.0,1.2578474094355836,1.6055587556186395,1.4377839833243033,2.017263981270027,9250,11800
a_add,fixed_n,60,2,5900,41,1.0267353164547206,1.001177113000837,1.5339829262790767,1.1085119345433752,1.0046525394486243,2.2472607553765545,1.2121392826324717,1.0036201865023209,1.9427969837584285,2.1441773964263353,1.0162304253312424,10.980631115778912,10150.0,1.463021301555705,2.093327745191794,1.9427969837584285,3.2052874618657237,9250,11800
a_add,fixed_n,60,4,11800,41,1.0102449568840326,1.0018715622352423,1.9511428070734416,1.0396219702385696,1.0066764461268196,2.942611000639456,1.0785390499992071,1.0050931415710767,2.497427386603394,1.3995303134547523,1.022521562895522,4.550997056976853,12800.0,1.9511428070734416,2.942611000639456,2.379771835387585,4.311917827527372,9250,11800
a_add,fixed_n,60,10,29500,13,1.0058722998293887,1.0032069918912516,2.0473156746061427,1.0210935838113144,1.011346218591247,3.0854294478059954,1.0198468984304698,1.0083363117553144,3.352773877772659,1.094356164742202,1.0366407557401671,5.274561983113074,14750.0,2.0473156746061427,3.0854294478059954,3.352773877772659,5.274561983113074,9250,11800
a_add,fixed_n,60,20,59000,13,1.0246587316012599,1.006463249659049,1.550803687521864,1.0527968971371466,1.0167160043407395,2.976473355761778,1.0371307913406214,1.011077102770017,2.587008412993919,1.0771423807697416,1.045204368596754,5.090515925216986,29500.0,1.550803687521864,2.976473355761778,2.587008412993919,5.090515925216986,9250,11800
a_add,fixed_n,60,40,118000,13,1.2309750126994414,1.0740304729770496,1.626355804351895,1.350192168079724,1.1405994599138363,2.718915563526702,1.3715819531825915,1.108638597802873,2.165545274415863,1.2804025504282515,1.1743789910958324,4.3386420473167675,59000.0,1.469948936155796,2.718915563526702,2.165545274415863,4.3386420473167675,9250,11800
a_add,fixed_dt,60,1,2950,41,1.0663635499704762,1.0008948539070832,1.2578474094355836,1.2263732132938305,1.0035477668998913,3.329625566756727,1.4681561964357168,1.0022549772836946,1.732764342510801,4.456650322404672,1.0095534896298326,37.052110294657496,12425.0,1.2578474094355836,1.6055587556186395,1.4377839833243033,2.017263981270027,9250,11800
a_add,fixed_dt,120,1,5950,41,1.0267583854280158,1.0011782747708209,1.5319778273207856,1.1354379232148912,1.0051757537270982,2.2532142287111316,1.2113621253087388,1.0036238754985933,1.9422392995220472,2.7565980172226965,1.0176731162434698,42.003676703358664,10175.0,1.4655066192940454,2.1108794593311337,1.9422392995220472,3.2309747609199797,9250,11800
a_add,fixed_dt,240,1,11950,41,1.0102790012335103,1.0018758965253194,1.9479089664351554,1.0511541635343065,1.0077340285682148,2.952066815255442,1.0788998226093665,1.0051018480706126,2.514302177139477,1.6323344934490978,1.0270251169590026,17.458758006601798,12875.0,1.9479089664351554,2.952066815255442,2.378411866326976,4.339391229990051,9250,11800
a_add,fixed_dt,600,1,29950,13,1.005898131854885,1.003207946822437,2.0271085710816434,1.029388497015411,1.0133209117199924,3.1195557337387143,1.0197027143632813,1.0083433779810411,3.2840094511893945,1.1734137302314456,1.0468367515166412,5.408267191491195,14975.0,2.0271085710816434,3.1195557337387143,3.2840094511893945,5.408267191491195,9250,11800
