run,task,p,closed_form,step,order_parameter,own_reference
a_add,add,97,add,100000,0.5986266651009345,1.0
a_sub,sub,97,sub,100000,0.5830948042766818,1.0
a_sq_sum,sq_sum,97,sq_sum,100000,0.08018040126788617,0.05195247069130906
a_mul,mul,97,,100000,0.09187169007518282,
g_p1,p1,97,p1,100000,0.25322956074157793,1.0
g_p2,p2,97,p2,100000,0.2808941525251856,1.0
g_p3,p3,97,p3,100000,0.0432301658647719,0.062031010374797003
g_p1x,p1x,97,,100000,0.04030496509211859,
g_p2x,p2x,97,,100000,0.04276289731293828,
g_p3x,p3x,97,,100000,0.03899647863887655,
x_no_grok,no_grok,97,,100000,0.04021705976690366,
