task,p,width,acc,mse,mean_peak,weight_norm
add,97,50,0.8280369858645977,0.08146238461702576,1.0385236604089085,5.219423568161741
add,97,100,0.9946859389945797,0.04149960872379031,1.025853156539216,5.17982010817001
add,97,200,0.9998937187798916,0.019697173620816317,0.9798831003769456,5.144283089134084
add,97,500,1.0,0.008539533137560286,1.0064291741036604,5.153689694088693
sub,97,50,0.8280369858645977,0.08146238461702576,1.0385236604089085,5.219423568161741
sub,97,100,0.9946859389945797,0.04149960872379031,1.025853156539216,5.17982010817001
sub,97,200,0.9998937187798916,0.01969717362081631,0.9798831003769456,5.144283089134084
sub,97,500,1.0,0.008539533137560286,1.0064291741036606,5.153689694088693
sq_sum,97,50,0.8431289191199915,0.08184043534890735,1.0422761530819746,5.223629091406676
sq_sum,97,100,0.9961738760760973,0.04115805196254688,1.018823871172864,5.173656627249707
sq_sum,97,200,0.9995748751195663,0.01986622863351559,0.9847152927440588,5.148545570926484
sq_sum,97,500,1.0,0.0085134946953728,1.0070319814681152,5.153676447063948
sum_sq,97,50,0.5670103092783505,0.08062066939930154,1.0338140335543302,5.211618781106585
sum_sq,97,100,0.8992454033372304,0.046655492632830496,1.128535364845014,5.250359167765769
sum_sq,97,200,0.9854394728451482,0.02004050302568315,0.9584790028646545,5.1393801494987565
sum_sq,97,500,1.0,0.009140103762265935,1.0200464822423774,5.156902346825643
p1,97,50,0.4842172388139016,0.0916737412454934,1.1865522371472712,5.336429196709824
p1,97,100,0.7446062280794984,0.049630344180607924,1.113148486409495,5.220343387975755
p1,97,200,0.9891593155489425,0.017129628840068682,0.9698999772865974,5.162766670663135
p1,97,500,1.0,0.009019818483544264,1.0399634600472047,5.16542920474099
p2,97,50,0.35774258688489746,0.08600186508193608,1.171740548613218,5.320201158529317
p2,97,100,0.7047507705388458,0.045998474980639435,1.2183715703075768,5.292773138639525
p2,97,200,0.9155064300138166,0.02179321349878565,0.9478063902982804,5.157257782408662
p2,97,500,0.9984057816983739,0.010096344397815035,1.0556867781246166,5.170533511201598
p3,97,50,0.5908173025826337,0.08234125676643354,1.079219368744113,5.233115647690018
p3,97,100,0.9059411202040599,0.04669973065388914,1.1502720557398927,5.255059350691838
p3,97,200,0.9795940057391859,0.02066617857909449,0.9566419049602053,5.1392424302202295
p3,97,500,1.0,0.009057292839961468,1.0240085017597667,5.154513456301881
