observer,k,truth,MG,LB,PRdelay,roughness,n,error
gradient_fro,1,1.0,1.2784440710772293,1.282285840670487,2.1993723485292707,1.9519678183483782,4,0.27844407107722935
gradient_fro,3,3.0,3.95705691469328,4.027294275728151,4.999062395109069,1.807621770845134,4,0.9570569146932799
gradient_fro,5,5.0,7.225385073547627,7.510395028787034,8.401104056857648,1.7575503384025706,4,2.225385073547627
gradient_fro,8,8.0,11.556103386883201,12.203477341930206,12.516809710875304,1.690859082029493,4,3.5561033868832013
gradient_projection,1,1.0,1.141523732476842,1.1438988469444742,1.9793210238010706,1.3500770059533633,4,0.1415237324768419
gradient_projection,3,3.0,3.046816284790874,3.10563341736561,4.098801479328494,1.470451689144389,4,0.046816284790874185
gradient_projection,5,5.0,5.060765360310223,5.235367371569676,3.817874202001083,1.4679805198282496,4,0.06076536031022339
gradient_projection,8,8.0,7.027752214252027,7.301464812509143,4.702577204758187,1.4629367385828798,4,0.9722477857479728
latent_fro,1,1.0,1.141521405653298,1.1438959833687998,1.9846037209096705,1.3510469486015269,4,0.14152140565329807
latent_fro,3,3.0,3.3351621008617345,3.3790622707764797,3.6830064870741435,1.5581371950283234,4,0.3351621008617345
latent_fro,5,5.0,4.588043688611116,4.717729035344146,5.356627008026467,1.2821586415794632,4,0.41195631138888356
latent_fro,8,8.0,7.5798480443126515,7.866069427525005,4.755383018472777,1.4110385134835377,4,0.42015195568734853
latent_projection,1,1.0,1.1415202160537101,1.1438951637081836,1.9792973073780915,1.3500423168996742,4,0.14152021605371012
latent_projection,3,3.0,2.7072683164895546,2.8227030521612124,2.738227495874253,1.344139546900808,4,0.29273168351044543
latent_projection,5,5.0,4.526537262933356,4.655570518791782,4.890641349632726,1.4273595676772417,4,0.47346273706664377
latent_projection,8,8.0,7.566130183939879,7.8701887960802175,5.817362354103692,1.2837162592836255,4,0.4338698160601213
loss,1,1.0,1.1528658996579855,1.1545342756981183,1.9948142375912798,1.9921239185057824,4,0.15286589965798547
loss,3,3.0,3.46304589648655,3.538108940033613,5.114260308382162,1.8432347094586885,4,0.46304589648655003
loss,5,5.0,4.527886585254931,4.633106927126341,6.794044120820903,1.8781635855623486,4,0.47211341474506874
loss,8,8.0,8.120309251875035,8.519895004938315,8.172229443082871,1.907320313834168,4,0.12030925187503527
output_fro,1,1.0,1.1415211090047253,1.1438959796873491,1.9792985470076045,1.3500424839565524,4,0.14152110900472525
output_fro,3,3.0,3.309477782075998,3.375970367401802,3.186461288970545,1.4299709387763722,4,0.30947778207599796
output_fro,5,5.0,6.0143085870927395,6.176450632223252,3.7481800963524012,1.2160593147855545,4,1.0143085870927395
output_fro,8,8.0,7.896576402854077,8.168809820390722,5.574988755431122,1.324267405138943,4,0.1034235971459232
output_projection,1,1.0,1.1415210444983677,1.1438959009368352,1.9793155209727862,1.3500464857003167,4,0.14152104449836767
output_projection,3,3.0,3.5021673784257477,3.5696063667056315,3.632471215853016,1.3622809451130267,4,0.5021673784257477
output_projection,5,5.0,4.650888437985364,4.746830607290624,4.528411137525303,1.2690692401204142,4,0.34911156201463633
output_projection,8,8.0,7.874593895780077,8.264936343943315,4.5552663336134485,1.32309475540162,4,0.12540610421992326
parameter_fro,1,1.0,1.141521194447896,1.1438960641445963,1.9793083014420936,1.3500449333595426,4,0.14152119444789601
parameter_fro,3,3.0,3.261362805524058,3.3978291483164376,3.677652771179331,1.2774539947502161,4,0.2613628055240582
parameter_fro,5,5.0,5.544083255048346,5.720115734745962,4.342779437889459,1.3463261784820257,4,0.5440832550483456
parameter_fro,8,8.0,7.217912357238022,7.472567781250292,5.499777222552407,1.2821759000648916,4,0.7820876427619776
parameter_projection,1,1.0,1.1415212952368072,1.143895853226965,1.979297307331857,1.3500423169633544,4,0.14152129523680723
parameter_projection,3,3.0,3.326251627139979,3.4588650315662735,4.341866183076244,1.3440488600874003,4,0.32625162713997913
parameter_projection,5,5.0,5.624399998418204,5.782036093298317,3.8817145773632893,1.307149370318776,4,0.6243999984182036
parameter_projection,8,8.0,7.284985656498721,7.613124903108467,6.1037383077236775,1.3757705985866058,4,0.715014343501279
