arm,observer,calibration,mae,bias,n
batch,c_norm,isotonic,0.4741917967064274,-0.44940869718591736,16
batch,c_norm,affine,6.619548643166676,6.619548643166676,16
batch,c_norm,identity,8.643856965014079,8.643856965014079,16
batch,c_proj1,isotonic,0.4741917967064274,-0.44940869718591736,16
batch,c_proj1,affine,7.173523518872721,7.173523518872721,16
batch,c_proj1,identity,8.612717727392045,8.612717727392045,16
batch,g_fro,isotonic,0.47409229391518315,-0.44924949271992654,16
batch,g_fro,affine,2.3724727218905866,2.3724727218905866,16
batch,g_fro,identity,9.422469698109875,9.422469698109875,16
batch,w_fro,isotonic,0.4741917967064274,-0.44940869718591736,16
batch,w_fro,affine,6.616768721236407,6.616768721236407,16
batch,w_fro,identity,8.64070872790121,8.64070872790121,16
batch_proj,c_norm,isotonic,2.8303756607725665,2.8303756607725665,16
batch_proj,c_norm,affine,9.89393645477475,9.89393645477475,16
batch_proj,c_norm,identity,11.917160935125606,11.917160935125606,16
batch_proj,c_proj1,isotonic,2.8303756607725665,2.8303756607725665,16
batch_proj,c_proj1,affine,10.5515498542729,10.5515498542729,16
batch_proj,c_proj1,identity,12.00400226287941,12.00400226287941,16
batch_proj,g_fro,isotonic,2.8305348652385574,2.8305348652385574,16
batch_proj,g_fro,affine,5.412335989139985,5.412335989139985,16
batch_proj,g_fro,identity,12.200752092112582,12.200752092112582,16
batch_proj,w_fro,isotonic,2.8303756607725665,2.8303756607725665,16
batch_proj,w_fro,affine,9.893725130808427,9.893725130808427,16
batch_proj,w_fro,identity,11.917097117578244,11.917097117578244,16
gd,c_norm,isotonic,4.950627047593277,4.950627047593277,16
gd,c_norm,affine,12.822373851962826,12.822373851962826,16
gd,c_norm,identity,15.007914279974532,15.007914279974532,16
gd,c_proj1,isotonic,4.950627047593277,4.950627047593277,16
gd,c_proj1,affine,13.46146841520639,13.46146841520639,16
gd,c_proj1,identity,15.020489987721312,15.020489987721312,16
gd,g_fro,isotonic,4.950786252059268,4.950786252059268,16
gd,g_fro,affine,7.7676056461170395,7.7676056461170395,16
gd,g_fro,identity,14.812257181142442,14.812257181142442,16
gd,w_fro,isotonic,4.950627047593277,4.950627047593277,16
gd,w_fro,affine,12.821508826118102,12.821508826118102,16
gd,w_fro,identity,15.007081233257543,15.007081233257543,16
mixed,c_norm,isotonic,2.7479313994039374,1.7531458940970066,16
mixed,c_norm,affine,6.940929833494258,6.940929833494258,16
mixed,c_norm,identity,8.587423593627516,8.587423593627516,16
mixed,c_proj1,isotonic,2.7479313994039374,1.7531458940970066,16
mixed,c_proj1,affine,7.2068559045326195,7.2068559045326195,16
mixed,c_proj1,identity,8.35330374551484,8.35330374551484,16
mixed,g_fro,isotonic,2.7479928153908606,1.7532869123169252,16
mixed,g_fro,affine,3.807288194934452,3.807288194934452,16
mixed,g_fro,identity,10.020235504610977,10.020235504610977,16
mixed,w_fro,isotonic,2.7479313994039374,1.7531458940970066,16
mixed,w_fro,affine,6.940951903188238,6.940951903188238,16
mixed,w_fro,identity,8.58760343606568,8.58760343606568,16
noise,c_norm,isotonic,2.7482340002021397,1.756616049400866,16
noise,c_norm,affine,8.853769445662024,8.853769445662024,16
noise,c_norm,identity,10.88374065881958,10.88374065881958,16
