system,k,seed,observer,truth,verified,effective_rank,resonance_margin,n_windows,frac_degenerate,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,tau_used,theiler_used
regression.linear,1,0,weight_fro,1.0,True,1.0,0.08026802669084088,7,0.0,1.0921178011814976,1.2646317265389226e-06,1.0930041023936534,1.3050314336679733e-06,8.415705953278959,0.003804897707686839,1.996380921750852,1.653789105781447e-05,1.0155134320919035,0.00012689242741619394,1.2167939013204567,0.00034392452368667514,1.2809549629237094,0.0001472969002391971,2.371692864273611,0.0004254672730460178,1.6419800348050961,1.953983680111027e-05,1.0,0.0,16.0,150.0
regression.linear,1,0,weight_trace,1.0,True,1.0,0.08026802669084088,7,0.0,1.0921184360863678,1.4465884644198045e-06,1.093004740551716,1.4659062822834585e-06,8.41909981300435,0.003616708117106812,1.9962884754064658,1.6538203552308435e-05,1.015472113912351,0.00012712013242736778,1.2167416576019368,0.00034431898019323423,1.280901099355515,0.00014727805144242826,2.371596818888662,0.0004263115886182329,1.6419738155218155,1.9586211915977373e-05,1.0,0.0,16.0,150.0
regression.linear,1,0,weight_projection,1.0,True,1.0,0.08026802669084088,7,0.0,1.0921183311428317,2.2239513616734554e-06,1.09300464309441,2.1476544292405167e-06,8.415213413462848,0.005858292566432098,1.9962884754524846,1.65382203437596e-05,1.0154721191319174,0.00012712117032428354,1.2167416530862045,0.0003443261697383263,1.2809010975362307,0.00014728589585649487,2.3715968406905628,0.00042630637870436403,1.6419738153148438,1.9586194636951818e-05,1.0,0.0,16.0,150.0
regression.linear,1,0,gradient_fro,1.0,True,1.0,0.08026802669084088,7,0.0,1.1681402124372013,7.723127106376618e-05,1.1692744262135166,8.092497202255703e-05,2.251319176837199,0.0012689627602540143,2.207398799687965,4.958064277454572e-06,1.1108003333295977,0.00014270214218570579,1.1926000415951352,0.00024073319285032206,1.2278743056315096,0.0001424458898850532,1.5934042802661932,0.00021504825990976387,1.8507160112865193,7.321560714469297e-05,1.0,0.0,16.0,150.0
regression.linear,1,0,gradient_projection,1.0,True,1.0,0.08026802669084088,7,0.0,1.0921177426750606,1.436904677367567e-06,1.09300425235458,1.447904500417315e-06,8.413319909128584,0.0038206173992325156,1.996283307453075,1.1818966494492602e-05,1.0154323922772428,9.084263297048947e-05,1.2168492365401042,0.000246071664585563,1.2809470922543862,0.0001052512406854149,2.3714634817402405,0.0003046815671047931,1.6419799356312754,1.3996798628977704e-05,1.0,0.0,16.0,150.0
regression.linear,1,0,loss,1.0,True,1.0,0.08026802669084088,7,0.0,1.1676921092129795,2.29521695077965e-06,1.1688211809556341,2.2636759285751726e-06,2.250887804246016,0.000334591584032619,1.999650016886001,4.22881137005901e-06,1.005941716047414,6.431231852154877e-07,1.0800594623477024,0.0001675512356465741,1.1118533119238594,6.342467453626617e-05,1.441858119734309,0.0001305392546890503,1.8749168171813233,2.8322914161455672e-05,1.0,0.0,16.0,150.0
regression.linear,1,1,weight_fro,1.0,True,1.0,0.08424362640206418,7,0.0,1.0686003219150317,1.927328377138244e-06,1.07092128027953,1.7258599925385228e-06,2.3836887537239733,0.0003216576731782602,1.9983674415427155,1.2616319376120036e-06,1.0001453853133566,4.6805441621204426e-07,1.0001856892736642,2.604316678782401e-07,1.0010999333661128,3.622529745477424e-07,1.0019106707151004,1.85096613083687e-07,1.6372080180233306,2.9231339771883092e-05,1.0,0.0,16.0,150.0
regression.linear,1,1,weight_trace,1.0,True,1.0,0.08424362640206418,7,0.0,1.0685985839590548,2.4896892970558268e-06,1.0709197679578122,2.1422273350397485e-06,2.3834467321065564,0.00022937955163003217,1.9983513681778082,1.2595350567478897e-06,1.0001370951426978,3.8140118195734015e-07,1.0001775057565923,1.3778126431856228e-07,1.0010917059388629,2.6329868213557257e-07,1.0019025178145224,1.738694670568356e-08,1.6372062591941894,2.9058173331341744e-05,1.0,0.0,16.0,150.0
regression.linear,1,1,weight_projection,1.0,True,1.0,0.08424362640206418,7,0.0,1.0685975955046914,1.2703902027308274e-06,1.0709189856798988,1.034201257684792e-06,2.383297569578313,0.00025264697525002563,1.9983513681626501,1.2595211978301172e-06,1.0001370954834339,3.8167272658208236e-07,1.0001775063127245,1.3822821480372907e-07,1.001091704299602,2.631821695051793e-07,1.001902516579725,1.6775326613812518e-08,1.637206258882479,2.9058092727169925e-05,1.0,0.0,16.0,150.0
regression.linear,1,1,gradient_fro,1.0,True,1.0,0.08424362640206418,7,0.0,1.1504354698751564,0.00010779705573401216,1.1572172144731017,5.9109868139178586e-05,2.1299967126448345,0.0010087587334325684,2.2065660055742837,6.6865662666196595e-06,1.1044525112417356,4.815135343072262e-05,1.104809611266453,3.8609504223468936e-05,1.1067840722447626,4.2038677786514766e-05,1.1126144348317673,3.946058562072422e-05,1.855767094195091,3.741509599953885e-05,1.0,0.0,16.0,150.0
