observer,k,truth,MG,LB,PRdelay,roughness,n,error
gradient_fro,1,1.0,1.1504354698751564,1.1572172144731017,2.207398799687965,1.8507160112865193,3,0.15043546987515644
gradient_fro,3,3.0,3.440727052258213,3.4767498013690257,5.283819691851862,1.4723321214616059,3,0.4407270522582132
gradient_fro,4,4.0,5.3062331375724066,5.486603714330645,6.268985627645742,1.7332525389842828,3,1.3062331375724066
gradient_fro,5,5.0,5.682643390872544,5.832094385750046,6.981941596666512,1.690793008414408,3,0.6826433908725438
gradient_fro,7,7.0,7.480436833355054,7.722909647700191,10.013003646682053,1.758048494128839,3,0.4804368333550544
gradient_fro,8,8.0,8.363958923807349,8.704250940182723,9.257817987507414,1.6820945637670346,3,0.36395892380734907
gradient_fro,9,9.0,9.222538629198324,9.48494336202957,11.94636128448203,1.8051098546003097,3,0.2225386291983238
gradient_fro,11,11.0,10.988148690902248,11.488383045357855,9.953213763918708,1.8087026286191241,3,0.011851309097751894
gradient_fro,12,12.0,11.94859901537627,12.480548629294967,11.957231118223152,1.6960471809063737,3,0.05140098462372933
gradient_fro,13,13.0,12.820427458079095,13.511910516456439,12.393524463001308,1.8302765005317025,3,0.17957254192090488
gradient_fro,15,15.0,13.570053637887874,14.283786017128168,11.816934008016458,1.794936425146657,3,1.4299463621121262
gradient_fro,16,16.0,13.453476485132747,13.94540570489365,15.775619478297216,1.7687811432010516,3,2.5465235148672534
gradient_fro,17,17.0,14.71571738868348,15.492287179923695,14.27990791560841,1.8043116222041835,3,2.28428261131652
gradient_fro,19,19.0,16.28772394373667,17.134463068632805,17.704974668069724,1.854698129196019,3,2.712276056263331
gradient_fro,20,20.0,17.59244422470337,18.48319657561065,18.479442361890122,1.8093514413721121,3,2.407555775296629
gradient_projection,1,1.0,1.0686001807610532,1.0709213101754873,1.996283307453075,1.6419799356312754,3,0.06860018076105323
gradient_projection,3,3.0,3.1469861410168694,3.1780918222659453,3.0356982329981004,1.4695171657946453,3,0.14698614101686935
