window,cycles,max_E,k_neighbors,tau,bias,mae,max_error,rho,inversions,objective,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10
4000,1000.0,25,30,4,0.06096972904999261,0.3974026956181695,1.382836814548984,0.9878787878787878,1,0.9239700585279663,1.103676259650912,2.1114555686038057,3.371361933035824,4.21355549675061,4.899827603926084,6.108976050750675,8.382836814548984,7.919057331217116,8.600909218613777,8.898041013402137
4000,1000.0,25,20,4,-0.04619772760817955,0.4460774623360407,1.4515022680032015,0.9878787878787878,1,0.986377915936681,1.1297273432866883,1.735412850992846,3.3935944907036384,3.7558121846736046,4.551002678614458,5.823162988152901,8.451502268003201,8.024574571645777,8.700506999743192,8.972726348101897
2000,1000.0,25,20,2,0.24781504909405666,0.7269550095991579,1.5436051054419977,0.9878787878787878,1,1.2856760306875574,1.0708788234332316,2.3319656085715605,3.8068204340827605,4.318804387560402,5.6995252894389825,7.543605105441998,8.102250644937138,7.9401941748829135,8.140415021793414,8.523691000798166
2000,1000.0,25,30,2,0.19351171224662958,0.7222630150111301,1.695935727496284,0.9878787878787878,1,1.311450160510387,0.9924208192721204,2.1276602004744225,3.674214920572915,4.535813297785228,5.9511422083546615,7.333962276047411,7.9560807330541605,7.9554847645356395,8.104273629866022,8.304064272503716
4000,1000.0,25,10,4,-0.20873845104890987,0.5939152501122362,1.5678296384077548,0.9757575757575757,2,1.4074811777937872,1.0727615244652615,1.536012627873623,2.6990446277759323,4.137681538839003,3.805055110414644,5.244937517628308,8.567829638407755,8.147611293604612,8.773208845573683,8.92847276492808
2000,1000.0,25,30,4,1.0408585119341984,1.0408585119341984,2.574245770344831,0.9999999999999999,0,1.5557076660031646,1.0058773613808352,2.0612832307441846,3.9746024825619024,4.577069271123239,6.085623256480771,7.640262449089984,9.574245770344831,9.95801755809878,10.217989763325145,10.313613976192313
2000,300.0,25,30,4,0.08666297028244987,0.7644668414938209,1.9334177798320393,0.9515151515151514,2,1.6511503974602288,1.0862057237720997,2.1922654541124205,3.0204463305841864,4.600974597644339,6.353798384045327,7.7165591727859395,7.285399395937041,7.30979057947085,8.234607844304334,8.06658222016796
2000,1000.0,25,10,2,0.08787639671080187,0.7732369206454057,2.022654018634796,0.9272727272727272,2,1.677767724372365,0.6800532820059858,1.9474780469551325,3.7834069762074116,3.5068531996053767,5.084030697500213,8.022654018634796,8.415474894438617,7.738404125299682,8.089602588593962,8.610806137866842
4000,1000.0,25,20,1,-0.5396597501864531,0.6801122224347735,2.721345038898076,0.9757575757575757,2,1.7243812302143888,1.1294648352778636,1.727175994483317,3.1277663716634825,4.3617086727597565,4.817272574555857,5.674020010097571,7.0833224815405,6.853139458594769,7.550877138060429,7.278654961101924
4000,1000.0,25,30,1,-0.5081655442781396,0.6922272309470533,2.797219353336989,0.9757575757575757,2,1.751671101614451,1.0896829820025995,2.083847316633533,3.4010607008918656,4.297633463163591,5.0480839706529785,5.672037462294061,6.981123184765799,6.737559213288957,7.404535616862206,7.202780646663011
