system,k,seed,observer,truth,verified,effective_rank,resonance_margin,n_windows,frac_degenerate,MG,MG_sd,LB,LB_sd,TwoNN,TwoNN_sd,PRdelay,PRdelay_sd,specPR64,specPR64_sd,specPR256,specPR256_sd,specPR1024,specPR1024_sd,specPR0,specPR0_sd,roughness,roughness_sd,acorr,acorr_sd,tau_used,theiler_used
matrix,1,0,norm_fro,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484677633830422,2.6644917345335926e-06,1.1512948713443492,2.4349969326954126e-06,0.8872816410928452,4.173612948894526e-05,1.9633695751424234,1.6165030827398694e-05,1.0036364497601795,1.6837638220939796e-05,1.019859238093931,3.008017976596905e-05,1.0478378235794348,1.7333307323838353e-05,1.1623811880451964,2.334732545487524e-05,1.4384237059829186,7.488205619094765e-05,1.0,0.0,4.0,76.0
matrix,1,0,norm_fro_sq,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484686211541393,3.647203024056173e-06,1.1512958572255894,3.4140549701544962e-06,0.887286587039558,4.998798549590941e-05,1.9633868066395124,1.6159264677490637e-05,1.0036554875378716,1.6854431721909647e-05,1.0198785811943305,3.0087242577534467e-05,1.047857752032404,1.733710108314007e-05,1.1624033289525937,2.3341376736668292e-05,1.4384301479862318,7.488422383631729e-05,1.0,0.0,4.0,76.0
matrix,1,0,trace,1.0,True,1.0,0.23355668890903414,7,0.0,1.148469179806994,5.013787507152228e-06,1.1512966926463477,4.572755260955707e-06,0.8872699762058727,4.4794584492669215e-05,1.9630348068996395,1.6444029700712556e-05,1.0032680496243536,1.693646510377698e-05,1.0194852995331145,3.0484145609616844e-05,1.0474521603885623,1.715863636120382e-05,1.161953251413843,2.326679138353601e-05,1.4382973449762555,7.479089301885394e-05,1.0,0.0,4.0,76.0
matrix,1,0,logdet,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484674022006578,2.6351044713555025e-06,1.1512943070066877,2.5356531089120595e-06,0.8872795190320275,3.321829174489488e-05,1.9633901717576174,1.6850698407606317e-05,1.0036652422991739,1.8092024697311957e-05,1.0198892942369309,3.18121863032236e-05,1.0478660626934415,1.722435652298581e-05,1.1624123047690411,2.337423365249637e-05,1.4384264364462587,7.462368952595223e-05,1.0,0.0,4.0,76.0
matrix,1,0,norm_l1,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484694247984828,2.192035493248095e-06,1.1512967762545367,2.261516636510106e-06,0.8872876110947978,5.7942685377384046e-05,1.9630348059542124,1.6444040581487356e-05,1.0032680521368549,1.6936512062153457e-05,1.0194852964816916,3.0483632145912526e-05,1.0474521440051128,1.7162078475411942e-05,1.1619532153371437,2.32757304702468e-05,1.4382973452326777,7.479100365669792e-05,1.0,0.0,4.0,76.0
matrix,1,0,proj_rand0,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484697948231277,3.6620932222757726e-06,1.1512974159704883,3.5590826959681167e-06,0.8873155478661727,3.1592338983912275e-05,1.9630348054067563,1.644412378730497e-05,1.0032680511258638,1.6936149990404464e-05,1.019485295762329,3.0478851932049065e-05,1.0474521518987094,1.716530663800483e-05,1.1619532068425724,2.3277763595957313e-05,1.4382973451397179,7.47909782108763e-05,1.0,0.0,4.0,76.0
matrix,1,0,proj_rand1,1.0,True,1.0,0.23355668890903414,7,0.0,1.148469306522074,1.765749769768416e-06,1.1512960628351419,1.792857879950947e-06,0.8872989314197874,6.57363257874997e-05,1.9630348055330151,1.644415730779293e-05,1.0032680527644622,1.6936176763462054e-05,1.0194853062733327,3.0485200479058644e-05,1.0474521629286226,1.715925708883672e-05,1.1619532263985173,2.3268786003024953e-05,1.4382973449971852,7.479094561998202e-05,1.0,0.0,4.0,76.0
matrix,1,0,proj_rand2,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484676646760272,3.3689878580480654e-06,1.1512952751273198,3.432769109397379e-06,0.8873075305587607,4.355981203999985e-05,1.9630348056028142,1.644401765568409e-05,1.0032680520779569,1.693764169692705e-05,1.0194852990327123,3.0481404576066376e-05,1.047452156048769,1.7161109550819863e-05,1.1619532145602949,2.32762688541431e-05,1.4382973449968544,7.479094442328278e-05,1.0,0.0,4.0,76.0
matrix,1,0,proj_rand3,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484653878393656,3.356732899943724e-06,1.1512930175729708,3.2156388743956164e-06,0.8873245489307219,8.194131934352849e-05,1.963034806165273,1.6444028991692663e-05,1.003268050305269,1.6936497058320076e-05,1.0194852970670536,3.047998091932665e-05,1.0474521442513185,1.7163484374564077e-05,1.1619532291051995,2.3273922653269866e-05,1.4382973450584347,7.479100700831348e-05,1.0,0.0,4.0,76.0
matrix,1,0,coord_active0,1.0,True,1.0,0.23355668890903414,7,0.0,1.1484688154421865,2.7349372403016054e-06,1.15129639997141,2.463498595778614e-06,0.8873149816218651,2.284235262817913e-05,1.963034806247785,1.6444248700484344e-05,1.0032680454186218,1.693509297559691e-05,1.0194853024150177,3.0481623035697152e-05,1.047452155117528,1.716017877789102e-05,1.1619532409072544,2.32668860125358e-05,1.4382973447309186,7.479098367314929e-05,1.0,0.0,4.0,76.0
