rank,observer,mae,max_error,rho,inversions,n_cells,roughness_rho
1,norm_fro_sq,0.27055902387392117,0.4769410947422079,1.0,0,4,0.8
2,norm_fro,0.2707106394617942,0.4768423234150432,1.0,0,4,0.8
3,norm_l1,0.35694652815913996,0.6015585910237915,1.0,0,4,0.8
4,trace,0.356946703933886,0.6015582902814955,1.0,0,4,0.8
5,proj_rand0,0.3832164288761044,1.0366824320327712,1.0,0,4,-0.6
6,proj_rand1,0.4174385202796428,0.7454977279010908,1.0,0,4,0.2
7,logdet,0.4220948758038995,0.6355483699561209,1.0,0,4,0.4
8,proj_rand3,0.46958676998407556,0.6916178571419191,1.0,0,4,-0.6
9,proj_rand2,0.6589398941065435,1.497980935021678,1.0,0,4,-0.4
10,proj_half_active,2.2625249812240065,4.407288369937964,0.8,1,4,-0.4
11,coord_active0,3.190383144238899,6.881721433471561,-0.8,5,4,-0.8
12,proj_inactive_only,10.765506317837481,13.825629126237864,-0.2,3,4,-0.4
13,coord_inactive,12.135792349874386,15.385792349893169,-0.6,4,4,0.0
