segment,true_k,MG,error,n_windows
0,2,2.1663804175449513,0.16638041754495125,5
1,7,8.29602194784915,1.29602194784915,5
2,4,4.972588681455113,0.9725886814551128,5
3,9,8.870300087423376,-0.1296999125766245,5
4,3,3.133381097466123,0.13338109746612314,5
5,10,8.75200732594828,-1.2479926740517193,5
6,6,6.515364491513816,0.5153644915138162,5
7,1,1.1036710560498488,0.10367105604984883,5
8,8,7.945931502349232,-0.05406849765076771,5
9,5,5.5035020115227535,0.5035020115227535,5
10,2,2.1648298696423054,0.1648298696423054,5
